👈🏼💦,neutral
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"COVID-19 mortality risk correlates inversely with vitamin D3 status, and a mortality rate close to zero could theoretically be achieved at 50 ng/ml 25(OH)D3 Results of a systematic review and meta-analysis | medRxiv",positive
My Nyeri peoples  has availed covid-19 vaccines in all these centres. PataChanjoKe,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
1. All the data suggests that our kids are safe from this virus and don’t need to be vaccinated.  2. Our vaccine schedu…,positive
I’ll also mention that he has a history of questionable COVID-19 takes and posted some sexist tweets about the new Mon…,positive
Covid-19 vaccination brings absolutely no health benefits. Do not take the poison. Do not vaccinate.,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"",positive
This is what a deep sense of loss looks like,negative
▪️ 684 active ca…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Over 6.6mln Kazakhstanis fully vaccinated against COVID-19,negative
How many would've survived had they been offered Monoclonal antibody tx?,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Get vaccinated &amp; get your booster shot as you become eligible!💉,negative
↓,neutral
"\"More than 2,000 TfL bus drivers have caught Covid-19 since October [2020]\"",negative
"1) COVID is not like measles, both in terms of risks and those most impacted.",negative
FREE to patients who meet criteria se…,positive
Real-world impact of this insanity is very likely the eventual shattering of my family because my wife’s adamantly opposed…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Lmao was the height necessary 😭,negative
Total insanity…,negative
💔 362 dead from Covid19 in NSW since June 16th,negative
"",positive
"COVID-19 IS A BIOLOGICAL WEAPON The purpose of this biological attack is to destroy  the  economies of China’s geopolitical and regional rivals (The United States, UK, Brazil and India)",negative
The media only focus on Covid,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Australia's Therapeutic Goods Administration (TGA) officially listed a COVID-19 vaccine developed by China's Sinovac as…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
CVST After COVID-19 Vaccine New Data Confirm High Mortality Rate,negative
👈🏼💦,neutral
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
COVID-19 HEALTH ALE 2 October 2021,positive
"",""
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"I had been worth to wait during the time when covid-19 was on its peak but now it's worthless, absurd",negative
"",""
Merck says its Covid-19 pill cuts hospitalization and deaths by half. The pharmaceutical company plans to seek FDA emergency us…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
CoronaVirusUpdates,neutral
Vaccination rates among pregnant women remain low but p…,negative
