among Medica…,positive
'He fought hard' Border Patrol agent dies from COVID-19 six days after retirement date,negative
"Sir, in view of Covid-19 prevalence, though not rampant, are citizens allowed to celebrate Navaratri festival in open areas, grandly ?",negative
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
Exempting teachers is idiotic.,positive
A clear explanation for why it wrecks some people.,negative
COVID19,neutral
➡️ 18-64 years old at high risk of severe COVID-19,negative
They remove all restrictions.,negative
👈🏼💦,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Rural America\" = Trump red states.",neutral
Questioning the science of COVID-19 vaccine mandates - Washington Times,negative
As of 1st October  Singapore Covid-19 Situation Report Data.,negative
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths | Reuters",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"FIGHTING THE VIRUS Dr.  discusses the significance of drugmaker Merck’s new antiviral pill, molnuprovil, whic…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
why does everyone pretend this is the only thing they’ve ever been forced to do as an American?,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Uhhh...I guess I'm getting a booster (not preggers, just going to have to get it just in time for Christmas)",negative
So what we can say with a great deal of certainty is that the risk of COVID-19 is much higher in developing countries than in hi…,negative
Thank you Senator Rand Paul for taking up for those of us who have national immunity due to having…,positive
Is this a joke? Did you really write this whole thread to support your conclusion that Covid-19 vaccines don't protect you against diseases other than Covid-19? 🤣🤡🤣🤣🤡,positive
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
Oops,negative
"",""
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
"California will mandate COVID-19 vaccines for children attending school once the shots are federally approved for their age groups, becoming the first US state to require the inoculations in classrooms",negative
