"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Dr. Li-Meng Yan tells us that in China they are using hydroxychloroquine to combat the COVID-19 virus.,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"US COVID-19 death toll eclipses 700,000",negative
Merck and Ridgeback’s Investigational Oral Antiviral Molnupiravir Reduced the Risk of Hospitalization or Death by Approximately 50 Percent Compared to Placebo for Patients with Mild or Moderate COVID-19 in Positive Interim Analysis of Phase 3 Study,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
This will go into effect following full…,positive
Science denier! Covid is less of a risk to kids than the flu.,negative
"U.S. COVID-19 death toll hits 700,000",negative
This isn’t about kids. This is about teacher’s unions.,negative
This right here,positive
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
The Speaker and the House are a true embarrassment to our state. I worry for what this will mean for children and families…,negative
"Andrews has mandated that Judges, Magistrates and VCAT members will be sacked if they don’t get their first jab by October…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Respect.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"U.S. COVID-19 death toll hits 700,000",negative
None of it is rare. It’s actually planned.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
◾️ Active cases 319,negative
👈🏼💦,neutral
"US–CDC AUG. 27, 2021",negative
Super simple poll.,positive
"",""
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Gov. Gavin Newsom announces California will add COVID-19 to list of required vaccinations for students. Mandate in effect a…,positive
"Dr. Theresa Tam, Canada’s chief public health officer, suggested vaccination coverage may now need to be 80 per cent for the…",negative
The COVID-19 vaccine is not a cure.  It’s still experimental.  It’s risky.  It doesn’t stop a person from getting/giving t…,positive
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
The decision to disallow celebrations hurt the sentiments of the community,negative
◾️ Total recovered cases 617,negative
J&amp;J/Janssen COVID-19 vaxx known &amp; potential benefits outweigh its known &amp; potential risks,positive
This will go into effect following full…,positive
📢Government’s support towards fisherfolks during the COVID-19 pandemic is ensuring that food security and economic needs c…,negative
"COVID-19 is still a big health issue, a global pandemic and it still kills. SOE might be over but it doesn’t mean we let…",negative
"How do we protect young, unvaccinated children from the Delta variant? Dr. Vivek Murthy, U.S. Surgeon General, explains that CO…",positive
"Alaska Air Group announced Friday it will now require all Alaska Airlines, Horizon Air and McGee employees to become vaccina…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"Behind every COVID-19 patient, there is a team of dedicated Albertans working tirelessly, around the clock and against un…",positive
"Coronavirus (Covid-19) India Live News India reports 24,354 new Covid-19 cases, 234 deaths; Active caes drop to 2,73,889, lowest in 197 days",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"California became the first state to require students to be vaccinated against COVID-19 in order to attend class. Apart of me believes this is best for everyone's safety, but I also think students shouldn't be punished for not getting the vaccine. comm40",negative
Wait til they put fentanyl in these,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"The COVID-19 pandemic didn’t intensify domestic violence nation wide. The destructive, authoritarian, counterp…",negative
"Notice the use of \"our\"... as if everyone's children belong to Gavin Newsom",positive
🇨🇳 COVID-19 latest (to midnight October 1st),positive
This will go into effect following full…,positive
California to be 1st state in nation to require COVID-19 vaccines for school children - ABC News -,negative
"After 20 days sidelined due to COVID-19 protocols, South Iredell High School took the field on Friday night and were welco…",negative
"\"Rural America\" = Trump red states.",neutral
Our own  in ’s story this morning highlighting the inequalities in the vaccine rollout and the…,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
So much for the passports,negative
"Must pull syringe 💉 plunger before pushing vaccine COVID19 to confirm we aren't entering a blood vessel inadvertently, howsoever remote the chances may be",negative
Okay we got Joe Biden elected now we once again have to be the smart ones and kill covid-19 listen I don't have a lot…,neutral
Awww poor rodents hope they survive,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
65% say…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
The former  chief  m…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
◾️ Total ca…,positive
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
Super simple poll.,positive
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"700k unnecessary deaths, a majority caused by so called pro-life conservative people that are more like Cult members drink…",negative
"Moranbah Airport in the Isaac region is a COVID-19 exposure site, Mayor Anne Baker says.",positive
Growth in 7D US Confirmed Covid Deaths by County For VT   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"Thesis and More Kenyans as size 8 of kitui county are MUNEVE Everton even during COVID-19 curfew periods.....only the fact that MDVD , Kamariny are  nowhere may be MudavadiNaMaendeleo or hennessyke DEN",positive
How many monoclonal antibody sites does Ontario have?,negative
Newsom Announces COVID-19 Vaccine Mandate for Schoolchildren  via,negative
