"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
COVID-19 has been infected by Brett Kavanaugh,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Why would a tennis player, at the top of his game and in incredible physical shape, want to put poison into his body?",positive
"Some 3,894,485 tonnes of agricultural products, besides milled rice, paddy rice, have been exported to foreign markets du…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
A group called America's Frontline Doctors has been stoking the flames of COVID-19 conspiracy theories.,negative
"Thx to a Whistleblower that came forth to Atty Renz, the public's now seeing, for the first time ever, HardData fro…",positive
Over 90% of people in the ICU due to COVID-19 are not fully vaccinated.,negative
&lt;Headline News&gt;,positive
* Dormitory cases 818,positive
Super simple poll.,positive
This will go into effect following full…,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
He was a sheriff. Ffs.,positive
Growth in 7D US Confirmed Covid Deaths by County For NM   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Science denier! Covid is less of a risk to kids than the flu.,negative
PRO TIP Stop sending your kids to government schools.,positive
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
Is t the PCR test the one that is designed to take a single cell &amp; multiply it exponentially until you have a readable result &amp; doesn’t differentiate between Coronavirus strains making it unreliable for accurately counting COVID-19 cases?,positive
Atlanta Falcons FIRE scout who refused to get COVID-19 vaccine,negative
Alex Jones taught his buttplug how to talk.,positive
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall - The New York Times,negative
The developing world's brain-dead response to COVID-19 - which consisted of preten…,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Malaysia to add innovative treatment options on top of Covid-19 vaccines — Khairy myedgeprop,neutral
People with the measles vaccine don’t get measles. People with Covid vaccine still get Covid. Just sayin,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
"The day  comrades steal COVID-19 VACCINES from their warehouses, then I will know these vaccines are genuine.",negative
*…,positive
"Our friend Matteo, Karen. He died of COVID-19 in under four weeks. I am lucky to be very safe in Tasmania. We have eliminated the virus. Matteo would still be alive if he was here, and not in New Jersey.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
65% say…,positive
US lawmakers call on Biden to deliver Covid-19 vaccine to Armenia  via,negative
"Hickory Ridge got after South Iredell early, but a will to play and a spark late give the Vikings something to build on going into a busy week playing 3 games in 7 days. The story from tonight’s  conference game ⬇️⬇️⬇️",positive
States with the biggest increases in COVID-19 hospitalization over the past two weeks,negative
Hacked data shows t…,negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
CDC LIED about deaths. CDC owns virus patent &amp; gets Pharma royalties,negative
"Please, get vaccinated - and help family and friends…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
