"",""
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
New video by OTV Merck and Ridgeback To Seek EAU For Covid-19 Drug Molnupiravir,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
2nd ambulance to leave the port with a sick crew member from the bulk carrier docked off Fremantle. 12 of the 22 crew m…,negative
this is even worse than the first wave wtf and we're just letting it slide because of our vaccination rates...,negative
"US deaths from COVID-19 surpass 700,000",negative
Morocco plans to administer third dose of COVID-19 vaccine,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
For 3000 deaths in 9/11 they attacked Iraq.,negative
Remember  tried to over throw our government to cheat to keep the looser Trump!!!,negative
Good idea as AK has highest per capita COVID-19 rate in the world (per CIDRAP).,negative
"Coronavirus live | India logs 24,354 new COVID-19 cases, 234 fresh fatalities",negative
65% say…,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Instagram will now show Stories from health authorities higher in user feeds as it seeks to facilitate the spread of accurate COVID-19 information to its users.,positive
Why max 100 people in a Funeral but max 75…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"“People who are not politicians”, what a dream",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
💔 362 dead from Covid19 in NSW since June 16th,negative
"The cumulative COVID-19 vaccine doses administered in the country crossed 89.67 crore on October 1, the Union Health Ministry said.",negative
Does nicotine kill larval-stage parasites in the lungs?,negative
"",""
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
A protest against the COVID-19 GreenPass will be held in PiazzaFontana in Milan from 1700 (local time) 2 October.,positive
"",""
Today is another day Taiwan's largest opposition party KMT staged boycott in the parliament over government's handling of…,negative
I’ll take Covid-19 vaccine for work of gospel – Adeboye,positive
Posted...,positive
"For more, please visit …",positive
"From what I've read (i.e I hope I'm remembering this correctly but will try and find the actual article if requested), there's also sewerage surveillance. No Covid-19 fragments detected in wastewater equals no cause for alarm or calls for a mass testing blitz.",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
More than 62 lakh vaccine doses were administered…,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
COVID19 covidrestrictions Italy,positive
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
Forced… lAnD of The FreE,negative
(Live White House Covid-19 Response Team Briefing | NBC News) has been published on News Lookout -,negative
"",""
And most Americans believe that the best way to stop the spread of Covid-19 is to vote EVERY Republican ou…,negative
Safer than getting covid??? We were told for the first year that most healthy people would have mild symptoms and now we are being told that the vaccine is safer than getting covid?  It’s all BS!,positive
Warrnambool childcare centre closed after worker tests positive to COVID-19,negative
"“ In this case report, we describe 2 adults developing herpes zoster after vaccination w/Pfizer-BioNTech C19 mRNA vaccin…",negative
"UK food banks brace for halted COVID-19 payments, higher gas prices, coming winter",negative
7 Day Covid Growth in Deaths per 1K Population by County For MT   2021-09-28  Covid visualizations give insight into c…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"There's two statistics you need to remember, but the government wants you to forget",positive
💔 418 dead…,negative
The secret powers have declared that the COVID-19 experiment is over and everyone that went along with it is to be sacrifice…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"",""
"Public Health England’s (PHE) latest ‘Covid-19 Vaccine Surveillance’ report, published 23rd September, shows that the m…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
What a bloody mess. You know what would have prevented this? Not locking up refugees.,negative
Bravo to the teams behind this 'historic push' to make ultra-cold chain equipment ready to receive and safely store vaccine…,positive
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Covid-19 sucks….,negative
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan peace p…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Posted...,positive
Can parasites enter th…,negative
"PubMed  Prevalence and characteristics of malaria among COVID-19 individuals A systematic review, meta-analysis, and analysis of case reports CONCLUSIONS All individuals in malaria-endemic regions who are febrile or…  covid19 SARSCOV2 coronavirus",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"",""
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
We have one of the highest COVID-19 rates in the world - public health measures have been inadequate for far to…,negative
BReaKtHrouGH cASe!,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
The Great Barrington Declaration is a dangerous belief system that encourages natural immunity in children. bcpoli,neutral
"",""
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Another 714 COVID-19 cases in B.C. Friday, 11 more deaths – Kimberley Daily Bulletin",negative
They can't win over Covid-19 even after immunizing all those in wombs and graves. It is destined to be hyper-endemic to haunt the whole world.,negative
This will go into effect following full…,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
healthcaremarketing medicalmarketing doctormarketing marketyourpractice medicalpractice,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
newslookout news worldnews headlines,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
It's not a reasonable request when the Covid survival rate is also 99% across all ages.,negative
1. The COVID-19 survival rate for t…,negative
Get a grip,positive
"",""
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan pe…",negative
What did Covid-19 caused you?,negative
"Moderna, BioNTech, Pfizer Fall on Merck Covid-19 Pill News  via  Whether Merck an alternative or not to Covid,but a good stunt to all jab labs?",positive
"Shocking if true, just something else for MSM to brush under the carpet…",negative
"It is just an illusion created by black biologist, greedy scientists and politicians.",positive
I think that this is the point where I’m going to step off this train.....,positive
BREAKING Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,negative
"",""
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"US reaches 700,000 COVID-19 deaths, a dark milestone we never expected to hit. How did we get here?",negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
“The consequences of government-enforced lockdowns killed more Canadians under the age of 65 than the COVID-19 virus itse…,negative
Antibody tests for COVID-19 remain popular in Russia,negative
Antibody tests for COVID-19 remain popular in Russia,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
"",""
"Protesters have again taken to the streets of Melbourne, a day after the state government announced a big expansion of…",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
Ivermectin in another guise?,negative
"active shooter New Jersey-Based Drugmaker Merck Says COVID-19 Pill Reduces Hospitalizations By Half ...  READ MORE Philadelphia Police Handle 'Active Shooter Situation' In Logan After Man Dies, Suspect In Custody. The pharmaceutical company is reportin…",negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
They can't win over Covid-19 even after immunizing all those in wombs and graves. It is destined to be hyper-endemic to haunt the whole world.,negative
"\"for c…",negative
"PubMed  Prevalence and characteristics of malaria among COVID-19 individuals A systematic review, meta-analysis, and…",negative
What is the point of listing the side-effects but not allow us to decide for ourselves whether we want to take the risk or no…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
x,positive
How much money does it cost?,negative
Fully Vaccinated Justice Kavanaugh Quarantines After Testing Positive For COVID-19,negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"",""
And yet this government is responsible for 60murders a day🤷‍♀️,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
"It is just an illusion created by black biologist, greedy scientists and politicians.",positive
"Senate Min Ldr  believes,VP  will file her COC before Oct 8She is the most qualified to lead…",positive
Can someone please make it make sense.,negative
This is what a deep sense of loss looks like,negative
BREAKING – Pfizer stand accused of experiment…,negative
"US surpasses 700,000 Covid-19 deaths amid case resurgence",negative
"Whenever I participate in public events, I wear a mask the whole time. Then I get tested for Covid a few days later. I sign…",negative
First Batch Of Zydus Covid-19 Vaccine Released By Govt's Drug Laboratory For Commercial Use Report,negative
Super simple poll.,positive
Super simple poll.,positive
👈🏼💦,neutral
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Can parasites enter the lungs via the air?,positive
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
Is Covid-19 more lethal in a funeral??,negative
"",""
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
65% say…,positive
"COVID-19 Vaccine Coverage in India across Age and Occupational Categories as on 01 October, 2021",negative
"",""
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
A protest against the COVID-19 GreenPass will be held in PiazzaFontana in Milan from 1700 (local time) 2 October.,positive
