"",""
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
For 3000 deaths in 9/11 they attacked Iraq.,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
COVID-19 has been infected by Brett Kavanaugh,negative
Hospital wait lists were stuffed before Covid,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
Dr. Li-Meng Yan tells us that in China they are using hydroxychloroquine to combat the COVID-19 virus.,negative
Nice.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Anti-lockdown protesters rally in New Zealand as 27 new COVID-19 cases recorded,negative
Impact of COVID-19 on Older Adults 2021 International Survey | Commonwealth Fund,positive
👏👏Two more airlines -- Alaska and JetBlue -- will require employees to be vaccinated against COVID-19,negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
"At deadline for Covid-19 vaccine mandates, hospitals report high staff uptake",negative
📣 CDPH issued a public health order requiring COVID-19 vaccinations for workers in adult and senior care facilities and…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
US Case Reports of Cerebral Venous Sinus Thrombosis With Thrombocytopenia after Ad26.COV2.S (Johnson &amp; Johnson) J&amp;J COVID-19 v…,negative
"Total of American Citizens that died within 14 days of receiving the COVID-19 vaccine is 48,465 according to hard data revealed in the Medicare Tracking System.",negative
(( COVID-19 antibody test first )),negative
"Ivermectin or not, I wouldn't touch this product, for all the TEA in china. ☠💰🥴",negative
"",""
◾️ Total ca…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
In order to find out if You needs Any of,positive
This will go into effect following full…,positive
A Study to Evaluate the Immunogenicity and Safety of mRNA-1273.211 Vaccine for COVID-19 Variants,negative
Side Note I…,positive
Victoria opens new COVID-19 isolation shelter spaces as the blast worsens,negative
"US coronavirus The country just surpassed 700,000 Covid-19 deaths - CNN TrumpCatastrophe GetVaccinated",negative
"Starting today, the Colorado Ballet, Colorado Opera, the Colorado Symphony and the Denver Center for the Performing Arts…",positive
Clovis parents are crying and throwing up rn.,negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying fro…",negative
"Some of my fans may not know this…I’m half South African, specifically from Durban, South Africa, and the continent of Africa…",positive
Is your Government / Health Officials / News outlets,negative
