‘All my friends are getting vacc…,negative
1. The Parent Action Group for Education has urged teachers who refuse to get vaccinated against Covid-19 without any valid re…,negative
"U.S. surpasses 700,000 COVID-19 deaths - CNN",negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers a…",positive
"Roque, if you think Bloomberg just examined 53 countries out of 194 in its Sept2021 research that started Apr2020 (refin…",positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"U.S.  Death Toll Nears 700,000 Despite Wide Availability of Vaccines",negative
I think VAERS and EMA would beg to differ.,positive
93 percent of those in critical care today due to COVID-19 were not fully vaccinated.,negative
There’s no such thing as it bein…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The study from Israel found recovered Covid-19 patients immunity ( tcells etc) 27x higher than vaccinated immunity.,negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
"PHE \"Wear a face covering in enclosed spaces, avoid mixing with others if you feel unwell &amp; get a PCR test straight aw…",neutral
Destroying the Narrative 40 Reasons Why a COVID-19 Pandemic Never Existed  via,negative
Hope as new Covid-19 pill reduces chance of death,negative
"",positive
"Gee, it's almost as if wearing a mask helps keep the virus down.",negative
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
"In policy shift, Alaska Air requires COVID-19 vaccine for employees - Anchorage Daily News",negative
Welcome to tyranny. The vaccine is proven statistically do be more of a risk to the health of anyone under the age of 25 than the virus is. 6 x more risky. Why would you force children to be vaccinated????,positive
Around 200 refugee detainees at Melbourne detention centre are being tested for COVID-19 as a precautionary measure after a st…,negative
California students will be required to receive the COVID-19 vaccine to attend school once the vaccines have received full approval by the Federal Food and Drug Administration! I wouldn't put my child at risk take the jab.,negative
"Alberta is reporting 1,630 new cases of COVID-19 from 15,857 tests (10.3% positivity). There are 1,066 people fighting COVID…",negative
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
1. The COVID-19 survival rate for t…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Under Prarthana Scheme initiated by HCM Dr  dangoria, &amp; as a guardian minister, I distributed one-time fina…",positive
Covid-19 news Flu and covid vaccines can be given at the same time,negative
NEW California will require students to get the COVID-19 vaccine to attend school. The mandate will go into effect fo…,negative
"Before 💉 their kids, every parent needs to REAL research &amp; watch",positive
"",""
COVID-19 vaccines do not end up in breastmilk. It is safe to breastfeed after vaccination,negative
See the full breakdown by age,positive
COVID-19 vaccines matter.,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
A family is demanding answers after their daughter Rosette Kyarikunda who was a 5th year medical student died suddenly after…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
"Influenza in children is absolutely no joke, but Covid-19 causes more pediatric deaths, hospitalizations and long Covid. Data ⬇️",negative
Around 200 refugee detainees at Melbourne detention centre are being tested for COVID-19 as a precautionary measure after a st…,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
They’re not your kids. They’re mine.,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"US hits 700,000 Covid-19 deaths just as cases begin to fall",negative
Where to start? The fact that Hawaii is deeply struggling atm but these two decided it was their right to go on vacay there? That they're so anti-vax they wouldn't even get fake vax cards? Fake test results bc they can't bother getting a nose swab or bc they were positive?,negative
People should reveive the,positive
"",positive
"These are real people with hopes, dreams, loves, fears, everything. All gone because of willful ignorance and cruelty. 😡😡😡😡😡",negative
they don't want to buy tickets for Monday because they fear there will be a problem with COVID-19 and big concert😒 so who wants to save me😂WonderTheWorldTour WonderTheWorldTourPrague WonderTheWorldTourKrakow WonderTheWorldTourBudapest,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
"",""
Around 200 refugee detainees at Melbourne detention centre are being tested for COVID-19 as a precautionary measure after a st…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
this - and others like it - and ask themselves if the…,positive
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
and they are correct,positive
“Poll Americans vastly overestimate COVID-19 hospitalization rate…some 92% overstate the risk that unvaccinated people…,negative
accumulation of totalitarian and misinforming drukos,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"At least 700,000 (probably closer to  1,000,000) Americans have died of COVID-19 and you think all this is a joke. Interesting.",negative
Good investigation-we need to get vaccines to the developing world.,positive
"and  I ( the rider of pestilence) passed a white flag the other day, it represented a woman who died of covid-19 her death from covid-19 saved 25 million lives.",negative
Can someone please make it make sense.,negative
"- By Julie Bosman and Lauren Leatherby The latest Covid-19 deaths were concentrated in the South, and included younger people than before.",negative
Sir every body knows that no COVID-19 had remained or any big reasons,positive
"",""
News flash! Canadian MSM reports truth.,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious guidence o…,negative
"No, you cannot inhale or ingest hydrogen peroxide to treat COVID-19",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
New Zealand sees anti-lockdown protests; Indonesia plans big event in test of living with Covid-19,positive
"$10,000 bounty for reporting people that have not received the Covid-19 vaccine…",negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
Rand Paul prods Xavier Becerra to apologize to COVID-19 survivors for ‘flat-earthers’ crack,negative
"Under Prarthana Scheme initiated by HCM Dr  dangoria, &amp; as a guardian minister, I distributed one-time fina…",positive
Uh oh now what? Lol,negative
India slaps UK nationals with reciprocal COVID-19 travel restrictions DontSpoilAfgPeaceAgain,negative
Super simple poll.,positive
Is Covid-19 more lethal in a funeral??,negative
"We have lost our patience , because we can't keep it…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Stanford Epidemiologist John Ioannidis is back again with his assessment of  “age-related survival rates” for Covid-19…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Strato California To Require All Schoolchildren To Get COVID-19 Shots  startup entrepreneur,positive
Drugmaker Merck says its experimental COVID-19 pill reduces hospitalisations and deaths by half.,negative
The news is pretty grim 🧵,negative
65% say…,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"EVERY time they get completely defensive of an idea, you can be sure it's full of truth. Here's another one. Don't they remember that St. Fauci even said herd immunity could last a lifetime in some cases. This is a full-on information war. PROPAGANDA",positive
COVID-19 DEATHS This is nearly 5 million now. WHO are you happy?,positive
Frontliner (Netflix) 4.5/5⭐,positive
Why max 100 people in a Funeral but max 75…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
BREAKING California becomes the first state in the nation to MANDATE the COVID-19 vaccine for ALL public elementary and…,negative
"So, at what point am I no longer a conspiracy theorist?",negative
Now that the United States has helped China design and create the COVID-19 virus it might be a little late to act like we weren't involved.,negative
"Folks, if you work for the city of , today is your last day to receive your final dose of a COVID-19 vaccine. Yo…",neutral
I keep learning new things about Science,positive
2021.10.02 1127 New Zealand officials reported 27 new cases of the highly infectious Delta coronavirus variant in Auckland on Saturday as protesters to,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
