Cope harder hahaha,negative
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
"The CDC reports that over 80% of COVID-19 vaccine adverse events, hospitalizations, &amp; deaths occur within 14-days of getting vaccinated.The CDC doesn't consider people vaccinated until 14-days after the 2nd dose of Pfizer and Moderna.",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Heart inflammation after COVID-19 shots higher than expected in study of U.S. military | Reuters,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"India’s COVID-19 vaccination coverage has crossed 89.67 Crore (89,67,51,334). More than 62 lakh (62,86,379) Vaccine Doses have been administered till 7 pm yesterday.",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Cause and effect!😪,negative
Covidisairborne😷,neutral
"",""
Why max 100 people in a Funeral but max 75…,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"Safe huh?  Tell that to everyone who's died, had heart attacks, blood clots, bells palsey, miscarriages after getting injected with these experimental gene therapy drugs. COVID-19 launders those deaths too.  80% is a lie.  80% of LB residents you say?  Prove it.",negative
"B.C. legislature set to resume with full chamber, COVID-19 rules",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Dozens of “Nouveau Riche” United States Horse De-Wormer Millionaires Leap To Their Deaths From Tall Trailers.,negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
Maine 22 percent,positive
"",""
COVID-19 death rate in rural America now double that of urban communities,negative
We are more than just a COVID-19 vaccine company. We are an information-medicine based platform company. Our development ca…,positive
"Behind the doors of ICUs around the world, people are dying from COVID-19 in exactly the way described in detail in this…",negative
Bad news for the Left,negative
Postcodes Affected 284,negative
"",""
"",positive
via,neutral
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
There’s no such thing as it bein…,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
To se…,neutral
💢💥💢💥💢💥💢💢💥💢💥,neutral
Let's protect each other.,positive
Ventilation,positive
"",""
"There's two statistics you need to remember, but the government wants you to forget",positive
Pennsylvania 19…,positive
"Leading Brazilian neuroscientist Dr. Miguel Nicolelis denounces school reopenings, advocating global strategy to eradicate COVID-19",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"hi miss iris  if it's okay po, pls help us spread the word. we are really in need of help. thank you so much 😭",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Leading Brazilian neuroscientist Dr. Miguel Nicolelis denounces school reopenings, advocating global strategy to eradicate COVID-19",positive
"Wayne Couzens, 48, abducted the 33-year-old marketing executive under the guise of enforcing Covid-19 restrictions as sh…",negative
🚨worth reading👇,positive
COVID19,neutral
Damn horse paste!,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
"21+ Only // Doors at 9pm, Show at 1000pm",positive
In March of 2020 I made a list of the smartest people on Covid-19,positive
This will go into effect following full…,positive
Doctors call for reset on home care for COVID-19 patients,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Red Pills For EVERYONE    Just saying 👇👇👇👇👇👇👇👇,positive
COVID-19 death rate in rural America now double that of urban communities,negative
"COVID PILL BREAKTHROUGH? Merck says trials of its new drug show it may reduce COVID-19 hospitalization, death by 50 percent.  reports as California becomes the first state to require the vaccine for students after it gets final FDA approval.",negative
"Merck's COVID-19 Pill Cuts Risk Of Death, Hospitalization By 50% In Study",negative
Hang in there.,positive
HEPA filter,negative
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
New York City Teachers Petition U.S. Supreme Court to Suspend COVID-19 Injection Mandate,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
