"I keep buying the stupid kind of badge holder, so now my badge has 14 years of pocket lint and dirt stuck to it, and if I wipe it off, I wipe the badge off oP",negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
"\"Early combination therapy with hydroxychloroquine and azithromycin reduces mortality in 10,429 COVID-19 outpatients.\"",positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
"We combined individual-level data from 13,888 COVID-19 patients from 17 cohorts in 9 countries 🌍🌍🌍🌍",positive
A major…,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
"Phi Nhung, Vietnamese American musical icon, passes away from COVID-19",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
COVID-19 - Florence Nightingale Diagrams of Deaths in England &amp; Wales,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Brett Kavanaugh tests positive for Covid-19 as court prepares for new term,positive
"Asked if he supports a federal judge’s recent order to mandate COVID-19 vaccines for state prison staff,  doe…",negative
CROSS BORDER COVID-19 VACCINATION.,negative
A major…,positive
"Anti-vaxxers protest the vaccine outside a hospital in Texas while we average over 100,000 new COVID-19 cases a day",negative
岸田BOX,neutral
"Phi Nhung, Vietnamese American musical icon, passes away from COVID-19",negative
"🌏In the trial, 775 patients around the world - including in the UK - with at least one risk factor for severe illness began…",negative
Coronavirus (Covid-19) India Live News Global Covid-19 deaths hit 5 million as Delta variant sweeps the world,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Merck says antiviral COVID-19 pill halves death and hospitalizations,negative
Super simple poll.,positive
"\"Can\" benefit, but not necessarily. Risks are NOT zero.",positive
Mark Lamont Hill Reacts to COVID-19 Vaccine Conspiracy Theory About his Heart Attack👀,negative
"",positive
Hope state government is also planning for Covid-19 Booster doses as well. Just Curious.,negative
LOVE ON TOUR. SHOP MERCH EARLY.,positive
Super simple poll.,positive
Tod…,positive
"Biden administration may FIRE Border Patrol agents who haven’t gotten Covid-19 jabs, whistleblower claims",negative
They have comprehensive COVID-19 Policy and internal training programs.,positive
"",""
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
65% say…,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Your spinning. Do your job better,positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
marclamonthill VaccineSideEffects,neutral
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Dan &amp; rest of Australia can learn from,positive
"Tomorrow, 9/14, at Enterprise Center.",positive
65% say…,positive
"COVID-19 has killed more than 700,000 people in America.",negative
Time for monoclonal antibody treatment,negative
"3p21.31 is associated not only with ⬆️ risk of hospitalisation (1.5x), but also ⬆️ risk of complications when hospitalised 1.6x ICU admission, 1.5x hepatic injury",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Covid-19 is the biggest globalist scam ever.,negative
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
🚨🚨🚨BREAKING NEWS🚨🚨🚨,neutral
Kudos,positive
"Kenya, Uganda, Tanzania and Ethiopia have agreed to roll-out cross border vaccinations.",positive
via PdP,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
Super simple poll.,positive
Masks are required while shopping.,neutral
"",""
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
healthandsafety,neutral
↓,neutral
Vaccine passports for Hospitality has been in pla…,negative
"We should just be grateful that some of us have jobs in this economic crisis along with Covid-19 adding to the situation,",negative
From  i/w,positive
65% say…,positive
"Don’t blame the school, blame the government. Schools have been very clearly instructed NOT to notify infe…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
A 'Mega Health Camp' for post Covid-19 cardiorespiratory check up of BCCL employees and residents of Dhanbad is going to…,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
