This will go into effect following full…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
He is going to kill our kids!,negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
"The implementation of the XX PON in Papua is the nation's honor in the eyes of the world. If it goes well, then Indonesia in the eyes of the world is able to carry out a big event in the midst of the Covid-19 pandemic. PapuaIndonesia Iowa polizei110",positive
"United States still leads the world in Covid-19 cases and deaths, accounting for 19% and 14% of all reported infections a…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
"Just take 2 minutes of your time and listen. Project COVID-19 has nothing to do with your health, this is a depopulation…",positive
COVID-19 Testing Update. For more details visit     …,positive
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Folks, if you work for the city of , today is your last day to receive your final dose of a COVID-19 vaccine. Yo…",neutral
Science denier! Covid is less of a risk to kids than the flu.,negative
He was a sheriff. Ffs.,positive
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine. And you wonder w…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
the beginning of the end. either we all can control this timeline or let it play out for the worst….,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
