This post also explains how COVI…,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Growth in 7D US Confirmed Covid Deaths by County For OK   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"Your risk of dying after an accident involving a motor vehicle in Australia is 125,000. Your risk of dying after the As…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
California will mandate COVID-19 vaccines for children attending school once the shots are federally approved for their age groups…,negative
No way in hell should we be giving vaccinations to kids. The risk far outweighs the benefit.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
California will be the first state to mandate Covid-19 vaccines for students under an order announced Friday,negative
Want to study if ivermectin can help against COVID-19 symptoms? HAHAHA you mor…,neutral
"No vaccine passports, says UK as PM prepares to set out winter Covid-19 plan",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
States are asking some Americans that received unemployment assistance due to the Covid-19 pandemic to pay back benefits. …,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"India reports 24,354 new Covid-19 cases and 234 more fatalities – official data",negative
India slaps reciprocal travel curbs on COVID-19 vaccinated UK nationals - source,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"This discriminatory perception is well documented, but still Govt chose to furtively steal the rights to 50sWomen’s SP &amp; th…",neutral
Science denier! Covid is less of a risk to kids than the flu.,negative
"COVID-19 didn’t slow down our growing team at RevLocal! We’re hiring a dedicated Digital Sales Representative Los Angeles, CA along with several other open positions. Apply today to begin your journey with us!",positive
One resi…,positive
Hospital wait lists were stuffed before Covid,negative
Rapid Tests for Covid-19 Make Pandemic Life Easier - The New York Times,positive
"90% of Fox 'News' full-time employees are fully vaccinated, according a human resources executive said in a memo",negative
"",positive
job,positive
COVID-19 tests positive for a drunk Supreme Court Justice.,positive
California to require COVID-19 vaccines for schoolchildren,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"…. it is unclear how long FDA review will take, although Dean Li, head of Merck's research labs, said, \"they are going t…",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"Also today Taiwan vaccinated nearly half a million people, a pace it is likely to maintain for some time due to a recen…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"As Covid-19 seems to be on the wane in the rest of the country, the small hill state of Mizoram is not only reporting a disp…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Distributing Covid-19 toolkits,positive
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
