👈🏼💦,neutral
It's really frustrating when I hear people throw up their hands about the inevitability of COVID endemicity. There are lots of still endemic diseases that are rare because of vaccination. The fact are unlikely to eradicate COVID-19 doesn't mean it will be omnipresent.,negative
"The loss of 20,000 Arizonans to COVID-19 has had a devastating impact on our communities, our schools, and the familie…",negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
US surpasses 700K deaths; young children may be able to get vaccinated before Halloween Today's COVID-19 updates surpasses 700K deaths young children vaccinated Halloween Today039s COVID19 updates,negative
🛑 STOP THOSE SADISTIC PEOPLE!!!!!!!!!!,neutral
"",""
"US surpasses 700,000 COVID-19 deaths | Coronavirus News WPSD Local 6",negative
"📍More than 29.2 million people in Canada have received their first COVID-19 vaccine (+39,861 today)",negative
GREAT NEWS HEY! WE DON'T NEED TO PEER PRESSURE PEOPLE  ANYMORE! Just get the drug from the GP!,negative
Why has this not been approved by the CDC?Been in the works for a year.,negative
"Officials in Victoria deliver a COVID-19 update after the state records its highest daily tally of 1,488 cases.",negative
PROTECT THE CHILDREN!!!!!!!!!!!!!!,positive
"On this InternationalDayOfOlderPersons, I can’t help but think of the tragic effects of COVID-19 on older Canadians, an…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
7 Day Covid Growth in Deaths per 1K Population by County For AL   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
📍More than 27 mill…,positive
"Live COVID-19 updates Britain records another 32,181 coronavirus cases",positive
"Live COVID-19 updates Britain records another 32,181 coronavirus cases",positive
(Largely) unvaccinated people with Covid-19 are now causing shortages of drugs which kids with relapsed childhood leukemia ne…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"\"When the government is telling us where to look, they’re also telling us where not to look.\"",negative
Is that how it works?,positive
Key takeaways from a report just released today from  about COVID-19 Vaccine Status of Adults with Disability Fewe…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
COVID-19 tests positive for a drunk Supreme Court Justice.,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"India to impose 10-day mandatory quarantine, COVID-19 tests on all UK travellers from 4 Oct in 'reciprocal' move.",negative
Case has been…,negative
"People who got Covid-19 vaccine boosters have had mostly mild to moderate reactions, according to the CDC",negative
The other Team of 5 Million 💔,positive
"As things open back up, we're seeing some places require COVID-19 testing. At-home rapid COVID tests can produce results in minutes.",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"Before we go far, how could you ignore this?",negative
"",positive
"Kenya, Uganda, Tanzania and Ethiopia have agreed to roll-out cross border COVID-19 vaccinations. This was agreed following b…",positive
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This is government overreach on an unpre…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
The surge in COVID-19 over the summer is blamed on the highly transmissible delta variant.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Australia's NSW state premier resigns over corruption probe amid COVID-19 battle,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
“The government “secretly removed” people with disabilities from the top of the Covid-19 vaccine priority list ahead of i…,negative
Staunch AntiVaxxer just messaged a friend on the quiet to ask where he went to get his first dose of Covid-19 vaccine……  we’re finally getting through to these people.,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Dear God in Heaven.,positive
Nanfu Wang’s InTheSameBreathHB…,positive
"India reports 234 COVID-19 deaths, 24,354 fresh cases of infection in last 24 hours",negative
Super simple poll.,positive
"It's understandable, but this is rather childish of the Indian Gov and will not help matters.",negative
Direct attack &amp; targeting pregnancy🤰🏻 &amp; babies.,positive
Say this out loud,positive
"",positive
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"Just eight of the 33 Vermonters who died of  Covid-19 in September were Unvaccinated, the Vermont Department of Heath sai…",negative
"Merck says COVID-19 pill cuts death risk in half, will seek emergency authorization",negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
COVID-19 survivor puts ‘rumours’ to rest,negative
How is it that folks who won't get the COVID-19 vaccine because it hasn't been tested enough will sue a hosp…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
“Chen noted that some COVID-19 survivors have developed diabetes shortly after infection. ‘It is definitely worth investiga…,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
"Just take 2 minutes of your time and listen. Project COVID-19 has nothing to do with your health, this is a depopulation…",positive
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"The first batch of 153,900 AstraZeneca Covid-19 vaccines from Belgium, arrived at Entebbe and they were officially hande…",negative
"US surpasses 700,000 Covid-19 deaths amid case resurgence",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
The percentage of COVID-19 deaths occurring in long-term care facilities has fallen while total deaths climb among youn…,negative
Actually its not nessecery to have forced vaccines anymore.,negative
65% say…,positive
Can healthy people who eat right and exercise skip the COVID-19 vaccine? A research scientist and fitness enthusiast explains why the answer is no,positive
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
