"Pandemic Privacy A preliminary analysis of collection technologies, data collection laws, and legislative ref…",negative
Tory MP admits to Parliament that his Party are LIARS. Quoting actual Government backed NHS data he said Covid death fig…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
7 Day Covid Growth in Deaths per 1K Population by County For HI   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
LOOKING FOR BLOOD DONATION,positive
COVID-19,neutral
JanSuraksha,neutral
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
letthemchoose vaccinechoice,neutral
👈🏼💦,neutral
Ramaphosa says his government has managed COVID-19 “as well as it could”.,negative
- Pharmaceuticals,negative
[Part 10],positive
"NBA players Bradley Beal, Jonathan Isaac, and Draymond Green have voiced their opinions on mandating COVID-19 vaccines.…",negative
"This Just In from  - The U.S. just passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 dea…",negative
"After half a million views, an outpouring of emotional positive responses, no complaints about veracity &amp; 100 likes for e…",positive
US surpasses 700K deaths; young children may be able to get vaccinated before Halloween Today's COVID-19 updates,negative
World Bank approves $400m credit for Nigeria to scale up COVID-19 vaccination  vanguardnews,positive
linked to COVID-19 vaccine.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
TEAMPNP,neutral
Super simple poll.,positive
“Breastfeeding women who…,negative
Phone X,positive
"A \"Light Purple\" Iphone?   😘",positive
- FMCG,positive
[Part 1],positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
U.S. Judge upholds COVID-19 vaccine requirement for those with 'natural immunity',negative
5. Variants,positive
ToServeAndProtect,neutral
65% say…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
World Bank approves $400m credit for Nigeria to scale up COVID-19 vaccination,positive
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
Monumental development in the fight against COVID-19. Treatment options and prevention are under development. J3340news,positive
How COVID-19 can damage all five senses  via,positive
Has  done an op ed on this in  ?,positive
Tonight I signed the continuing resolution to fund our government through December. It funds critical needs like our COVID-19 re…,negative
"But if we dress the pregnant mom in a hockey jersey, the OBGYN in a goalie mask, and the dad in a funny mascot costume, we…",positive
"US surpasses 700,000 COVID-19 deaths",positive
"Minenhle Makhanya was apparently waiting for the result of a Covid-19 test on Friday, forcing the postponement of the…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
…,positive
US Daily COVID-19 Vaccine Doses Administered per 100 People (Updated Oct...  via,negative
iPhone 11 Pro,positive
Iphone 13 Pro 👀,neutral
↓,neutral
"",""
Great question!,positive
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
This is despite the massive job losses induced by…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
India has announced that British nationals arriving in the country will be subjected to COVID-19 tests and a 10-day mandatory quara…,negative
COVID-19 has been infected by Brett Kavanaugh,negative
Read this one,positive
- Grocery shops &amp; Veg shops,neutral
"All vaccines available are effective against different strains of COVID-19 so far, including Delta.",negative
↓,neutral
PNPKakampiMo,neutral
Super simple poll.,positive
Google Pixelbook Go,positive
XXX,neutral
👈🏼💦,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"In my second week as Minister for Africa I visited Eswatini, Lesotho and South Africa to",positive
- Software development…,positive
"conducted brief dialogue on anti-criminality campaign against illegal drugs, continuous campaign against sexual assault, illegal gambling, anti-terrorism in relation to E.O. 70 and COVID-19 updates.",negative
"Τhe risk of cardiac complications, including heart inflammation, has been shown to be substantially increased following COVID-19 infections, with the risks higher after the infection than after vaccination, according to the statement.\" ΕΜΒΟΛΙΑΣΜΟΙ",negative
And not getting vaccinated increases chances for COVID-19  not being contained. You prefer the life…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan pe…",negative
"US surpasses 700,000 Covid-19 deaths - CNN",negative
Countries and US states with more COVID-19 confirmed cases and deaths - 10/1/2021,negative
G'day all ☀️,positive
👈🏼💦,neutral
READ Message of US President Joe Biden on Filipino American History Month.,positive
PNPPatrolPlan2030,positive
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
US Daily COVID Vaccine Doses Administered per 100,negative
"Nintendo \"Switch\"",positive
XXX,neutral
Super simple poll.,positive
"",""
