Pfizer &amp; Moderna…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
Covid-19 pandemic slows for fifth week Covid19 pandemic slows week,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are…",positive
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
is a researcher and long covid survivor &amp; she is doing this survey to assess the quality…,positive
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
"",""
This was the first Broadway COVID-19 cancellation since shows resumed.,negative
For More Info-,positive
"",""
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
crypto,positive
This will go into effect following full…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
MyanmarCovidSOS,neutral
Vaccine passports for Hospitality has been in pla…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future?,negative
"FIGHTING THE VIRUS Dr.  discusses the significance of drugmaker Merck’s new antiviral pill, molnuprovil, whic…",positive
CA hasn't even does this for teachers yet.,positive
cryptocurrency crypto altseason defi enrichedfeed smartcontracts furucombo dex cex,neutral
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Can you still get COVID-19 if you're vaccinated? Chances are slim, but vaccines protect you from getting severely ill.",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Merck says its new experimental COVID-19 pill cuts risk of death and hospitalization by half,negative
Will Victoria’s judiciary find its voice and assert itself as a separate and independent arm of government?,negative
"",""
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Asean reported over 57,000 new Covid-19 cases on Thursday SootinClaimon.Com",negative
"Asean reported over 57,000 new Covid-19 cases on Thursday SootinClaimon.Com",negative
The findings confirm the statement made by Prof. Dr. Peter Schirmacher that in more than 40 autopsied corpses that died within…,negative
I can already see plugs selling this 😂😂😂😂,positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Idea stop calling them vaccines. Effective immediately it is the COVID-19 Exemption Program.,negative
Holy shit wtf,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
Pregnant women. Women get pregnant. This isn’t hard.,positive
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
Pull your kids out of public school and find a good co-op and homeschool them.,positive
↓,neutral
👈🏼💦,neutral
◼️ Evidence shows that Moderna is safe for pregnant women and breastfeeding women.,positive
Oct2Coup,positive
This is government overreach on an unpre…,negative
States are asking some Americans that received unemployment assistance due to the Covid-19 pandemic to pay back benefits. …,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"Also today Taiwan vaccinated nearly half a million people, a pace it is likely to maintain for some time due to a recen…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
LISD will be hosting a COVID-19 Vaccination Clinic on October 13 from 430 - 830 pm in the Performing Arts Center. You can…,positive
TrustIUnderstand I ride for mine.. RezpectTheTruth,negative
So you're arguing that you have the unalienable right to infect others with a deadly disease without fear of repercussions while making your own strawman argument about the vaccines.,positive
Follow Govt Rules-,positive
👈🏼💦,neutral
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
NSW records 813 COVID-19 cases and 10 deaths as NSW AMA issues warning to next Premier  via,negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying fro…",negative
Join us at at 1300 NZST on Tues 12 Oct for a fascinating conversation as we ask how engineers are putting real people at t…,positive
Good,positive
Growth in 7D US Confirmed Covid Deaths by County For NM   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
Just try vaccinating our children.,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
COVID-19 India Statistics as of 02/10/2021 091918 am (IST),negative
"Just days after third Indigenous person died from Covid-19 in NSW's rural communities, the fed govt awarded a contract by…",negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
This will go into effect following full…,positive
"There's two statistics you need to remember, but the government wants you to forget",positive
-STAY HOME STAY SAFE,positive
Canada stopped giving Moderna to men &lt;25 just *this week* due to the myocard…,negative
"Evangelical Lutheran Church in Tanzania hospitals receive 100 oxygen cylinders, Personal Protective Equipment from Luthe…",positive
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"US Covid-19 death toll nears 700,000 just as cases begin to fall",negative
Researchers have found changes to electrical activity in the heart can help predict which hospitalized COVID-19 patients are more likely to decline and die. The biomarker is easily measurable and potentially predicts death several days in advance.,negative
"Evangelical Lutheran Church in Tanzania hospitals receive 100 oxygen cylinders, Personal Protective Equipment from Luthe…",positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Solemn morning at the powerful COVID-19 Memorial, where nearly 700,000 white flags represent the American lives lost throu…",negative
"\"A pre-print study that overstated the risk of myocarditis following COVID-19 vaccination was withdrawn, Reuters and Lead Stories report\"",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Or will L…,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
This is what Bill Gates was talking about this is the second wave.,positive
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law  The State is backwards, and so is this crazy Bitch. With Covid-19 running wild, there won't be anybody to lock up but Gov. Kay \"Stupid\" Ivey racist as hell. Idiot.",negative
"The amount of information out there about the coronavirus is dizzying. It’s hard to keep track of what’s known, what’s a…",positive
"BREAKING Canberra has recorded 52 new COVID-19 cases in 24 hours, after 52 cases on Friday. 30 are linked. 10 in quarantin…",negative
Very clear and important article,positive
"You can do it, they’re worth it and hom…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"US COVID-19 death toll eclipses 700,000",negative
Can someone remind Dennis Itumbi aka HNIB that kenyans (Hustler's) are still waiting for the free masks he promised them on P…,positive
Warren County urges vaccination after local man dies from COVID-19,negative
Warren County urges vaccination after local man dies from COVID-19,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
Getting vaccinated against COVID-19 pro…,negative
Merck says its new experimental COVID-19 pill cuts risk of death and hospitalization by half,negative
"We're coming for ALL your records, Gladys. You should have stuck around.",positive
↓,neutral
I hope that your delusions aren't as infectious as COVID-19 is.,neutral
THISz It’s always been this; power and money. Why do u think trump &amp; his clans r STILL out there? $$$$$,negative
I’m proud of the work that  has done on school vaccination requirements and being able to work with him on tho…,positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Alaska Air Group has told its 22,000 employees they will be required to get a COVID-19 vaccination",negative
-WEAR MASK,positive
Super simple poll.,positive
To se…,neutral
Merck says its new experimental COVID-19 pill cuts risk of death and hospitalization by half,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"This is so profoundly unethical. Is “Big Pharma” is not to be trusted because of their financial vested interest, then why…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
1. The COVID-19 survival rate for t…,negative
Well I for one needed this good news today 🙂,positive
COVID-19 Vaccination  Camp  volunteers👏👏,negative
👈🏼💦,neutral
BOOM💥,neutral
"",""
Merck says its new experimental COVID-19 pill cuts risk of death and hospitalization by half,negative
No way in hell should we be giving vaccinations to kids. The risk far outweighs the benefit.,negative
The FIRST LIVE  bracelet photo by !,positive
-WASH HAND,positive
65% say…,positive
Covid-19 could be a product of crime â Human Rights,negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
Pfizer &amp; Moderna…,positive
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"He promised to entrench demo0cracy, scrap unnecessary taxes, build capacity for SMEs, offer affordable loans and formulate a post Covid-19 resilience to insulate businesses.",negative
Super simple poll.,positive
Block Moga Panjab,positive
"Actually, that's not true. You can have the daily t…",positive
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future? - News -,negative
Certainly looks like it.,positive
"Thx to a Whistleblower that came forth to Atty Renz, the public's now seeing, for the first time ever, HardData fro…",positive
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"A central team of health experts will soon visit Mizoram, which has been witnessing a spurt in COVID-19 cases.",negative
NSW victoriacovid19 camlivetv camstudio kulbircam victoriaCovid19 melbourne sydnecovid19 covidCase,positive
I verify today again that the COVID-19 has the genome sequencing combination of 'CGG-CGG'.No naturally occurring coronavi…,positive
Children are their own best defense against Covid-19,positive
Expert | CRYPTO,positive
65% say…,positive
FUCKIN—,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
Just got my Pfizer COVID-19 vaccine booster shot seven months after getting my second dose. I’m happy to report that I hav…,negative
"Australia reports 2,355 new Covid-19 cases as vaccination push continues",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
And no one can comment on their account,negative
"Given the Ana Navarro news, I think it’s time for a national conversation about the dangers of Covid-19 &amp; obesity.",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
States are asking some Americans that received unemployment assistance due to the Covid-19 pandemic to pay back benefits. …,negative
Scott just listed not being able to sing in church as one of the struggles we’ve endured under Covid-19 restrictions.,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
Thank you 🇺🇸,positive
insanity?,neutral
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Using Covid-19 relief funds directed for helping Alabamians defeat a deadly pandemic isn’t  important to…,positive
California to require all schoolchildren to get COVID-19 vaccine,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
FreeCovidVaccination,neutral
Are they going to sneak this into our water or food supply. Geez.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
PokerIsBack ♥️,positive
Today NSW Covid-19 Cases report-,negative
- Director of Programmes at the Institute of Human Rights and,negative
1/,positive
MudavadiNaMaendeleo,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"Arizona community seeing more drug overdoses than COVID-19 deaths, fentanyl seizures spike | Fox News",negative
BREAKING California is adding the COVID-19 vaccine to the list of required vaccinations to attend in person. MORE of thi…,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world | Reuters,negative
COVID-19 tests positive for a drunk Supreme Court Justice.,positive
Florida Covid hospitalizations continue to drop. Down 27% in a week. FOX35,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Potential charges on Lt Col Scheller,negative
It is safe for people to receive a COVID-19 vaccine and a flu shot at the same time and it does not negatively impact t…,negative
The conditions of COVID-19 in Myanmar on the second day after the 8th month of the Coup.,negative
