"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
"US reaches 700,000 COVID-19 deaths | TheHill",negative
"BREAKING Merck's Covid-19 antiviral pill molnupiravir reduces the risk of hospitalization or death by 50%, according to the…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
"Taiwan took delivery of nearly 1.2 million COVID-19 vaccine doses today, including shipments of the BioNTech &amp; AstraZeneca va…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"Connecticut doctor's license suspended for providing blank, signed Covid-19 exemption forms, health department says",negative
"[VIDEO] After October 1st, if you have been impacted by COVID19 &amp; have unpaid rent, you can STILL APPLY to the CA COVI…",negative
"Looking to hear from VenturaCounty educators, admin, families How do you feel about this mandate? You can reply, DM me, o…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Your condolences stopped being sincere over 500 days ago. ableg abgov abpoli abhealth,neutral
Meanwhile in Florida....,negative
Non-urgent day surgery will recommence in NSW private health facilities on Tuesday as COVID-19 transmission rates continue to…,positive
Could be one of side effects of Covid-19 vaccine.,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
Anti-lockdown protesters rally in New Zealand as 27 new COVID-19 cases recorded,negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
Safe and effective right?,positive
Varicella,neutral
👈🏼💦,neutral
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Super simple poll.,positive
Why max 100 people in a Funeral but max 75…,negative
"COVID-19 vaccination rates for Rhode Island firefighters varied by communities Friday, the day of Gov. Dan McKee's deadline for…",positive
"A Legislative Council meeting has been scheduled for Monday at 3 p.m. to discuss COVID-19 policies in the capitol, among o…",negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
He is in an initial fourteen-day period of isolation in accordance with COVID-19 protocols.,negative
" cases and 277 deaths across India, 15,914 cases and 122 deaths were reported in ",negative
"Just eight of the 33 Vermonters who died of  Covid-19 in September were unvaccinated, the Vermont Department of Heath said Wednesday. ",negative
COVID-19,neutral
Golden State Warriors' Draymond Green said it is not his place to convince team mate Andrew Wiggins to take a COVID-19 s…,positive
TNT | NATIONAL | COVID-19 STATUS,positive
"The state Department of Health Services reported Friday that there has been a total of 8,009 COVID-19 deaths.",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
Hey kids! October 26. Let's do this.,positive
Covid19,neutral
65% say…,positive
"As you read the news reports on a new anti-viral pill to battle COVID-19 from Merck called “Molnupiravir”,  keep in mind Merck is the pharma company that owns the anti-viral pill Ivermectin.",negative
"",""
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Golden State Warriors' Draymond Green said it is not his place to convince team mate Andrew Wiggins to take a COVID-19 s…,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"The world’s official covid-19 death count is 4.8m, but our new machine-learning model estimates that between 9.8m and 18.…",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
Researchers find closest relatives of Covid-19 virus among bats in Laos  via,negative
"India reported 24,354 new cases of Covid-19 and 234 deaths in the last 24 hours",negative
One resi…,positive
I can proudly report that general practices across Australia have delivered more than 15 million COVID-19 vaccines. Wel…,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"Schools with the resources to deal with the fallout from Covid-19 dominated our annual college rankings, with Harvard leading the…",negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"To those who mistakenly believe that California is a monolithic, blue state it isn’t. We have rural, red counties that are…",negative
"Thomas, 15, high school student.",positive
The news is pretty grim 🧵,negative
The news is pretty grim 🧵,negative
