China has more than 80 percent of its…,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
He was a sheriff. Ffs.,positive
"US hits 700,000 COVID-19 deaths just as cases begin to fall NewsBreak",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Joe Rogan Thinks Biden Faked His COVID-19 Booster Shot on Live TV  via,positive
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are he…,neutral
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Just days after third Indigenous person died from Covid-19 in NSW's rural communities, the fed govt awarded a contract by…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"The tyrants forcing it on you are the same people screeching about  democracy being \"sacred\".",negative
↓,neutral
The province will continue to update the screen…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
before the FDA approves the…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",positive
I will sound cold but it is what it is. GOP and Trump never cared about the virus dead. Morons who refuse a vaccine proven to keep people well enough to avoid death deserve their fate. No mercy or sympathy.,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
In this instance it mattered early treatment is the best choice...👍👍,positive
"Thanks, , for this well-organized and friendly clinic!",positive
World Leaders thank India for Covid-19 Vaccine shipments at High-level UNGA Session,positive
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
How mysterious that the exact mutations needed to change the spike protein to evade vaccination arose in the unvaccina…,negative
is a researcher and long covid survivor &amp; she is doing this survey to assess the quality…,positive
End of Covid-19 Game changer Covid-19 pill,negative
"Heading into the weekend, it’s important to remember to follow all public health measures for indoor &amp; outdoor gatherings…",positive
FreeCovidVaccination,neutral
👈🏼💦,neutral
