"",positive
New COVID-19 Data Supports Ending School Mask Mandates,positive
"South Africa has launched a new COVID-19 vaccination drive in an attempt to give doses to 500,000 people in two days.",negative
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"Protesters are back pushing for the right to make their co-workers, and co-workers' families, and their customers/clients s…",negative
And yet this government is responsible for 60murders a day🤷‍♀️,negative
Devin Booker Back With Suns After COVID-19 Battle,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
This isn’t about kids. This is about teacher’s unions.,negative
he died FROM Covid-19 which means the ALS was the only thing keeping him alive?,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
Facebook has shown again that they put profits first.,positive
PharmaScrip,neutral
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
JohnnyJet,neutral
How much damage has been…,negative
"N'Golo Kante update Thomas Tuchel says the CFC midfielder has \"some symptoms\" after testing testing positive for Covid-19 but \"he's OK and doing well.\"",negative
Covid-19 Report For 1st October,positive
👈🏼💦,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"In fact, an independent group…",positive
"While available Covid-19 vaccines provide immunity against severe disease and death, investment in drug therapies is very important to control future waves and protect those with weak immunity",negative
14thAmendment,neutral
"TODAY Covid-19 Vaccination Session (Saturday 2 October, 10am to 12noon.) For anyone aged 16 and over. Pfizer only. No…",negative
New COVID-19 Data Supports Ending School Mask Mandates,positive
"Federal health privacy law doesn’t protect workers, students, or customers from most requests for information about their Covid-1…",negative
Watch our coverage of today’s COVID-19 update from public health officials.,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
COVID-19 TRAVEL BAN Lord Peter Hain tells UK Prime Minister Boris Johnson that keeping South Africa on the Covid red list is ‘preposterous’,negative
Drugmaker Merck says its experimental COVID-19 pill reduces hospitalisations and deaths by half.,negative
This will go into effect following full…,positive
They want to make us laugh – Adeboye queries govt for making COVID-19 vaccine compulsory,positive
New COVID-19 Data Supports Ending School Mask Mandates,positive
💉We have a Covid-19 vaccine clinic open at our Council offices today!,negative
Their own staff begged them to stop allowing users to…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in infections and deaths driven by the delta variant and the refusal of millions of Americans to get vaccinated.",negative
"Merck COVID-19 pill success slams Moderna shares, shakes up healthcare sector - Reuters  HealthCare HealthInsurance ACA ObamaCare",negative
"Vaccines don’t wear off. Now, heed the booster schedule",negative
"I’m sure there’s a guy at Parks Canada right now manning a lemonade station thinking, “Thank Christ he specified  health care specialists”. Like what else would they send? A polar bear biologist? The coast guard? The Canadian diplomatic team in Portugal?",positive
Clovis parents are crying and throwing up rn.,negative
Not sure what this means other than there’s challenges to the emergency directions. If section 10 of the human rights c…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Cheers!,positive
COVID-19 is mutating into COVID-1984,positive
VUMC research contributed to first COVID-19 pill now under review,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
What a bloody mess. You know what would have prevented this? Not locking up refugees.,negative
BREAKING California becomes the first state in the nation to MANDATE the COVID-19 vaccine for ALL public elementary and…,negative
UPDATED List of Lawyers by State Who Fight COVID-19 Mandates – Clever Journeys,positive
Details behind kidney transplant recipients' immune response to the virus that causes COVID-19,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
↓,neutral
12 Things in Travel Today — Australia to ease international border restrictions from November — Virgin Galactic cleared to fly again following FAA investigation — What science knows now about the risk of Covid-19 transmission on planes + More …,negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"California’s governor on Friday issued the nation’s first statewide Covid-19 vaccine mandate for schoolchildren, saying they w…",negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"Me \"Can you explain to me what COVID19 precautions you are taking?\"",positive
New Positive Cases 478,negative
👈🏼💦,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
"",""
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"Pill to treat Covid-19 halves risk of hospitalization and death, drugmaker says",negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
Here's how the drug works…,positive
"The COVID-19 death toll has passed 700,000 in the United States.",negative
The news is pretty grim 🧵,negative
Of which 0-18 years 57,positive
👈🏼💦,neutral
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"Office \"We disinfect by wiping...\"",negative
In quarantine 281,negative
↓,neutral
This is government overreach on an unpre…,negative
And there go my October plans… I mean Qld can’t talk we got out fair share too haha.,negative
Roundtable on the challenges journalism schools face as a result of the COVID-19 pandemic,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
🌍 Session 8 of the WorldPolicyConf will discuss Health as a Global Governance Issue Lessons from Covid-19 Pandemic…,positive
After Covid-19 infection. OBC infection is spreading fast on TV channels. One party can bring OBC ministers in cabinet for three months before assembly is dissolved after 5 years of OBC free cabinet while other changing CM to OBC before elections. Media justifying actions of one.,negative
"How can people compare airborne pathogens with, car crush, smoking tabaco, HIV or even STD's?",negative
That's 23 9/11s.,negative
"US deaths from COVID-19 surpass 700,000",negative
