"",positive
Vaccines reduce risk of death and hospitalization by 96%,negative
"US surpasses 700,000 Covid-19 deaths amid case resurgence",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Noida extends COVID-19 curbs ahead of festive season, check guidelines here",negative
COVID-19 active cases in Indian a are lowest in 197 days,negative
"🌏In the trial, 775 patients around the world - including in the UK - with at least one risk factor for severe illness began…",negative
"'IT'S JUST A SHOT AWAY' Before taking the stage on Monday night, the Rolling Stones will be hosting a COVID-19 vaccine clinic at…",negative
"patented \"ivermectin\"?",neutral
California to require COVID-19 vaccines for schoolchildren,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
(Oct.) 900-1800 / (Nov.-Jan) 900-1730.,positive
"",""
"The genome wasn't sequenced, trust me everyone would be thrilled if Covid-19 turned out to be Italian in origin.",positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"U.S. COVID-19 death toll hits 700,000  via",negative
"\"Merck says its new experimental COVID-19 pill cuts risk of death and hospitalisation by half\"",negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the surge from the delta variant is starting to slow down and give overwhelmed hospitals some relief.",negative
Also sure its a game of chance but do you know what else is a worse game of chance. Literally COVID-19,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Bad news for the Left,negative
"▶1.33% Deaths (4,48,573)",negative
Vaccination rates among pregnant women remain low but p…,negative
THROW EM IN JAIL 🗣 people are fucking idiots,negative
"Good to hear, hope it continues on that trajectory.",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
* Closed i…,negative
Can someone please make it make sense.,negative
"",""
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
COVID kills.,negative
Is Covid-19 more lethal in a funeral??,negative
"",positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"California to introduce mandatory Covid-19 vaccination for schoolchildren, in nationwide first",negative
Vaccines are being replaced by monoclonal antibodies. The whole state of Florida is doing it now.,negative
California to require COVID-19 vaccines for schoolchildren,negative
Finland will begin vaccinating mink against COVID-19,negative
"If you get Covid you can take N-Acetyl Cysteine, L-lysine, Vitamin A, D3, &amp; C, Glutathione, Quercetin and Curcumin. Also tumeric, ginger &amp; garlic. I got it and took this and 2 days later was over it. I'm mid 40's, smoke a pack a day and am chubby. It works!!!!! CovidOTCProtocol",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
CoronaVirusUpdates,neutral
Total COVID-19 confirmed cases = Cured/Discharged/Migrated+Active cases+Deaths,negative
↓,neutral
This will go into effect following full…,positive
"\"Vitamin D was associated with COVID-19 infection univariably (OR = 0.99; 95% CI 0.99–0.999; p = 0.013), but not after…",negative
They’re not your kids. They’re mine.,positive
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Why max 100 people in a Funeral but max 75…,negative
"Dear Ranjeet,",negative
↓,neutral
wanting to protect…,negative
"Happy one-year anniversary to one of the craziest moments in presidential history, one which started a journey of tracking on…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Greece Excess AND Covid-19 deaths...A comparison.,negative
👈🏼💦,neutral
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Natural Immunity is 7-27x more effective you fucking lying cunts,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
This should put the final nail in the coffin of lockdowns and suchlike.,negative
Wait til they put fentanyl in these,negative
Merck Makes its Move to Own $10b COVID-19 Early Care Antiviral Market—Stock Shoots Up ⁦⁩,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Is the deception clear or not yet?,positive
Super simple poll.,positive
"-PCR report is not required for domestic arrivals at Delhi Airport. Please note, as per the latest govt mandate, District Disaster Management Authorities shall conduct random COVID-19 testing of passengers coming from the states where the cases are (1/2)",negative
"The superrich and the super famous have always taken over resorts, always at great cost. But since Covid-19 hit and intrepid types…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Fact check false.,positive
↓,neutral
👈🏼💦,neutral
Recognize natural immunity because Canadians are questioning your mo…,positive
Former heavyweight title challenger Bryant Jennings had a golden opportunity to become the first “bridgerweight” champi…,positive
"UPDATE 2-FDA advisers to review COVID-19 shots for young kids, boosters this month",positive
"Because they took ivermektin and changed the name. Most people are stupid, but not all of us..",positive
This is terrible.,negative
"\"COVID-19 should also be put in the context of other risks. COVID-19 has a lower annual mortality risk to children tha…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Sad newsy!,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"📍Total COVID19 Cases in India (as on October 02, 2021)",negative
StaySafe,neutral
"COVID-19 cases have now declined 33% nationally from 14 days ago. There's little coverage of this, which doesn't surprise m…",negative
COVID-19 U Codes,positive
Three COVID-19 pneumonia treated with ivermectin monotherapy. Dose 0.2 mg/kg every other day.,negative
"New data, new questions (1/n)",positive
Australia plans to end its travel ban for vaccinated citizens and permanent residents as the country pivots to living with Covid-1…,negative
"COVID19 is still raging,to help curb the spread of COVID19,Chegutu under the Urban Social Assistance Program (USAP) distr…",positive
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
Oh boy howdy we are. 😂,positive
Tuchel  Kante has 'some' Covid-19 symptoms after testing positive but 'he's OK and doing well'.,negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
(Page 9),positive
65% say…,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers a…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Visiting info on Sungnyemun Gate,positive
👈🏼💦,neutral
"How do we protect young, unvaccinated children from the Delta variant? Dr. Vivek Murthy, U.S. Surgeon General, explains that CO…",positive
"If you’ve had COVID19, you may have some natural protection, or immunity, from the virus, but we don’t know how long that last…",positive
"Taiwan took delivery of nearly 1.2 million COVID-19 vaccine doses today, including shipments of the BioNTech &amp; AstraZeneca va…",negative
Julian Hill MP,positive
They defervesced soon af…,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
7 Day Covid Growth in Deaths per 1K Population by County For CA   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Where is virus, and if you talk about students you always use high importance for COVID-19 for God sake don't play with our future anymore",positive
"\"the following alternative language can help mitigate",positive
"Just a study that looked at the records of 32,000 people…",positive
29 m  ·,positive
This will go into effect following full…,positive
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
"If you get Covid you can take N-Acetyl Cysteine, L-lysine, Vitamin A, D3, &amp; C, Glutathione, Quercetin and Curcumin. Also tumeric, ginger &amp; garlic. I got it and took this and 2 days later was over it. I'm mid 40's, smoke a pack a day and am chubby. It works!!!!! CovidOTCProtocol",positive
“Explain how my fully vaxxed cousin died”he literally said it REDUCES likelihood of death not completely gets rid of it entirely.,negative
"▶97.86% Cured/Discharged/Migrated (3,30,68,599)",positive
takeUsBackToChina,positive
This is government overreach on an unpre…,negative
California will require our students to get vaccinated against COVID-19 to come to school. Just like existing vaccine requi…,negative
Australia's Covid-19 vaccinations - 02/10/2021 COVID19Vic COVID19nsw,negative
"Naturalist And Travel Specialist, Phalgun K Patel, Talks About Wildlife Tourism During COVID-19",positive
