All because I read about and showed the fallacies of MRNA tech🧐,negative
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths",negative
"Laughable nonsense from the  re Ivermectin which ignores actual trials, data &amp; science re ivermectin's efficacy…",negative
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
WE'LL GET TO ONE MILLION DEAD AMERICANS SOON IF WE DON'T DO SOMETHING DIFFERENT WITH OUR TREATMENT APPROACHES (BESIDES VACCINES-ONLY). WE NEEDN'T GET TO ONE MILLION DEAD AT ALL IF WE JUST COMBINE VACCINES WITH NUTRITION. I'LL BE THE ONLY COVID-19 ADVISORY PANEL FOODIE!,negative
BREAKING,negative
"All Americans &amp; people flying in from other countries have to be vaccinated, but i…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Hoping that     or  is currently working on a story abo…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"No, you cannot inhale or ingest hydrogen peroxide to treat COVID-19",positive
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
California becomes first US state with COVID-19 vaccine mandate for schools,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Saturday Afternoon Covid-19 Update Provincial Totals - more at  Thailand,positive
"",""
White kids were being released from juvenile detention centers at a far higher rate than their Black peers during the ear…,negative
Hoping that     or  is currently working on a story abo…,positive
Dear Mr Pj Morton🙏. can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
Alaska Air Group has decided all employees are required to get the COVID-19 vaccine.,negative
Book your jab i…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Congratulations morons…,positive
WE'LL GET TO ONE MILLION DEAD AMERICANS SOON IF WE DON'T DO SOMETHING DIFFERENT WITH OUR TREATMENT APPROACHES…,negative
"Latin America’s disastrous experience with the COVID-19 pandemic has made it clear that, across the region, governments…",negative
Go_CheshireWest 🧪 Free walk-in lateral flow tests are available from our pop-up COVID-19 testing units which will be in Leftwich and Ellesmere Port next week.,positive
"So,science is still exploring the ways to counter virus infection,yet,since 18th century it's under mystery?",positive
Covid-19 Deaths in U.S. Level Off as Delta Variant Surge Eases - The Wall Street Journal,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Nowadays College is all about making students feel as if we're responsible for the covid-19 pandemic! We're being made to pa…,negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"▶97.86% Cured/Discharged/Migrated (3,30,68,…",positive
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
And third Myocarditis following COVID-19 vaccination.,positive
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
"Today, the CCSA reported 11,375 new Covid-19 infections. Coronavirus-related deaths fell below 100 for the first time in months with 87 deaths. Since April 1, in the latest wave ...",negative
Saturday Papers Morrisons bidder Fortress in last-minute talks with supermarket’s pension trustees;  investors dump short-term Treasury bills over US budget deadlock; &amp; new Merck Covid-19 pill halves hospitalisation or death rates (GL).,negative
Pfizer accused of experimenting on orphan babies to test their Covid-19 Vaccine.🤬,negative
Why hasn't ivermectin been submit…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Vaccine passports for Hospitality has been in pla…,negative
Antibody tests for COVID-19 remain popular in Russia,negative
Insanity. Like - even from the most cynical self-interested view - is keeping COVID-19 alive in their region in US interests?,negative
Bullshit. This is not human error lah cibai. Are u kidding me,negative
How Merck’s Covid-19 pill molnupiravir could change the Covid-19 pandemic -,negative
1/2 - “It has been recently reported that the risk of acquiring COVID-19 by touching contaminated surfaces in less than 5 in…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
"Oral antiviral may halve COVID-19 hospitalisation risk, claims manufacturer",negative
