"",""
“A Report on the U.S. Vaccine Adverse Events Reporting System (VAERS) of the COVID-19 Messenger Ribonucleic Acid (mRNA) Bio…,negative
There were 65 new cases in the Hunter Valley today. Up to 34 were infectious in the community and the source of 17 is unknow…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Today, Ontario FINALLY mandated vaccin…",positive
"Just live healthy and maintain good health and good natural immunity. This done, live without any fear of covid-19 infection and enjoy sex as and when needed. That's it.",positive
Why max 100 people in a Funeral but max 75…,negative
“ will instead present a medical certificate certifying that they do not exhibit symptoms of the COVID-19 virus at the point of their origin” what’s the difference?,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
BIG NEWS..,positive
Doctors fear hospitals could be overwhelmed by rising COVID-19 admissions and a growing load of elective surgery that must be d…,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
The ACT has recorded 52 new locally acquired COVID-19 cases for a second consecutive day,negative
The pharma giant says its new antiviral drug cut hospitalizations in half for at-risk Covid-19 patients,negative
What is going on here? How can this happen every single day? 😥,negative
Why hasn't ivermectin been submit…,negative
🎗️ Breast cancer is 2nd most common cancer among 🇺🇲 women,positive
"",""
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to u…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
THIS IS A FUCKING FIGHT. ALL OUT WAR MOTHERFUCK.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"JUST IN Taking a course of a particular antiviral pill over five days, shortly after COVID-19 diagnosis, may slash the risk of be…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Let us all celebrate our friends here for this wonderful humanitarian work.,positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Fire at Romanian COVID-19 hospital kills seven people,negative
"Larry, I just want you to know my kids went back to school 3 weeks ago. Wearing masks. There's been 2 child deaths in 3 days this week. Both 10 and younger. It is completely heartbreaking. I can't imagine what those parents are going through. 💔😥💔😥💔😥",negative
Super simple poll.,positive
The pandemic changed how Americans have sex. Experts explain why.  via,positive
Migrant Construction Workers and Covid-19 Pandemic,negative
"",""
Fully Vaccinated Justice Brett Kavanaugh Tests Positive For Covid-19,negative
Why hasn't ivermectin been submit…,negative
"Following full FDA approval, the COVID-19 vaccine will be required for in-person school attendance — just like vaccines for…",negative
China’s use of force and coercion to drive up its COVID-19 vaccination rate is not the answer -,negative
"Australia reports 2,355 new COVID-19 cases as vaccination push continues",negative
"Although COVID-19 cases has decreased, schools are considering a ‘mask optional’ option for students even though there has been a few reported youth deaths this week due to the virus. Board members disagree with this method as students aren’t able to be vaccinated mcj20310_1",negative
"COVID-19 is out of control in Alberta, which has the lowest vaccination rate in Canada. The hospital system is crumbling and ICUs are overfilled with COVID patients. Yet ‘Rebel News’ continues to campaign against vaccine certificates.",negative
States are asking some Americans that received unemployment assistance due to the Covid-19 pandemic to pay back benefits. …,negative
California to require COVID-19 vaccines for schoolchildren,negative
we call on The European Union to foster international cooperation by proactively supporting and,positive
65% say…,positive
Glad that's the only reason we're still alive 😶,negative
Anything that might help lessen severe illness and death from Covid is good but I hope this new Merck Covid-19 pill doesn't further muddy the water and embolden anti-maskers and anti-vaxxers. They always weaponize any alternative to public safety and vaccine based herd immunity.,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Doesn't look like human error to me. There shouldn't be another syringe laying around exposed to contamination.,negative
JKPYC has expressed anguish over the termination notice served by the government to recently appointed Paramedical sta…,negative
