"“They say we live in the land of the free. Well, you’…",positive
COVID-19 tests positive for a drunk Supreme Court Justice.,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"India recorded 24,354 fresh Covid-19 cases, 234 deaths in 24 hours | HW English Coronavirus CovidCases CovidDeaths CovidVaccine COVID19Cases Featured",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Coronavirus3rdWave CovidCases CovidRestrictions COVID-193rdWave,positive
"",positive
"Covid-19 - Who's wrong, who's right?",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
At Least One Long-Term Symptom Seen in 37% of COVID-19 Patients Study,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"Merck says COVID-19 pill cuts risk of death, hospitalization",negative
Excellent news!,positive
COVID-19 Hospital admissions &amp; deaths consistently lower for delta wave compared to alpha wave.…,negative
This one costs $700 for a 10 day treatment or $70 per pill while Ivermectin costs $0.58 per pill. Follow the science?…,negative
"Thank God! But, will they take them?",positive
"DOUALA, CAMEROUN",positive
This will go into effect following full…,positive
DEFINITION OF A VACCINE..A substance used to stimulate the production of antibodies and PR…,negative
The COVID-19 pandemic has had a significant impact on people's mental health. Please share with us (icday.org) how yo…,negative
"India logs 24,354 new COVID-19 cases, 234 fresh fatalities",negative
"'Secondary schools in Merthyr Tydfil, Bridgend, and Rhondda Cynon Taf reintroduce face coverings as a precautionary measure.…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Bad news for the Left,negative
This will go into effect following full…,positive
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
Gavin Newsom is a great Governor!,positive
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
Things are so topsy-turvy these days. Crossing fingers 🤞,positive
"Report from an employee at Cabinet Solutions in HICKORY, NC on Oct 15, 2020 \"There is an outbreak of COVID-19 at the facility, including office and manufacturing employees. Face masks are optional and social distancing is not being enforced.\"",negative
"An Australian practitioner discussing the AHPRA gag order. It is a simple request, speak out against the official govern…",positive
COVID-19 death rate in rural America now double that of urban communities,negative
I thought Biden had a cure.,negative
"Justice Brett Kavanaugh tested positive for COVID-19 after routine test Thursday, a day AFTER he ran in a charity race alon…",neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Candidate Joe Biden told us that the Trump COVID-19 virus vaccine was dangerous because unlike other vaccines it hadn't been thoroughly tested.,negative
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
Can someone please make it make sense.,negative
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
"Here in Europe ain't nobody asking Neymar, Mbappe, and Messi about vaccinations and where do they stand.",negative
This will go into effect following full…,positive
It's only been two years and Singapore people SLEEP in 5 masks. Why aren't the masks working?,negative
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Over 5.28 Crore COVID-19 Vaccine Doses Still Available With States And UTs Union Health Ministry,negative
Is Covid-19 more lethal in a funeral??,negative
"Date  2nd October, 2021",positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
700K WHITE FLAGS ON NATIONAL MALL TO HONOR COVID-19 VICTIMS.,negative
"",""
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"Around Rs 4,700 crore has been paid against more than two lakh death claims filed under the PMJJBY in the last financial…",negative
The other Team of 5 Million 💔,positive
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Flawed study misrepresents Covid-19 vaccination fatality rate,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
American Samoa confirms two Covid-19 cases,positive
There’s no such thing as it bein…,negative
Judgement on COVID-19 goes HEAVY METAL [Kenneth Copeland Remix] [I Demand]  via,positive
"How the COVID-19 pandemic has impacted cancer diagnosis, treatment in Australia ListenOrRead news media",negative
Why max 100 people in a Funeral but max 75…,negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
Seven. Hundred. Thousand. It’s an abomination. getthefuckingshot GetVaccinatedNow,neutral
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"Many others have pointed this out, but the thing about natural immunity is that it involves actually getting COVID, which seems like maybe not the best option",positive
There are 13 million rapid tests sitting in Ontario warehouses that could instead be used to prevent the spread of COVID-19…,negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
Judgement on COVID-19 goes HEAVY METAL [Kenneth Copeland Remix] [I Demand]  via  …,positive
SA Health is on high alert after another COVID-19 case was detected. 7NEWS Adelaide at 5.30pm and 6pm |,negative
Covid-19 hasn't calmed down and yet IDPs is facing the shortage of food. We must eradicate SAC asap.,negative
Time  9am - 1pm,positive
It didn't have to end this way!,negative
People in t…,negative
"An Australian practitioner discussing the AHPRA gag order. It is a simple request, speak out against the official govern…",positive
