"",""
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
Facebook has shown again that they put profits first.,positive
Super simple poll.,positive
within 14 days of COVID-19 vaccination,negative
before the FDA approves the…,negative
"Muslim women Muhsina, her mother-in-law &amp; kid Athif jailed for meeting with her husband, Anshad Badruddin, jailed under UAP…",negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
He was a sheriff. Ffs.,positive
Fourteen more Albertans died of COVID-19 yesterday.,negative
"",""
"The first one is free, says the drug pushers.",positive
"Ivermectin has cured 0% of COVID-19 cases. But what if it was 1,000 times more effective?",positive
Critics slam Alabama's plan to spend federal Covid-19 relief funds to build new prisons  reports,negative
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future?,negative
"Wish our MSM would let the British public know the truth, namely that th…",negative
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
↓,neutral
"",positive
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"What if we told people to get enough Vitamin D and Zinc, eat better, and maybe do some exercise every day?  Is there mo…",positive
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Their own staff begged them to stop allowing users to…,negative
Potential charges on Lt Col Scheller,negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine according to official ONS data – The Expose,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
MUTED DURGA PUJA IN BENGAL AGAIN,negative
65% say…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Leading Brazilian neuroscientist Dr. Miguel Nicolelis denounces school reopenings, advocating global strategy to eradicate COVID-19 - World Socialist Web Site",negative
among Medica…,positive
States are asking some Americans that received unemployment assistance due to the Covid-19 pandemic to pay back benefits.  reports. -,negative
MUTED DURGA PUJA IN BENGAL AGAIN,negative
To learn more about U.S. COVID-19 vaccine…,positive
Growth in 7D US Confirmed Covid Deaths by County For NJ   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Over 20% of illegal immigrant unaccompanied minors and 18% of family units who recently crossed the U.S.-Mexico border have tested POSITIVE FOR COVID-19 prior to being released from US CBP custody into southern US states.,negative
↓,neutral
👈🏼💦,neutral
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"This is no small figure Nearly 200 million US adults (77.3%) have gotten at least one dose of Covid-19 vaccine, according…",negative
"Dear , please support a 20% increase in  polio and measles programs for FY22. The COVID-19 pandemic has shown us how investments in the polio program have strengthened global health systems so that children everywhere can get a .",neutral
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"\"COVID-19 should also be put in the context of other risks. COVID-19 has a lower annual mortality risk to children tha…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
A thread,positive
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
