Why hasn't ivermectin been submit…,negative
"BREAKING California will add the COVID-19 vaccine to the list of mandatory vaccinations for school children, Gov. Newsom just…",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"Sadly, there will never be a vaccine to counter greed and idiocy.",negative
1) with or from 2) over 20 months when we were told it would happen regardless if we opened up…and places have been open fo…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Good grief. He admitted he misspoke.,positive
"Like, politicians announce vaccine mandates for kids",negative
Unf…,positive
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
Despite all the news - and there has been a lot of news - I hope people remember that the government’s rollout of the Covid-19 vaccine to disabled people was described as ‘seriously deficient’ by the  this week.,negative
💥✴️Breaking✴️💥,neutral
"",""
🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡🤡Why You Should Not Use Ivermectin to Treat or Prevent COVID-19,positive
This is going to be amazingly helpful to have until we finally get a vaccine.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
Swiss vaccination rates seem to be on the up again! They stagnated around 50% for a while but since the Covid pass was b…,negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-1…,negative
ACT records 5⃣2⃣ new local cases,negative
🔹Hospitalised - 13,neutral
COVID19ACT,positive
This is the hole in the argument that getting the vaccine is a personal choice rather than a national health issue.  This is…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
50%?! The survival rate is over 90% with nothing 😭,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
I verify today again that the COVID-19 has the genome sequencing combination of 'CGG-CGG'.No naturally occurring coronavi…,positive
More than 150 community-based organizations funded by the CDC Foundation aim to persuade Americans to get the COVID-19 vac…,negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
1. The COVID-19 survival rate for t…,negative
My latest thoughts,positive
↓,neutral
before the FDA approves the…,negative
First Friday’s in Oakland returns for the first time in over a year since ending due to the COVID-19 pandemic.,negative
More people dead from Covid-19 than the whole population of Boston.,negative
Merck Investigational Oral Antiviral Molnupiravir ⬇️ the Risk of Hospitalization or Death by ~ 50 % Compared…,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
Respect.,positive
World Leaders thank India for Covid-19 Vaccine shipments at High-level UNGA Session,positive
Can parasites enter th…,negative
"Three days after reopening for the first time in 18 months, the Broadway hit “Aladdin” is shutting down until Oct. 12 because of br…",negative
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
🔹ICU - 3,positive
"700,000 Americans Have Died of COVID-19",negative
This will go into effect following full…,positive
"Victoria records 1,488 new cases of COVID-19 as regional communities are thrust into lockdown - ABC News",negative
Can someone please make it make sense.,negative
👈🏼💦,neutral
"There's two statistics you need to remember, but the government wants you to forget",positive
"A spokeswoman for Mr. Foley later confirmed that \"78% of those in hospital were unvaccinated, while 17% had received just one dose. That means a mere 5% of hospitalised COVID-19 patients in Victoria were double-jabbed.\"",negative
Grifter's gonna grift. Shill's gonna get played.,positive
"",""
This will go into effect following full…,positive
Tonight I signed the continuing resolution to fund our government through December. It funds critical needs like our COVID-19 re…,negative
BREAKING Twitter User  (5’2” on a good day) does not give a shit.,positive
"test3 Mumbai reports 418 Covid-19 cases, six deaths",negative
How COVID-19 can damage all five senses  via,positive
EYE ON HEALTH The new president of the American Heart Association is sounding the alarm about cardiovascular disease and Covid-1…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
So what we can say with a great deal of certainty is that the risk of COVID-19 is much higher in developing countries than in hi…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"\"Rural America\" = Trump red states.",neutral
"In grim milestone, U.S. surpasses 700,000 COVID-19 deaths",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
good.,positive
"Merck pill seen as ‘huge advance,’ raises hope of preventing COVID-19 deaths",negative
"U.S. COVID19 deaths surpassed 700,000 Friday -- JHU",negative
▫️30 linked,positive
"🔹Tests - 2,923",positive
Why hasn't ivermectin been submit…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Ultimately, the message from this work is simple - COVID-19 has been devastating to low-income places, and we must act urgently…",positive
Senator Feinstein introduces bill requiring vaccine or negative COVID-19 for domestic flights,negative
Highlight Malaysia to add innovative treatment options on top of Covid-19 vaccines — Khairy -,positive
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
"",""
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"\"Rural America\" = Trump red states.",neutral
"“..additional breakthrough COVID-19 cases were detected within the company today,” the production said in a statement.”",negative
Is Covid-19 more lethal in a funeral??,negative
How a group with right-wing ties duped tens of thousands of Americans into buying COVID-19 drugs ...  via,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
"U.S. reaches 700,000 deaths from COVID-19 as Delta v…",negative
"News HK US hits grim Covid-19 milestone of 700,000 deaths -",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"U.S. COVID19 deaths surpassed 700,000 Friday -- JHU",negative
This is government overreach on an unpre…,negative
Australia plans to end its travel ban for vaccinated citizens and permanent residents as the country pivots to living with Covid-1…,negative
"\"Rural America\" = Trump red states.",neutral
