634 ho…,positive
LOOKING FOR BLOOD DONATION,positive
This is what a deep sense of loss looks like,negative
This is the outcome of 's arrogance &amp; dereliction,positive
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
her Mom has COVID-19 with severe symptoms.,negative
SA Health has identified new COVID-19 exposure locations in South Australia.,negative
"i’m really hoping they’re getting this one more right than aerial transmission and masks, but i’m also seeing very disturbing numbers on adverse events and deaths",negative
“Both companies have already increased the price of their jabs.”,negative
Pfizer &amp; Moderna…,positive
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Merck’s experimental pill to treat covid-19 cuts risk of hospitalization and death in half, the pharmaceutical company reports",negative
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange covid vaccination camp with the p…,positive
“54 children sent to hospital is 54 too many. It’s just not acceptable. COVID-19 can be mitigated with simple public heal…,negative
Anyone’s right to contract and spread COVID-19 ends where my grandchildren share a classroom!,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
COVID-19 Vaccination  Camp  volunteers👏👏,negative
💔 362 dead from Covid19 in NSW since June 16th,negative
Why hasn't ivermectin been submit…,negative
Merck to File EUA for First Oral Antiviral Medicine for COVID-19  via  Equipment,negative
wrote this on may 5 2020 “The coronavirus scenario I can’t stop thinking about is the one where we simply get used to all the…,neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Senate Min Ldr  believes,VP  will file her COC before Oct 8She is the most qualified to lead…",positive
Lock it down!!!,positive
"Myanmar's ongoing economic problems were caused by \"outside factors\" and two waves of COVID-19 infections, but the milit…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"India records 24,354 new Covid-19 cases, 234 deaths; Kerala remains top contributor",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Breakthrough COVID-19 cases cited for cancellation of 'Aladdin' Broadway performance,negative
"Senate Min Ldr  believes,VP  will file her COC before Oct 8She is the most qualified to lead…",positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Potential charges on Lt Col Scheller,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
If you pray please help me pray for them,negative
Block Moga Panjab,positive
Super simple poll.,positive
🙏🏼🙏🏼🙏🏼🙏🏼🙏🏼,negative
Covid-19 is the biggest globalist scam ever.,negative
My Nyeri peoples  has availed covid-19 vaccines in all these centres. PataChanjoKe,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
“Vitamin D status appears to be strongly associated with COVID-19 clinical severity.”,negative
If you at…,positive
COVID-19 HEALTH ALE 2 October 2021,positive
LOL Of course they have! 🤣,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
New Covid-19 pill in Germany exceeds all expectations as it reduces Coronavirus deaths by half,negative
FreeCovidVaccination,neutral
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Eritrea Announcement from Ministry of Health,positive
💔 418 dead from COVID-19 in NSW since the beginning of pandemic,negative
65% say…,positive
"PHE \"Wear a face covering in enclosed spaces, avoid mixing with others if you feel unwell &amp; get a PCR test straight aw…",neutral
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"COVID-19 Vic. 1 Oct | 1,143 new cases and three deaths as vaccine mandat...  via",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
☀️☀️☀️,neutral
DEFINITION OF A VACCINE..A substance used to stimulate the production of antibodies and PR…,negative
"BREAKING Merck says its experimental COVID-19 pill cuts hospitalization and deaths by half, will soon seek authorization for use.…",negative
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
Critics slam Alabama's plan to spend federal Covid-19 relief funds to build new prisons  reports,negative
"\"Since the beginning of July, there have been thousands of excess deaths that were not caused by coronavirus.",negative
Super simple poll.,positive
"*56 patients diagnosed positive for COVID-19 at Q/Centers in Central, Anseba…",negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
"\"A group of international scientists and health experts has called for the board of New York nonprofit EHA to remove Dr. Pete…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
HAPPY BILLKIN'S BIHDAY,positive
SA Health has identified new COVID-19 exposure locations in South Australia.,negative
65% say…,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"Fact Check No, natural immunity isn’t as good as a COVID-19 vaccine, experts say",negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
Bad news for the Left,negative
"In fact, an independent group…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
AN OTHER OHMO RESEARCH TEAM'S NEWEST PUBLICATION,positive
"On Billkin's 22nd birthday, we decided to send a small donation to the Covid-19 Vaccine Fund in…",positive
I hope the Kenya govt follows suit,positive
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
Now he is a good cop,positive
More evidence suggests COVID-19 was in US by Christmas 2019    the new coronavirus popped up in the U.S. in December 2019 — weeks before cases were first recognized by health officials.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
Get a grip,positive
"💔 58,158 COVID19nsw cases since June 16th",positive
This will go into effect following full…,positive
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Damn, COVID-19 is communicatcble by beer?",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
Shawol Twitter please help me pray for a fellow Shawol friend,positive
"According to health experts, this is highly unusual for the summer.\" winteriscoming",negative
Here you can read our next newest scientific publication titled '' The…,positive
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
7 Day Covid Growth in Deaths per 1K Population by County For MA   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Ex-Pfizer Employee Warns Vaccine Increases COVID By Over 300%,positive
"",""
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
COVID-19 HEALTH ALE 2 October 2021,positive
If you at…,positive
has anybody seen a study that demonstrates reduced all-cause mortality for people under 20?,positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
"The fraudulence of covid-19 vaccines is clear, and the evi…",negative
"U.S. Coronavirus Death Toll Surpasses 700,000 Despite Wide Availability of Vaccines",negative
