"Please help spread the word, tell your fr…",positive
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"N'Golo Kante update Thomas Tuchel says the CFC midfielder has \"some symptoms\" after testing testing positive for Cov…",negative
"I check up daily covid-19 statistic table because I worry that may our unıversity close again? Especially, I believe that we will cope with this disaster. AnadaluUniversity",negative
"Over 88.14 cr COVID-19 vaccine doses provided to States/UTs so far, says Health Ministry",negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-…",negative
"Research by an independent statistician, who goes by the pseudonym of John Dee, appears to confirm what many have suspected s…",positive
7 Day Covid Growth in Deaths per 1K Population by County For IN   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Airman makes v…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"'Moderna's Japanese distributor, Takeda, said on Friday that \"human error\" caused metal particles that 'react to magne…",negative
"Thanks to a Whistleblower that came forth to Attorney Thomas Renz, hard data from the largest database available in the U.S.…",positive
"Next one year will prove, that even 100% vaccination can't control Covid-19 because all of the Covid-19 vaccines offer only…",negative
Draymond is right on the last part.,positive
"Thomas, 15, high school student.",positive
In quarantine 281,negative
Their recent Covid-19 deaths a…,negative
"In Portugal, there is virtually no one left to vaccinate against Covid-19",negative
The decision to disallow celebrations hurt the sentiments of the community,negative
Local contacts 197,positive
How much damage has been…,negative
"🇦🇺 is ready to take its next steps to reopen safely to the 🌏. Under Phase C of the National Plan, overseas travel restrict…",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
Utter insanity. If anything were anti-science it would be this. And totally destructive.,positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
😳 COVID-19 may impair men’s sexual performance - National Geographic,positive
How Covid-19 Indirectly Proliferated the E-Commerce Industry -  -  -,positive
This will go into effect following full…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
He’s just had his first dose of the COVID-19 vaccine.,negative
"Whilst economic activity in almost all other areas decelerated, COVID-19 created a sudden ...",positive
Health Canada working to review Merck's experimental COVID-19 pill treatment,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
Bissmillahirrohmannirrohim,neutral
(D…,positive
Personal Choice is an American issue. Anyone who says otherwise is an enemy.,negative
Done the first jab of  COVID-19 Vaccine 💉 Pfizer one wait another 4 weeks to get the second ja…,positive
"COVID-19 mortality risk correlates inversely with vitamin D3 status, and a mortality rate close to zero could theoretically be achieved at 50 ng/ml 25(OH)D3 Results of a systematic review and meta-analysis💥👉",positive
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
aduh not this issue again,negative
Rajneeti News (Global Covid-19 caseload tops 234.2 million Johns Hopkins University),positive
This will go into effect following full…,positive
"We are &gt; 19-months into the \"pandemic\". Globally, &gt; 3 million people die EVERY year from respiratory viruses and complicati…",negative
"Get yourself fact-cinated! As the COVID-19 vax rolls out in schools, we've produced a handy guide for young people and th…",positive
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
"Did you know the FDA has approved a COVID-19 vaccine? Dr. Janet Woodcock, Commissioner of the FDA, discusses the approval—and h…",positive
"US surpasses 700,000 Covid-19 deaths",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Remidesivir - 26% of recipients died in USA...how many in India?,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Pfizer says its COVID-19 vaccine is safe and effective in children 5 to 11. It plans to file for EUA “in the coming weeks.…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Of the patients hospitalised...a larger proportion of patients younger than 5 years needed intensive care supp…",negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
There are 13 million rapid tests sitting in Ontario warehouses that could instead be used to prevent the spread of COVID-19…,negative
A Lucky Duck News | Justice Kavanaugh tests positive for Covid-19,positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Unless COVID-19 has more bad surprises, it should be in-person. But I do not rule out the possibility of a mixed in-person/zoom setting ! Let’s see in December",negative
That’s a 2.5 times higher death rate. And we have a flu vax for children....,negative
‘All my friends are getting vacc…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
14yo student from Liverpool in Sydney spends Covid-19 lockdown creating needle-free Epipen,negative
Covid-19 Report For 1st October,positive
COVID19Aus,neutral
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
1. All the data suggests that our kids are safe from this virus and don’t need to be vaccinated.  2. Our vaccine schedu…,positive
Let them starve.,negative
I'm not taking advice from a magazine that…,neutral
"🇦🇺 is ready to take its next steps to reopen safely to the 🌏. Under Phase C of the National Plan, overseas travel restrict…",negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"Next one year will prove that even 100% vaccination can't control Covid-19 because all of the Covid-19 vaccines offer only partial, short-lived, leaky immunity. Control is illusion created by greedy politicians",negative
"Washington The global coronavirus caseload has topped 234.2 million, while the deaths have surged to more than 4.79 million and  ... has been published on Rajneeti News -  ...",negative
Additional Update on “แปลรักฉันด้วยใจเธอ เต๋+โอ้เอ๋ว Fan Meeting” Ticket Refund.,negative
They are too stupid to care about the effect they have on the society in which they live.,negative
New Positive Cases 478,negative
"",""
Of which 0-18 years 57,positive
Evident still now.,neutral
Is the Pfizer COVID-19 vaccine booster safe for those that received the Moderna vaccine initially? UH infectious disease e…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
"Pregnancy is a period of weakened immune state, making pregnant women much more susceptible to COVID-19. While there is no…",negative
Golden State Warriors' Draymond Green said it is not his place to convince team mate Andrew Wiggins to take a COVID-19 s…,positive
As a ex Staff Nurse of over 21 years i find this clip hilarious and somewhat sickening. It's precisely why i left the…,negative
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
"In COVID-19 situation, we deeply apolog…",neutral
More garbage cover ups from MSM.,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
When this happens here I will home school my Covid recovered child!,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
Australia is on track to vaccinating at least as high a proportion of our population as the US.,negative
