U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
COVID-19 Vaccine Tracker Over 69.33 lakh doses given on October 1,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
SCOTUS Justice Brett Kavanaugh Tests Positive for COVID-19,positive
Chinese citizen journalist who documented Covid-19 in Wuhan resurfaces after 600 days,negative
It appears that the Covid-19 injection isn't effective.,negative
Dated  1 October 2021,positive
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine. COVID19,negative
MaskUpVoteBlue,neutral
before the FDA approves the…,negative
"When is Nkana coming to lusaka, we learn new insults in the stadium its been long..",neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Lin Wood points to an elaborate Covid-19 Enterprise Fraud Construct Timeline by PoliticalMoonshine. Quite interesting, but what are the main conclusions that can be drawn from it? In a nutshell. 🤔",positive
How much damage has been…,negative
The last variant of COVID-19 has been named. It’s called Communism.,positive
CovidVaxExpose…,neutral
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
And polio vaccines are unnecessary since polio was eliminated from the United States in 1979.,neutral
COVID19,neutral
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
Should we be able to use Ivermectin (which worked for me)…,negative
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
COVID-19 Vaccine Tracker Over 69.33 lakh doses given on October 1,negative
"\"'The COVID-19 pandemic and its subsequent economic recession have revealed the failure and fragility of our current economic system,' the report stated, '...prioritized business interests over the well-being of people and the environment...'”",neutral
Authorities in Cambodia’s Sihanoukville threatened to take legal action against casinos and businesses that force staff…,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
A whistleblower has provided government data,negative
Vaccine passports for Hospitality has been in pla…,negative
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
"",""
-John C. Dvorak,positive
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
Sen. Lisa Murkowski urged Americans to ''show kindness'' to healthcare workers dealing with the COVID-19 pandemic amid a surge…,negative
Holy crap,negative
The Covid-19 vaccines are free.,negative
"documenting 48,465 deaths",negative
Elimination of polio in the US is best proof of a successful vaccination program.,positive
Covid-19 treatments are not and could wreck you financially.,negative
within 14 days of COVID-19 vaccination,negative
There’s no such thing as it bein…,negative
Veteran Liberal MP Russell Broadbent says he hasn’t been vaccinated against COVID-19 and doesn’t want to take any of the jabs c…,negative
Good thing the flue disappeared when COVID-19 started. Otherwise we would have even more deaths.,negative
What did Covid-19 caused you?,negative
"We are &gt; 19-months into the \"pandemic\". Globally, &gt; 3 million people die EVERY year from respiratory viruses and complicati…",negative
"If you don't like this, please leave, I will buy your house",neutral
Covid-19 vaccinations Only four percent more to go before interstate travel allowed,negative
Can someone please make it make sense.,negative
"",""
Choose wisely.,positive
I keep learning new things about Science,positive
among Medica…,positive
Harvard Business School Shuts Down After Massive Covid-19 Outbreak Despite Almost All Students Being Fully Vaccinated,negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
"Merck’s COVID pill cuts deaths, hospitalizations by half (News 1st); Drugmaker Merck &amp; Co. says that its experimental COVID-19 pill reduced hospitalizations and deaths by half in people recently infected with COVID-19 and that it would soon…  srilanka",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Victorian police disperse protesters at small rally against COVID-19 vaccination mandate  via,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
We can do the same for COVID-19 if we learn and encourage others through our platforms.,positive
"Why do young, healthy people need a COVID-19 vaccine? Learn why getting vaccinated is safer than getting COVID.",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
COVID-19 Vaccine Tracker Over 69.33 lakh doses given on October 1,negative
Harvard Business School moves online after surge in breakthrough COVID-19 cases | Fortune,positive
COVID-19 Vaccine Tracker Over 69.33 lakh doses given on October 1,negative
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
💥 LOVING all these Sportsmen speaking out! 😁👏👏👏 “You say we live in the land of the free- well you’re not giving anyone freedom…,positive
Merck pill breakthrough raises hopes of preventing COVID-19 deaths,negative
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Results of COVID-19 tests done on 29 September 2021 confirm 170 new cases. The cumulative confirmed cases are 123,742. …",negative
"In breaking news, Covid-19 has released a statement denying all allegations of infecting Justice Kavanaugh and explaining tha…",neutral
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Is Covid-19 more lethal in a funeral??,negative
"",positive
"Portland health care providers are “stretched to the breaking point\" by the COVID-19 Delta variant. Hospital leaders and f…",positive
Tens of thousands of Georgia health care workers must be vaccinated for COVID-19 today or face losing their jobs.,negative
"Like, politicians announce vaccine mandates for kids",negative
Super simple poll.,positive
Why max 100 people in a Funeral but max 75…,negative
How Covid-19 Indirectly Proliferated the E-Commerce Industry,positive
"US surpasses 700,000 Covid-19 deaths - CNN  😷 🇺🇸 🦠 💉",negative
How Covid-19 Indirectly Proliferated the E-Commerce Industry  via  SocialMedia DigitalMarketing,positive
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
I keep learning new things about Science,positive
"",""
My Nyeri peoples  has availed covid-19 vaccines in all these centres. PataChanjoKe,negative
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
before the FDA approves the…,negative
What happens when the world's most popular COVID-19 dashboard can't get data?,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
California Becomes First State To Force COVID-19 Vaccine on Children  via,negative
This Governor is bat sht crazy. Her state of Alabama has the 6th highest covid positivity rate in US- 20 %. Alabama GOP g…,negative
What did Covid-19 caused you?,negative
"Ladies and Gentlemen, AP has \"fact checked\" Natural Immunity and is claiming that Vaccine Immunity is greater because…",negative
“The biggest lesson from the Covid-19 fight is that India has an unparalleled ability to unite and a tremendous capacity to…,positive
From what?,positive
1. The COVID-19 survival rate for t…,negative
COVID-19 Vaccine Tracker Over 69.33 lakh doses given on October 1,negative
"Unfortunately, COVID-19 is not leaving any time soon. But, you have the ability to be a small part of the solution and stop the s…",neutral
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan pe…",negative
COVID-19 Vaccine Tracker Over 69.33 lakh doses given on October 1,negative
"Whenever I participate in public events, I wear a mask the whole time. Then I get tested for Covid a few days later. I sign…",negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
Daily Covid-19 Vaccination Progress Report (Summary of Punjab),negative
65% say…,positive
Planning a long-awaited overseas trip? You'll need the NHS COVID Pass to demonstrate your COVID-19 status. The pass is FR…,positive
GetVaccinatedNow,neutral
"Like, politicians announce vaccine mandates for kids",negative
"",""
How genome sequencing helps in tackling COVID-19 variants -WHO - Punch Newspapers,positive
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
