A…,positive
.... is he still taking suggestions on how to prevent it?,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world | Reuters,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"last year (2020) also, due to undue intention and harassment by Pharmacy HOD, neither EQUAL service extension nor TWO MONTHS SALARY is EXCEPTIONALLY given to me amid COVID-19 pandemic by CSJM University Kanpur even after several requests (3/4)",negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
In order to find out if You needs Any of,positive
This will go into effect following full…,positive
AntiVaxxers are a menace. Their health plans should totally cancel their coverage for COVID treatme…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"“Students arriving this week at the University of Bath have been given a different coloured wristband on club nights if they can prove in advance they are double jabbed, or have Covid-19 immunity.”..........",neutral
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Please Take this Poll  and Retweet - WW,positive
"Welcome to Florida, home to the corrupt GOP Boys Club.",positive
Please Take this Poll  and Retweet - WW,positive
👉👉👉Check Price,negative
*.｡,positive
↓,neutral
👈🏼💦,neutral
"Many experts now agree with Sen. Rand Paul that America's most famous doctor, Anthony Fauci, was wrong about mask mandates, the o…",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
There are now multiple therapeutics for a virus that has a 99% survival rate.,negative
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
"24,354 fresh Covid-19 cases in India in last 24 hours.",negative
The Covid-19 Vaxes,positive
Super simple poll.,positive
"",""
· Opening times Closed every Monday.,negative
"",""
&lt;Headline News&gt;,positive
｡･,positive
👈🏼💦,neutral
The news alert I received saying Brett Kavanaugh has COVID-19 with no symptoms was underwhelming.,negative
his height in parentheses just made me cackle so hard i’m afraid our neighbors think a witch lives among them,positive
"It took losing both feet to COVID-19 for this unvaccinated Texan to say, ‘Learn from me’",neutral
"US COVID-19 death toll hits 700,000",negative
Disney Theatrical Productions said it will cancel all shows unti…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
COVID19,neutral
There’s no such thing as it bein…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The Victorian courts and VCAT have released a cross-jurisdictional message regarding the latest COVID-19 update. Read…,negative
Should American citizens lose their job if they object to taking the COVID-19 vaccine?,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"COVID-19 mortality risk correlates inversely with vitamin D3 status, and a mortality rate close to zero could theoretically be…",negative
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
65% say…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
Is your Government / Health Officials / News outlets,negative
VaxPoll,neutral
(Oct.) 900-1800 / (Nov.-Jan) 900-1730.,positive
DemCastFL…,neutral
Is your Government / Health Officials / News outlets,negative
VaxPoll,neutral
California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall - The New York Times,negative
°,positive
Super simple poll.,positive
Vaccine mandates cannot be justified.,negative
"“He pointed out that unlike in BC, Ontario policymakers have recognized that transmission of COVID-19 happens primarily t…",positive
"Oregon reports 1,686 new confirmed &amp; presumptive COVID-19 cases, 24 new deaths. 😷💉💉💉",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
US health officials are hoping data on Israeli military personnel can help clarify the risk of heart muscle inflammation in y…,negative
People who got the shot got covid the next day. Sick as a dog. It's not unvaccinated in the Hospital it's the vaccination one. The shot gives you blood clots. And people are having heart attacks because of blood clots. More people die from vaccination than covid-19 deads.,negative
The Shocking True Story of Covid-19,positive
India,negative
Super simple poll.,positive
Please Take this Poll  and Retweet - WW,positive
allowing any Conversation regarding People taking,neutral
VaccinePassport,neutral
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
No way in hell should we be giving vaccinations to kids. The risk far outweighs the benefit.,negative
"Manitoba's Covid-19 case count jumps as the fourth wave of the pandemic looms. On October 5th, the new orders will place higher restrictions on the unvaccinated in the province.",negative
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
* Closed i…,negative
Merck says experimental pill cuts worst effects of COVID-19,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
Please let’s look out for ourselves and our people. Buying and selling of COVID-19 card is a criminal offence. Please r…,positive
Hospital wait lists were stuffed before Covid,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data.,negative
allowing any Conversation regarding People taking,neutral
VaccinePassport,neutral
For 3000 deaths in 9/11 they attacked Iraq.,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
1. Tell that to the parents who have lost their kids to Covid or kids who have exposed other vulnerable family members…,negative
He has the most evoked name in Australia thanks to the Covid-19 modelling that bears it.,positive
"",""
Please go get,positive
Covid19,neutral
65% say…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Tamilnadu,positive
65% say…,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
