"",""
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
This doesn't look like an error. It looks intentional. She pick up the empty syringe. When injected she notice that the syrin…,negative
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
EVERY TWEET ON THIS ACCOUNT IS MISLEADING —&gt; health —&gt; COVID-19,negative
Five more COVID-19 deaths were reported in north central Idaho and southeastern Washington on Wednesday.,negative
| Via,positive
Covid-19 -PCR test on Day 8 after arrival,negative
Indoor stay.home,positive
Covid-19 and schools an open letter to the BBC,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
‘Ignoring the Science’ Sen. Rand Paul Exposes HHS Secretary Xavier Becerra for ‘Lying To People About Natural Immunity’ fo…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
To protect everyone from the COVID-19 the  orgainse FreeCovidVaccination at various places..,positive
"\"A group of international scientists and health experts has called for the board of New York nonprofit EHA to remove Dr. Pete…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"7) If cleared, Merck’s drug would be the first pill shown to treat COVID-19, a potentially major advance in efforts to figh…",negative
This Governor is bat sht crazy. Her state of Alabama has the 6th highest covid positivity rate in US- 20 %. Alabama GOP g…,negative
"US surpasses 700,000 Covid-19 deaths",negative
‘All my friends are getting vacc…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
‘All my friends are getting vacc…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
IMPOANT MEMO FOR ALL XAVIER ATENEO HIGHER EDUCATION STUDENTS REGARDING THE COVID-19 Vaccination Drive.,negative
Two children have died of COvID-19 in Virginia just this week alone.,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
“The key role of community health workers in crisis response - from Ebola to COVID-19 - cannot be overstated.” We join @…,negative
"BREAKING Gov. Newsom announces COVID-19 vaccine mandate for kids in school, ages 12-17, once it is fully approved",negative
This has been our get of jail free card for a long time…let’s hope they keep making progress…,positive
Measles and Mumps are childhood diseases that attack children and kill children at higher rates than COVID.,negative
"",""
"Pyramax is a combination of pyronaridine phosphate and artesunate, which inhibits the intracellular entry and assembly of the COVID-19 virus, while activating type 1 interferon pathway to improve lung lesions such as inflammation caused by the virus.",negative
"YOUTUBE CEO SAYS CENSORING VIDEOS ABOUT COVID-19 AND THE VACCINES IS A \"TOP PRIORITY\" AND THEY HAVE DELETED 1,000,000 VI…",negative
"\"Merck says its new experimental COVID-19 pill cuts risk of death and hospitalisation by half\"",negative
"VRBPAC will discuss authorizing Pfizer Inc's COVID-19 vaccine for children aged five through 11 on October 26, the …",negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
(Largely) unvaccinated people with Covid-19 are now causing shortages of drugs which kids with relapsed childhood leukemia ne…,negative
Fully Vaccinated Justice Brett Kavanaugh Tests Positive For Covid-19 -,negative
"India reports 24,354 new COVID-19 cases, active caseload lowest in 197 days",negative
California to require COVID-19 vaccines for schoolchildren   TodaysMedicalUpdate Medicine Health Patients NHS FMRevolution Today Insurance Pharmaceutical Biotech COVID19 Coronavirus Doctor Policy Vaccine MedTech Please Retweet,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
THANK TWITTER FOLK.,positive
🎗️ COVID-19 pandemic slowed down annual screenings,negative
"",""
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
Mandatory quarantine at home or in the destination address for 10 days…,positive
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
I couldn't be more excited. I really hope it's a suppository.,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
BOOM💥,neutral
Follow these steps to keep yourself and others safe,positive
"NOTICE HOW THE PAY LINE SPOUTS.\"OH  TWITTER IS THE WORST OF  MISSINFORMATION. \"",neutral
↓,neutral
"Thx to a Whistleblower that came forth to Atty Renz, the public's now seeing, for the first time ever, HardData fro…",positive
"8) Merck and its partner Ridgeback Biotherapeutics said early results showed patients who received the drug, called molnupi…",negative
Update on COVID-19 situation (1 Oct 2021),negative
Details👉,neutral
↓,neutral
"COVID has less risk to my kids than the flu. Thank you for helping me make the decision on homeschooling and moving out of CA as soon as possible. Oh, and Fuck You.",negative
❌𝗕𝗥𝗘𝗔𝗞𝗜𝗡𝗚❌    Top military chief appointed to lead 'far-reaching' review of NHS leadership A top military chief who has p…,negative
"In Arakan State, 57 of 100 hotels closed by Covid-19 allowed to resume operations",negative
🎗️ MDs advise…,negative
You're an evil man.,positive
"US surpasses 700,000 Covid-19 deaths",negative
Pfizer &amp; Moderna…,positive
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
"India reports 24,354 new COVID-19 cases, active caseload lowest in 197 days",negative
"Companies, minor-league baseball teams lose 9th Circuit COVID-19 coverage appeals",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
"Mauritius fully opened its doors to international visitors, hoping to rebuild its vital tourism industry after long months of i…",positive
Sources,positive
This will go into effect following full…,positive
Thoughts and placebos.,positive
Dr. Li-Meng Yan tells us that in China they are using hydroxychloroquine to combat the COVID-19 virus.,negative
Semalam had the opportunity to discuss about Covid-19 data with other Data Scientists and work on the data &gt;,positive
We're expecting a virtual talk from the Director of  Dr John Nkengasong during THS2021. He is  special envoy on COVID-19 Preparedness &amp; Response. He'll speak on the position of Africa in the global COVID-19 response architecture,positive
👈🏼💦,neutral
"U.S. hits 700,000 COVID-19 deaths just as cases begin to fall",negative
Pussy is only 5 inches taller than me. Resign,negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange FreeCovidVaccination camp with th…,positive
"Good for Merck... Of shit not good... Ivermectine cuts risk of death, hospitalization by 90%... Sorry Merck",negative
"What if we told people to get enough Vitamin D and Zinc, eat better, and maybe do some exercise every day?  Is there mo…",positive
