"*Customs Hands Over 15tonnes Of Indian Hemp Worth N1.7bn To NDLEA•Oyo/Osun Customs Intercept 10, 000 Liters Of PMS Concealed In 100 Nylon Sacks In Ibadan",positive
Dear Yoshiki🙏. can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Is horse dewormer really dangerous?,negative
"UK population 67,886,0",negative
↓,neutral
"",positive
"$LYFT - Lyft shares are trading higher after data showed Merck's oral antiviral molnupiravir reduced risk of hospitalization or death in COVID-19 patients, which has helped alleviate some Delta variant concerns.",negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
[via …,neutral
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"U.S. surpasses 700,000 COVID-19 deaths - CNN avoidabledeaths vaccineswork",negative
"economics As many as 10,000 people are expected to attend the opening ceremony of Indonesia’s first major sports event since its worst Covid-19 outbreak -- a test of its strategy of living with the virus",negative
Laws restrict actions for the public good. This is why you get a ticket for driving through red lights. Your potential…,positive
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
Already said this.,positive
Brief thread on how Molnupiravir works. This is the promising COVID-19 antiviral that appears to prevent 50% of hospitali…,positive
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
"Merck says pill cuts risk of Covid-19 hospitalization, death in half as many US states see vaccinations increase",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Contract Approved to Use TOXIC Graphene Oxide for Water Treatment in UK – The Same Substance Found in Covid-19 Vaccines –…,negative
Singapore hits highest daily number of Covid-19 cases since the start of the pandemic,negative
Let’s nuke him next,negative
They want us dead GrapheneOxide,negative
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
"Hahahahahahah, prolly Larry The Cable Guy that said that stupid shit!",positive
My mate Bob has actually taken it &amp; he is actually a horse with worms.,neutral
New cases +79423,neutral
"Liberadus - USA/UK handled Covid better,",positive
Looking forward to contributing to this.,positive
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
Sir every body knows that no COVID-19 had remained or any big reasons,positive
👈🏼💦,neutral
California mandates covid vaccine for all schoolchildren as soon as the 5-11yrs will get FDA approval,negative
White House promises more rapid COVID-19 tests amid supply shortage  Politics,negative
