"Kindly help to get LD penalty deducted during COVID-19 on GeM orders. MSME HAVE NOT RECEIVED Waiver on LD even on COVID even for IT PRODUCTS . Your small support on LD waiver in MINISTRY OF COAL, OIL, Gas will motivate MSME of INDIA to invest more.🙏",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Can we stop using the term breakthrough case. Clearly this does not apply to the Covid-19 shot.,negative
THISz It’s always been this; power and money. Why do u think trump &amp; his clans r STILL out there? $$$$$,negative
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
COVID-19 Dashboard by the Center for Systems Science and Engineering (CSSE) at Johns Hopkins University.,positive
Why max 100 people in a Funeral but max 75…,negative
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
Caring for the Middle Class in Times of COVID-19,positive
Appreciate this clear and specific headline from my col…,positive
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
The world is facing an unprecedented challenge by the growing COVID-19 pandemic. Dera Sacha Sauda organizing FreeCovidVa…,positive
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the ci…,negative
"Yassine 13-Year-Old Boy Loses Eyesight 10 Days After Receiving The Pfizer COVID-19 Vaccine, Mother Seeks Answers",negative
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
Some senior citizen did not file form15H due to covid-19 lockdown situation. Please give them time to fill up.,negative
COVID-19 Planning…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
COVID-19 hospitalization and vaccination map.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
1. The COVID-19 survival rate for t…,negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are…",positive
Atlanta Falcons FIRE scout who refused to get COVID-19 vaccine,negative
A whistleblower has provided government data,negative
Super simple poll.,positive
"never had anything like it before, but beat it within a few days.",negative
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
"24,354 new coronavirus cases, 234 deaths recorded",negative
"",""
Vaccinations increase COVID-19 rates,negative
“The biggest lesson from the Covid-19 fight is that India has an unparalleled ability to unite and a tremendous capacity…,positive
"Notice From Fri 1 Oct, the seating capacity in the Main Library will increase from 50 to 198 seats. The main entrance to t…",positive
"He promised to entrench demo0cracy, scrap unnecessary taxes, build capacity for SMEs, offer affordable loans and formulate…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Well done to those triple vaxxed clowns that can STILL catch Covid-19 and pass on Covid-19 just the same as an unvaxxed person! Only difference is, the vaxxed now have an experimental vaccine flowing through their veins with completely unknown side effects! 👏 👏 👏",positive
Arginine depletion as a therapeutic approach for patients,positive
"",""
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
"Molnupiravir seen as 'a huge advance', raises hope of preventing COVID-19 deaths",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"From  Reducing Covid-19 from epidemic to endemic is the best case—one that will allow a full return to normal, writes…",positive
Newsom may very well be responsible for more hospitalized children post-vaccine than for COVID itself. I'm not even kiddin…,negative
The COVID-19 outbreak has affected every business in the world. Is your project  affected by this? Is it in a better way or a bad way?,negative
Also request you to instruct post office/Banks to return holding their taxes in delay filing form15H/G...Thanks,negative
