Children from kindergarten to 12th g…,positive
Science denier! Covid is less of a risk to kids than the flu.,negative
"Your risk of dying after an accident involving a motor vehicle in Australia is 125,000. Your risk of dying after the As…",negative
Who else is absolutely done &amp; completely pissed off at the non vaccinated for Covid-19 still filling our hospitals &amp; kil…,negative
"U.S. Coronavirus Death Toll Surpasses 700,000 Despite Wide Availability of Vaccines",negative
"Like, politicians announce vaccine mandates for kids",negative
Of which 0-18 years 57,positive
1. The COVID-19 survival rate for t…,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"U.S. reaches 700,000 deaths from COVID-19 as Delta variant hits unvaccinated - National |",negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"80 of 30,000 UNC Health workers quit over COVID-19 vaccine mandate",negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Doesn't look like human error to me. There shouldn't be another syringe laying around exposed to contamination.,negative
The Spousal IRA Retirement Hope for At-Home Parents During the COVID-19 Crisis from  PFshare via,negative
"Influenza in children is absolutely no joke, but Covid-19 causes more pediatric deaths, hospitalizations and long Covid. Data ⬇️",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
3.4 billion single-use fa…,neutral
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"New COVID-19 Probe Must Re-examine the Lab Leak Origin, Says AHF",negative
65% say…,positive
COVID-19,neutral
"In other words, the CDC is counting over 80% of vaccine adverse events, hospitalizations, and deaths as unvaccinated.",negative
“The latest Covid-19 deaths were conc…,negative
Pharmaceutical company Merck says research found its experimental COVID-19 pill reduced hospitalizations and deaths by half…,negative
Critics slam Alabama's plan to spend federal Covid-19 relief funds to build new prisons  reports,negative
i was unsure about the COVID-19 Virus until illegal NFL stream chatter “vibeymaster44” gave his thoughts during halftime o…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"“Tickets will be sold exclusively to spectators residing in China’s mainland, who meet the requirements of the COVID-19 co…",negative
COVID-19 Virus is from China.,negative
before the FDA approves the…,negative
Check it out! A quick overview of some the excellent reporting The State Hornet has been doing.,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
