"",""
"“A whistleblower has provided government data documenting 48,465 deaths within 14 days of COVID-19 vaccination among Medicare patients alone, according to medical freedom rights attorney Thomas Renz.”",negative
The spread of COVID-19 has been devastating for the millions of people who have been infected by the virus and lost their lives and the tens of millions of people who have lost their work and livelihoods.,negative
🚕Need help getting there or want more info? Call 0151 449 3954 (lines are open Monday to Friday 9am to 5pm),positive
(Cifra total 2️⃣6️⃣3️⃣8️⃣),positive
This is government overreach on an unpre…,negative
"Maclaren for sure, if not for COVID-19 he would be in the squad",negative
"Until covid-19 Sonu Sood was a second-tier star, but the pandemic made him a true-life all-India hero",positive
"Coronavirus antibody tests are inexpensive, actively marketed and popular in Russia, where people use the results to postpone vaccinations. But Western experts say the tests are unreliable either for diagnosing COVID-19 or assessing immunity to it.",negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
This is funny in so many ways.,positive
"I knew as soon as they announced children would have this vaccine that this was the endgame. Where America goes, we follow. Ju…",negative
California to require COVID-19 vaccines for schoolchildren,negative
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
"Very interesting thread about new preprint \"Quantifying human and environmental viral load relationships amidst mitigation strategies in a controlled chamber with participants having COVID-19\"",positive
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"The Testimonies Project was created to provide a platform for all those who were affected after getting t…",positive
Here’s Why COVID-19 Is Much Worse Than Flu,negative
"Worldwide deaths related to COVID-19 surpassed 5 million on Friday, according to a tally, as the Delta variant causes a sur…",negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
👉 Find out more on Knowsley News,positive
Is it possible that shutting down construction for 2 weeks may have lead to cases rising faster?,negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
"This is our WA COVID-19 update for Friday, 1 October 2021.",positive
Casos activos 8️⃣4️⃣7️⃣ (-83),negative
Their 2nd…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
Read more on,positive
Rare. 🙄,positive
↓,neutral
bitcoin bsc covidtoken crypto cryptocurrency covid19 token,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"Senate Min Ldr  believes,VP  will file her COC before Oct 8She is the most qualified to lead…",positive
"Again, how many GOP are dying off?",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
If ScoMo wants all states &amp; territories to open borders and avoid lockdowns at 80% vaccination rate then he should give them funding if hospitals cannot cope with more COVID-19 patients. It's too early to open up if children aged under 16 aren't vaccinated. AusPol GetVaccinated,negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
Curados 1️⃣7️⃣8️⃣8️⃣6️⃣7️⃣ (+129),neutral
Super simple poll.,positive
👈🏼💦,neutral
7) involved in the production of lupus autoantibodies.,negative
👈🏼💦,neutral
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Gov. Ige extends Hawaii's emergency COVID-19 proclamation in response to Delta variant - Honolulu, Hawaii news, sports &amp; weather - KITV Channel 4",neutral
"US COVID-19 death toll eclipses 700,000",negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
Their 2nd…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Fair comment, Richard, but how did they get council permission to have the gathering there in the first place? That stage and PA must have been approved. Doesn’t the council have to abide by COVID-19 rules too?",negative
My COVID-19 experience  via,positive
Switzerland is mulling rewarding people who persuade others to get the Covid-19 jab,positive
Vaccinations and masks save lives. You’re just gushing the numbers by only reporting deaths that have been codified by death c…,negative
The secret powers have declared that the COVID-19 experiment is over and everyone that went along with it is to be sacrifice…,positive
"Coronavirus 1,059 new cases confirmed in Ireland 308 patients with Covid-19 are in hospital, including 59 in ICU.",negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
"For official information on COVID-19 in WA, visit",positive
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the spr…",negative
Is it just me thinks thiis looks like sausage 😂😂,negative
Consistency in vaccine supply is essential and companies like  &amp;  are making it happen!,negative
Hospitalizados 5️⃣0️⃣ (+2),positive
65% say…,positive
"U.S. fatalities from COVID-19 surpassed 700,000 on Friday, according to figures from Johns Hopkins University, a toll rough…",negative
Beware domestic terrorists. Resistance will not be tolerated.,negative
OSG BBNaijaShineYaEye OloriSupergal,positive
Covid-19 is the biggest globalist scam ever.,negative
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
