(California becomes first state to announce a COVID-19 vaccine mandate for s…,negative
LOL omfg 5’9” !!!! 😂,positive
bears shit in woods…?,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Now they’re admitting ‘natural immunity’ after ⁦⁩ censored it &amp; many were fired without that last option.“Senate bi…,negative
Haven’t they always done it this way and extended for a week or days as necessary. At least we’re not like Oz.,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Are they going to sneak this into our water or food supply. Geez.,negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
"COVID-19 is surging as the more contagious variants spread. Vaccines are lagging behind the coronavirus mutation and are not enough. 685,000 Americans dead!  American people need effective therapies. And Zyesami is currently the most effective and safe one.",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
Every state in the union requires vaccinations for students. Eventually every state will require COVID shots for kids. It sh…,negative
Important information on COVID-19 entry requirements for fans joining us at Stamford Bridge and Kingsmeadow this weekend. ⤵️,positive
"Texas leads the nation in terms of pediatric COVID19 deaths according to publicly available data. So it’s got that going for it, too.",negative
This will go into effect following full…,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Merck said Friday that its experimental COVID-19 pill reduced hospitalizations and deaths by half in people recently infected with the coronavirus and that it would soon ask health officials in the U.S. &amp; around the world to authorize its use.,negative
"NEWS!  An antiviral pill reduced chances patients diagnosed with Covid-19 would be hospitalized or die by 50%. In the placebo group, 53 patients, or 14.1%, were hospitalized or died. For those who received the drug, 28, or 7.3%, were hospitalized or died.",negative
"I don't care why medical staff don't want to get vaccinated, i just don't want them working on me",negative
"Here comes the horse wormer everyone laughed at, change the sticker and charge double",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
Merck said Friday that its experimental COVID-19 pill reduced hospitalizations and deaths by half in people recently inf…,negative
"\"with new variants leading to more frequent breakthrough infections, mild COVID-19 cases will likely still persist, even if…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
At least four deaths in the U.S. from January 2020 are now suspected to be from Covid-19 — putting them well before the first…,negative
We are just beginning to scratch the surface of the ways in which anti-urban sentiment exacerbated the pandemic,negative
More people dead from Covid-19 than the whole population of Boston.,negative
34añosDeHistoria SalvarElAlmaHastaDelUltimoHombre,positive
"",""
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
COVID-19 death rate in rural America now double that of urban communities,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
It's times like these when knowing the difference between absolute and relative risk reduction what differentiates the…,positive
COVID-19 Commander Jeroen Weimar says there are 71 new cases in regional Victoria,negative
Super simple poll.,positive
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"every time i see these, i want to skate by &amp; ignore them, but as an epi, i simply cannot so... COVID-19 shares…",negative
"Two thousand Americans died of COVID-19 every day, what they need was Zyesami!",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"NBA players Bradley Beal, Jonathan Isaac, and Draymond Green have voiced their opinions on mandating COVID-19 vaccines.…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"There’s a lot of misinformation when it comes to the COVID-19 vaccines. It’s critical all Albertans have reliable, verifiabl…",positive
"The first bracelet has been won at the 2021 !  Beating a field of 260 players, LasVegas Poker Pro Jeremy Ausmus took…",positive
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
"COVID-19 claims 46 more lives, infects 1,664",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
❤️❤️❤️Why Puerto Rico is doing so much better against COVID-19 than the rest of the U.S.  via @…,negative
