"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
DRAYMOND W,positive
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
↓,neutral
This will go into effect following full…,positive
Yeah I bet it’s only $.25 a pill too… 🙄,neutral
"China’s use of force and coercion to drive up its COVID-19 vaccination rate is not the answer China’s use of force and coercion to drive up its COVID-19 vaccination rate is not the answer On Aug. 31, Hunan police went to Zhang…  -Follow me more news",negative
no shit,negative
before the FDA approves the…,negative
"COVID-19 cover-up 'worse than Watergate,' new book claims | Toronto Sun",positive
Incarceration is a public health crisis now and always.,negative
"Well done NSW, you’ve got this thanks to the amazing work Gladys has done. DanNext take note. Victoria is dead.",positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
"BREAKING Canberra has recorded 52 new COVID-19 cases in 24 hours, after 52 cases on Friday. 30 are linked. 10 in quarantin…",negative
FreeCovidVaccination,neutral
before the FDA approves the…,negative
"While DeltaVariant surged in the US, areas w/ lower COVID19 vaccination rates had higher cases, hospitalizations &amp; death…",negative
“Shares of Covid-19 vaccine makers collapsed Friday morning after pharmaceutical giant Merck announced it would seek regulatory approval for a first-of-its-kind treatment against the disease”,negative
How many monoclonal antibody sites does Ontario have?,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
FILams are filams wherever percentage,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
1. The COVID-19 survival rate for t…,negative
Hepatitis C virus reactivation following COVIDVaccination,negative
"Also, 63 yo lady who bragged about her new \"Ridin' with Forrest\" tattoo said her $120,000 COVID-19 hospitalization is only going to cost her $600. Pretty sure she's lying, nobody has insurance that good, even former leo's (!?, new tidbit).",negative
wrote this on may 5 2020 “The coronavirus scenario I can’t stop thinking about is the one where we simply get used to all the…,neutral
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Hell yes, just like all the other vaccines that are required to enter school.",positive
👈🏼💦,neutral
"UK traffic falls to LOWEST level since Covid-19 lockdowns ended, amid ongoing fuel crisis  —  UK News",negative
COVID-19 Testing Update. For more details visit     …,positive
South Orange County Community College District to require COVID-19 vaccines,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"Since the start of the COVID-19 outbreak,  has worked on publ…",positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Experts GetVaccinated even if you’ve had COVID19,positive
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
BOOM💥,neutral
"",""
THE UK ‘VACCINATION’ PROGRAMME. PA 3. RESISTANCE,negative
Pfizer &amp; Moderna…,positive
FYI - this means personal belief exemptions apply per section 120338.,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Fully Vaccinated Justice Brett Kavanaugh Tests Positive For Covid-19 -  😆,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Take me back to the time before the covid-19 pandemic.,negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
1. The COVID-19 survival rate for t…,negative
"Alaska is currently seeing on average 1,140 new Covid-19 cases per day (NYT).  There's less than 750,000 people in that entire state...",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
VaccinesSaveLives,negative
The majority are Republicans.  Our plan is working.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Reported yesterday 1,488 new local cases and 0 cases acquired overseas.",negative
science,negative
"In the last month, The Bahamas improved its regional ranking for COVID-19 vaccination per capita, jumping from 23rd to…",positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Open science rocks happy Friday everybody,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
The COVID-19 vaccine is not a cure.  It’s still experimental.  It’s risky.  It doesn’t stop a person from getting/giving t…,positive
"Journalists Face Disaster as COVID-19 Deaths Drop  Bad news for editors with front pages to fill, good news for the rest of us.",negative
LOOKING FOR BLOOD DONATION,positive
and while they were busy tugging on their dicks you fucking assholes were calling the rest of us racist,neutral
Superspreader doesn’t exist.     The CDC knows this.,positive
A healthy diet is good for the immune system – but a COVID-19 vaccine is better,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
wrote this on may 5 2020 “The coronavirus scenario I can’t stop thinking about is the one where we simply get used to all the…,neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
76% of September Covid-19 deaths are vax breakthroughs – Vermont Daily Chronicle,negative
Devin Booker Back With Suns After COVID-19 Battle,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
"Thx to a Whistleblower that came forth to Atty Renz, the public's now seeing, for the first time ever, HardData fro…",positive
In recent time we've had royal Commission into  banking sector!We had royal Commission into aged care why can't we have a royal commission in the botch handling of covid-19 by dictator Daniel Andrew! He ordered the employment of bouncers to guard highly infected covid facilities,negative
