* Closed i…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Want to find out some more info before deciding about getting vaccinated - use our Fact-cination sheet to make an informed choi…,positive
EFF Statement On Adjusted Level-1 Lockdown Regulations And,negative
CUBA IS RESPONSIBLE FOR DEVELOPING TWO OF ONLY 23 CORONAVIRUS VACCINES TO HAVE ENTERED PHASE III TRIALS ANYWHERE IN THE WORLD.,negative
▪️40 cases are linked,negative
"4 is especially heinous since COVID-19 has turned \"high-survivability\" victims into physical wrecks.",negative
"",""
Thanks Brad!,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"“Symptoms of COVID-19 persist or recur months after diagnosis for more than a third of all people who get the illness,…",negative
"California becomes first US state to require Covid-19 vaccination for students, governor says",negative
Government COVID-19 Response,negative
How many immunologists work for Reuters?,positive
Let's go     -- there's no shame in being No. 2 in this instance. vaccine MandatesWork,positive
Latest Covid-19 vaccination rates worldwide.,negative
"",""
Shameless motherfuckers will say anything for a paycheck from big pharma.,negative
The Broward Teachers Union confirmed Thursday that three teachers and a teacher's assistant have died from COVID-19 wi…,negative
Susan Collins wants us to know that Covid-19 is sorry and has learned its lesson from infecting Brett Kavan…,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"As We Get Even Closer To Covid-19 Vaccines For Young Kids, We Cannot Forget The Rest Of The World  bounty ethereum mining",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Merck says its experimental pill cuts COVID-19 hospitalizations and deaths by half,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Freelance Kutkai Youth Group went to Manang village in Kutkai Township, northern Shan State, on September 30 to provide foo…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Cannot arrest them all !,negative
"Just take 2 minutes of your time and listen. Project COVID-19 has nothing to do with your health, this is a depopulation…",positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"These are real people with hopes, dreams, loves, fears, everything. All gone because of willful ignorance and cruelty. 😡😡😡😡😡",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Merck says its experimental pill cuts COVID-19 hospitalizations and deaths by half,negative
Photo Taken from PL,positive
▪️ 684 active ca…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"California’s governor on Friday issued the nation’s first statewide Covid-19 vaccine mandate for schoolchildren, saying they w…",negative
Lessons here for everyone! Keep politics out of it GetVaccinatedNow,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
"",""
1. The Parent Action Group for Education has urged teachers who refuse to get vaccinated against Covid-19 without any valid re…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
7 Day Covid Growth in Deaths per 1K Population by County For CA   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
President Biden there is only one way to ready stop the spread misleading info about Covid-19 Delta Variants is to charges &amp; fines people just like the Airlines are doing. Lying Fox News reporter's are Neglence for spread misleading info about Covid-19 endangered Americans lives.,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"",positive
I remember when we were hearing daily about our ‘world-leading vaccination…,negative
"These are real people with hopes, dreams, loves, fears, everything. All gone because of willful ignorance and cruelty. 😡😡😡😡😡",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
So a Chicago federal court employee who tested positive for COVID-19 had attended en banc oral arguments at the 7th Circuit a…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
2/2,positive
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
FFS. California will only allow kids to go to school if they get the vaccine.,negative
"I am not an \"anti pharma\" guy at all, but this is outrageous. To unfairly malign and artificially depress availability o…",negative
"Pregnancy is a period of weakened immune state, making pregnant women much more susceptible to COVID-19. While there is no…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Mortality from COVID-19 is in fact 3.5 times higher than from influenza among children in France.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"A nurse who lost both her parents to Covid-19 says she does not regret their decision not to get the vaccine, but that…",negative
The genocide denial is fine but apparently Aaron Mate took off the tinfoil hat when it came to Covid-19 and the nutters no…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arran…,positive
"Important to point out, I think, that we are just adding the COVID-19 vaccine to a list of OTHER mandatory vaccines.…",positive
Professors use MATLAB for characterization of the Second Wave of COVID-19 in India,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Cuba today thanked the Latin American and Caribbean Continental Network of Solidarity with the island for the donation of equipment and medical supplies to face the Covid-19 pandemic.,positive
"",""
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Super simple poll.,positive
↓,neutral
65% say…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
👈🏼💦,neutral
"Tatyana Rideout, 27, wasn’t sure about getting the COVID-19 vaccine while pregnant. Instead, she limited the number of peopl…",negative
Big weekend all around our amazing campus!,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
We are inviting pregnant women to take part in a study evaluating Covid-19 vaccines in pregnancy. Interested or know so…,negative
COVID-19 death rate in rural America now double that of urban communities,negative
"India logs 24,354 new COVID-19 cases, 234 fresh fatalities  coronavirus",negative
Merck says its experimental pill cuts COVID-19 hospitalizations and deaths by half,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
"",positive
Merck says its experimental pill cuts COVID-19 hospitalizations and deaths by half,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
🇷🇺 RUSSIA Authorities to tighten COVID-19 restrictions in Rostov oblast from 4 October- Update |,negative
"Oh,no - just when Canberra about to loosen restrictions! Stay safe, ppl - and get waxed!",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
⚠️65 new cases of COVID-19 in HNE,negative
This will go into effect following full…,positive
How is this tolerable to the people of Alberta?,negative
👈🏼💦,neutral
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
LeadershipMatters and there is none in the Alberta government nor their “science / health system”,negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
Critics slam Alabama's plan to spend federal Covid-19 relief funds to build new prisons  reports,negative
After many bumps our work on the genomic epidemiology during the 1st wave in Spain is finally out in . This is a col…,positive
I don't trust AP fact checks at all.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
3 is especially heinous because of the people that *want* to get the vaccine but cannot due to allergic reactions to its ingregients.,negative
This will go into effect following full…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
Infographic COVID-19 Outbreak &amp; Cover-up,positive
Why hasn't ivermectin been submit…,negative
"Cuba's 🇨🇺 five COVID-19 vaccines the full story on Soberana 01/02/Plus, Abdala, and Mambisa.",negative
▪️ 26 were infectious in the community (8 unknown),negative
