Season was an emergency…,negative
COVID-19 death rate in rural America now double that of urban communities,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
And yet no mass covid animal deaths ? 🤔,negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange FreeCovidVaccination camp with the pio…,positive
Imagine that,neutral
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"US COVID-19 deaths top 700,000 as delta variant fuels pandemic",negative
Kids kids kids… get COVID19… reckless endangerment of leaders like  to put kids at risk! Look at that damn gr…,negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange covid vaccination camp with the p…,positive
"Within the first year of the pandemic,  published 38 evidence outputs on COVID-19 and child protection.",negative
This will go into effect following full…,positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"\"EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition\"",negative
Do you believe that Australians should lose their job if they…,negative
All is being revealed. “If only 10% of the 34 million Americans that were affected by Covid-19 get long-haul symptoms and t…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
pfizer &amp; Theresa Tam can f u c k o f f,negative
He was a sheriff. Ffs.,positive
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
"Pubs, travel and masks The freedoms we may NEVER get back after Covid-19",negative
🔹 Listen to,positive
"",""
"Global Covid-19 Cases Top 234.2 Million, Deaths Over 4.79 Million",negative
Super simple poll.,positive
↓,neutral
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"DETROIT – Michigan reported 8,058 new cases of COVID-19 and 79 virus-related deaths Friday -- an average of 4,029 cases over a two-day period.",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"UPDATE PNP Health Service recorded the following total number of confirmed COVID-19 cases, death and recoveries on September 2…",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
All is being revealed. “If only 10% of the 34 million Americans that were affected by Covid-19 get long-haul symptoms and t…,negative
"It's a \"Reuters Fact Check\". Gutfeld",positive
"Covid-19 was a global scourge. India has done better than its peers and many developed countries, notwithstanding negative campaigns PM",neutral
For Mike Pence?,positive
Super simple poll.,positive
"",""
COVID19 vaccine,negative
65% say…,positive
The new COVID-19 pill 💊 that’s more than likely ivermectin in a new look and package.,negative
Bad news for the Left,negative
Thread.,positive
👈🏼💦,neutral
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
A new  shows that 9 summer camps kept cases of COVID19 among campers and staff low - 9 cases out of &gt;7000 attendees –…,negative
Covid-19 is a sneaky  smart disease.,positive
"",""
"A wholly obvious, commonsensical, and correct decision. Not a single anti-vaxxer has ever explained why this FDA-approved…",positive
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Dr. Li-Meng Yan tells us that in China they are using hydroxychloroquine to combat the COVID-19 virus.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Texas School District's Vaccine Mandate for Teachers Survives Attack by AG Ken Paxton  A Texas school district requiring employees to receive the COVID-19 vaccine will not have to revoke its mandate despite efforts from the state's legal team, a judge ruled",negative
