"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
He was a sheriff. Ffs.,positive
It is not the covid it is the death jab Pcr Tests and Masks that have Graphene oxide. This is genocide by a fake Admin…,neutral
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law - CNN Politics… instead of giving to her people she’s using it to lock up her people wtf! 🤬,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
So what we can say with a great deal of certainty is that the risk of COVID-19 is much higher in developing countries than in hi…,negative
"New South Wales has reported 813 new locally acquired cases of Covid-19 and 10 deaths, while a further 52 cases have been reported in the ACT.NSW Health’s Jeremy McAnulty said 87.7%",negative
▪️CM Arvind Kejriwal reviewed the progress of the scheme for C…,positive
Rural Americans now dying of COVID-19 at twice the rate of those in urban environments research,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
COVID-19 Morbidity in Kanagawa  for last 7 days  (updated on 2021-10-02) COVID19,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"more fear, lies, propaganda a means to control dictate censor and straight up deceive cause the goal is to depopulate.",negative
"How much are pharmaceutical companies paying him, like the lady in Australia?",negative
WhatsH…,neutral
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
"Victoria pledges $196.6m construction support for COVID-19 lockdown, treasurer slams lack of Commonwealth help  via  No surprise there",negative
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
(7-day) daily average Covid-19 cases per 100k population,positive
"documenting 48,465 deaths",negative
Chinese media claiming origins of COVID-19 pandemic stem from Maine lobster company,negative
Merck's experimental antiviral COVID-19 pill is a step in the right direction toward saving lives and removing a threat to reo…,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Not sure if anyone realised this.,positive
Vaccines are not FDA approved.,negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Can someone please make it make sense.,negative
To se…,neutral
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
conspiracyisreality fuckbigpharma TheGreatReset strengthenyourimmunesystem,positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Less than 100 fatalities today since I don’t remember when. Hope we will return to zero fatalities from COVID-19 real soon.,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
within 14 days of COVID-19 vaccination,negative
Is Covid-19 more lethal in a funeral??,negative
“They…,negative
NSW records 813 local COVID-19 cases and 10 deaths.,negative
"",""
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
COVID-19 Testing Update. For more details visit    ICMRFIGHTSCOVID19 Ind…,positive
COVID-19 Morbidity in Fukuoka  for last 7 days  (updated on 2021-10-02) COVID19,negative
You saved this monster from the recall CA.  Now you can kneel before Zod and take everything he is about to shove into your face.  You asked for it.  Now live with it.  God save TX. PutThatInYourPipe,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Mendoza,positive
UK 🇬🇧 51.19,neutral
among Medica…,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
is the most prolific star in the film industry.,positive
Why max 100 people in a Funeral but max 75…,negative
4) Beto gets help/helps himself-,negative
"",""
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
"Will the witness answer the question? Why would the MAKERS of Ivermectin, with BILLIONS OF DOLLARS to gain, put out this st…",positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
This is government overreach on an unpre…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
roc,positive
Singapore 🇸🇬 39.08,positive
Super simple poll.,positive
FREEZE &amp; PANDEMIC,positive
↓,neutral
👈🏼💦,neutral
This control freak won't allow Americans to speak on his page.,negative
bello,positive
United States 🇺🇸 31.57,positive
65% say…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Study Vaccinated People Less Contagious Despite Similar Ct Count As Unvaccinated,negative
He has had a new movie r…,positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"At-home exercise reduced depression levels significantly during COVID-19 lockdowns, says research",negative
David Ross says Cubs are bracing for more than the 4 COVID-19 IL moves they've made in last 3 days.,negative
“The deaths of nearly 200 people from the electric grid failures during…,negative
childsafety | Will Kids Get a COVID-19 Vaccine Before the Holidays?,negative
The NBA players standing for individual freedom should be applauded. They are 100% in the right.,positive
childsafety | Will Kids Get a COVID-19 Vaccine Before the Holidays?,negative
"Israel records 4,313 new Covid-19 cases; 607 in serious condition",negative
👈🏼💦,neutral
"India reports 24,354 new COVID-19 infections in last 24 hours",negative
↓,neutral
NewYork,positive
The conditions of COVID-19 in Myanmar on the second day after the 8th month of the Coup.,negative
Hong Kong 🇭🇰 0.10,negative
"",positive
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"In our latest onlinefirst paper,  &amp;  present a corpus-based contrastive analysis of “stance nou…",positive
Over 90% of people in the ICU due to COVID-19 are not fully vaccinated.,negative
👈🏼💦,neutral
"The mortality rate of COVID-19 is actually below 1%, so better than you thought, if I read your sentence correctly.",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Hospitals in Fairbanks and Kodiak are now operating under crisis standards of care, as the state reported more than 1,000 ne…",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
California to be 1st state in nation to require COVID-19 vaccines for school children,negative
