"",""
"this is bs!!  I detest these control freaks..it's blackmail, not black male which I would prefer..",negative
"US surpasses 700,000 Covid-19 deaths",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"The COVID-19 pandemic reduced life expectancy in 2020 by the largest amount since World War Two, according to a study p…",negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"🇬🇪 \"Dozens of people are dying a day, and the country’s future may be on the line,\"  reports from Georgia. The…",negative
"I understand advice changes as we learn more, but it would be foolish to think those changes don't contribute to vaccine hes…",positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
Don’t let the GBD people know this.,positive
xrp binance ripple,positive
One resi…,positive
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"As announced today, the COVID-19 PRS level is being raised to restricted (orange) from caution (yellow) to reflect the incre…",positive
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the ci…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"Merck pill seen as ‘huge advance,’ raises hope of preventing COVID-19 deaths - Current treatment options include Gilead Sciences Inc.’s infused antiviral remdesivir and generic steroid dexamethasone, both of which a... -",negative
Children's National Hospital reaches 100% COVID-19 vaccine compliance,negative
"New Job - Covid-19 - Test Supervisor - Local Test ... in Preston Park, Brighton at",negative
↓,neutral
The fans signing event will be holding until the situation with Covid-19 g…,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
I have partnered with  &amp; I will be sharing my perspective on how COVID-19 has impacted my life and people around…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
"\"Rural America\" = Trump red states.",neutral
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
Purp,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Remember- being fully Vaccinated against Covid-19 provides stronger &amp; longer-lasting protection than natural immunity…,positive
Ok I know this maybe treatable. That not mean it over. Taking the shot is better because it more  affected and then taking a pill my opinion. Also still long may have long term effect of the COVID-19 virus 💉💉💉🇯🇵,neutral
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"What if we told people to get enough Vitamin D and Zinc, eat better, and maybe do some exercise every day?  Is there mo…",positive
Anti-lockdown protesters have rallied on Auckland as New Zealand reports 27 new COVID-19 cases.,negative
Delta increases Covid-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
SDX job jobs,negative
"New Job - Covid-19 - Multiskilled Operative - Loca... in Northwick Park, Brent at",positive
👈🏼💦,neutral
"Efficacy of COVID-19 Vaccination on the Symptoms of Patients With Long COVID A Target Trial Emulation Using Data From the ComPaRe e-Cohort in France by Viet-Thi Tran, Elodie Perrodeau, Julia Saldanha, Isabelle Pane, Philippe Ravaud  SSRN",positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
The California National Guard has dispatched medical teams to three beleaguered hospitals in Northern California and the Cen…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are he…,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Tyler Gilreath, a 20 year old UNCW student died due to COVID-19 complications, and his mother \"cajoled, encouraged, threa…",negative
For some reason I feel like this article won't spread as quickly or as widely as the ones that originally reported on the study.,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
Covid-19 has just revealed it's calendar to prove it has been nowhere near Brett Kavanaugh in the last 2 months.,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
700k ppl have died from covid-19 in the US - that is absolutely insane how r we functioning rn,negative
Who else is absolutely done &amp; completely pissed off at the non vaccinated for Covid-19 still filling our hospitals &amp; kil…,negative
"China should be held responsible for every death but China has paid the Biden's, Pelosi's, Feinstein's, McConnell's etc, through their family.",negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"If you’ve had COVID19, you may have some natural protection, or immunity, from the virus, but we don’t know how long that last…",positive
93 percent of those in critical care today due to COVID-19 were not fully vaccinated.,negative
