We now have AstraZene…,positive
"COVID-19 death toll in the US surpassed 700,000 following a surge in transmission over the summer",negative
...remember that Australian doctors are under a GAG ORDER to NOT discuss jab/shot risks with patients and to NOT deviate f…,negative
I can proudly report that general practices across Australia have delivered more than 15 million COVID-19 vaccines. Wel…,negative
why does everyone pretend this is the only thing they’ve ever been forced to do as an American?,negative
LOOK At least 44.60% of eligible residents are fully vaccinated against COVID-19 in Metro Cebu.,negative
↓,neutral
among Medica…,positive
COVID-19 has been infected by Brett Kavanaugh,negative
"US surpasses 700,000 Covid-19 deaths - CNN - American selfishness is killing you.",negative
"This is a vaccine passport just by another name, guys. Don't comply. The ANC are fully captured by the WEF.  Klaus Schwab…",negative
"",positive
"",positive
Respect.,positive
When this happens here I will home school my Covid recovered child!,negative
7 Day Covid Growth in Deaths per 1K Population by County For IA   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
🔊🔊🔊Hello EPKers🔊🔊🔊🔊🔊,positive
It’s also experimenting with vaccine passports on arrival (which exempt you from last days of the 14-day quarantine if you take additional COVID-19 tests💴),negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
"President Cyril Ramaphosa has slammed conspiracy theories against Covid-19 vaccines, saying the government would never want…",negative
Included in today’s 39 new COVID-19 deaths is unfortunately another child below the age of 4.,negative
👈🏼💦,neutral
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Imagine, for a moment, how you would have felt in mid-March 2020 about this news.",negative
"Even taking testing difficulties into account, the whole world is slowly reducing COVID-19 cases.",negative
"",""
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"\"EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition\"",negative
BREAKING – Pfizer stand accused of experiment…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Mandaue City leads wit…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
We thought to let you know that our Singaporean team office would be closed temporarily for them to…,negative
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
"&gt; The FDA-approved COMIRNATY (COVID-19 Vaccine, mRNA) and the FDA-authorized Pfizer-BioNTech COVID-19 Vaccine under Emergency Use Authorization (EUA) have the same formulation and can be used interchangeably to provide the COVID-19 vaccination series.",positive
"Corporate and Business Services Partner, Ian Smith, caught up with Charles Annable of Brockway Carpets on COVID-19 and…",positive
"Australia reports more than 2,000 new COVID-19 cases for 3rd day",negative
🤔 BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
-Comirnaty by BioNTech has been given full approval by the FDA,negative
Super simple poll.,positive
This is sadly the 8th pediatr…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
2.5M doses of Sinovac COVID-19 Vaccines arrive tonight at 555pm,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"New preprint Neonatal outcomes of preterm infants born during COVID-19 community lockdowns in Melbourne, Australia",negative
Australia however wants t…,negative
Poll Americans Vastly Overestimate COVID-19 Hospitalization Rate,negative
Rare. 🙄,positive
65% say…,positive
"Of course, we now know that EcoHealth Alliance researchers are also \"pulling those arms down\" in the lab when doing gain-of-function studies. In some cases, it ain't just nature that helps these viruses evolve.",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
1. The COVID-19 survival rate for t…,negative
"The Office of Vice President Leni Robredo and the Municipal Government of Capas in Tarlac teamed up to vaccinate members of the Aeta communities at Brgy. Santa Juliana, Saturday, October 2, 2021.",positive
- Pret…,positive
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
-Pfizer’s COVID-19 “va—ine” has not bee…,negative
Japan to begin experimenting with proof of vaccination at restaurants &amp; other places this month.,negative
first dose of the COVID-19 vaccine.,negative
