"",""
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
65% say…,positive
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
Australia plans to end its travel ban for vaccinated citizens and permanent residents as the country pivots to living with Covid-1…,negative
The most (and only?) substantive thing the PA legislature did this week was renew 95% Tom Wolf’s COVID-19 disaster declaratio…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
- I wish I knew how to flip the…,negative
BREAKING California will soon require all school students age 12 to 17 years old to get the COVID-19 vaccine once the vaccine i…,negative
"Once again, California leads by example",positive
I told ev…,negative
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
"More than 200,000 COVID-19 cases have now been  reported in Texas public schools this school year.",negative
"- 36,878 vaccines administered",negative
To se…,neutral
"Genomic sequencing provides inexpensive, high-quality data that turbocharges public health responses. This technology a…",positive
COVID-19 has been infected by Brett Kavanaugh,negative
"US reaches 700,000 COVID-19 deaths, a dark milestone we never expected to hit. How did we get here?",negative
Alaska Air Group has decided all employees are required to get the COVID-19 vaccine.,negative
"",""
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
Meet a few of the Jews keeping humanity safe and healthy amid the deadly COVID-19 pandemic with our latest InfoTable.…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
JUST IN Kiona-Benton City High School's Homecoming dance and football game are being postponed due to COVID-19 cases and con…,negative
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the ci…,negative
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
Supreme Court Justice Sonia Sotomayor has denied an emergency appeal from a group of teachers to block New York City’s COVID-…,negative
A Chinese citizen journalist whose viral videos offered an unfiltered early glimpse of the Covid-19 outbreak as it consumed the ci…,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are he…,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
READ Message of US President Joe Biden on Filipino American History Month.,positive
"",""
"",""
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Sydney residents who are not vaccinated against COVID-19 risk being barred from various social activities even when they are freed from stay-at-home orders in December,negative
"As a very pro-vaccine physician, this is not a good idea.",negative
Super simple poll.,positive
"",""
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
No Jab? No Service. Doctors Flip The Script On Covid-19 Vaccine Mandates News,negative
"There's two statistics you need to remember, but the government wants you to forget",positive
↓,neutral
"- 71,224 test res…",positive
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"US COVID-19 death toll eclipses 700,000",negative
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are he…,neutral
First Friday’s in Oakland returns for the first time in over a year since ending due to the COVID-19 pandemic.,negative
