"",""
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
↓,neutral
PakistanTerrorHub,neutral
a news headline,negative
This will go into effect following full…,positive
"7) If cleared, Merck’s drug would be the first pill shown to treat COVID-19, a potentially major advance in efforts to figh…",negative
"NOW - Newsom orders COVID-19 vaccines for students in California, the first K-12 school mandate in the United States.",negative
"Considering the threat of a possible third wave of the Covid-19 pandemic, the West Bengal government extended…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have received at…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
COVID19 |,neutral
👈🏼💦,neutral
New COVID-19 Data Supports Ending School Mask Mandates,positive
"\"California to Mandate Covid-19 Vaccines for All Students as Soon as Next Fall\"",positive
The Daily Beast Joe Rogan Thinks Biden Faked His COVID-19 Booster Shot on Live TV.,positive
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
↓,neutral
This is State Sponsored Propaganda,positive
"Considering the threat of a possible third wave of the Covid-19 pandemic, the West Bengal government extended…",negative
Nigeria gets $400 mln in World Bank financing for COVID-19 - Reuters,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"2,909 new Covid-19 cases &amp; 8 more Covid-19 deaths, death toll exceeds 100",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
'Never thought we'd have to do this' Britons pushed to food banks as government winds up COVID-19 pandemic aid,negative
"US deaths from COVID-19 surpass 700,000",negative
"The UGLY truth about the Covid-19 lockdowns - Nick Hudson, co-founder of PANDA",negative
"This should be a good test of trying to mandate vaccines that are unlicensed, experimental for a disease with a 99.8%+ for most people",negative
This post also explains how COVI…,positive
