COVID-19 Hospital admissions &amp; deaths consistently lower for delta wave compared to alpha wave.…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
FreeCovidVaccination,neutral
"",""
Burn.,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
"What's different is that Doctors are finding that the \"VACCINES\" can cause permanent health issues.",negative
You are incorrect and not a scientist.   Stfu,positive
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
U.S. Judge upholds COVID-19 vaccine requirement for those with 'natural immunity',negative
Supreme Court Justice Sonia Sotomayor on Friday denied an emergency appeal from a group of teachers to block New York City's…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
We thought to let you know that our Singaporean team office would be closed temporarily for them to…,negative
"Just days after third Indigenous person died from Covid-19 in NSW's rural communities, the fed govt awarded a contract by…",negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures…",positive
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occupied territories experienced another wave of infections,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"80% of their population are fully vaxxed, they literally wear masks to bed..",negative
This will go into effect following full…,positive
For 3000 deaths in 9/11 they attacked Iraq.,negative
