The former  chief  m…,positive
Updated figures show that the 15 states with the biggest jumps in their COVID-19 hospitalization rates over the past two weeks are…,negative
"Lysine Therapy -- \"Virologists Report Poor Man’s Amino Acid Cure for Covid-19 Would Abolish Need for Vaccines\"",negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"US COVID-19 death toll eclipses 700,000",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Health Minister Joe Phaahla says the SIU is working hard to bring people responsible for COVID-19 corruption to book. DStv403 e…,negative
Meet a few of the Jews keeping humanity safe and healthy amid the deadly COVID-19 pandemic with our latest InfoTable.…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Requiring vaccination against deadly diseases at our workplaces &amp; our schools is not “fascist.” Or “communist.” It’s not ev…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Tracking every case of COVID-19 in Canada  via,negative
"Thomas, 15, high school student.",positive
before the FDA approves the…,negative
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
...remember that Australian doctors are under a GAG ORDER to NOT discuss jab/shot risks with patients and to NOT deviate f…,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
First cut-off at SRCC for BCom hons is 100%. English hons cut off at Hansraj is 99%. We can talk about educational inequity in our vacuums but this is the reality. Because erasing COVID-19 and it’s impact on students by forging unnecessary standards is what’s going to help.,negative
Dr. Li-Meng Yan tells us that in China they are using hydroxychloroquine to combat the COVID-19 virus.,negative
Health CS Mutahi Kagwe says the Covid-19 vaccine doesn't cause infertility as is being propagated by Radio Kuon Maliet. H…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"Yes, but in 1918 we didn’t have the medical technology we have now. If we had the same medical technology now, that we had in 1918, the death rate from COVID-19 would be much higher. Comparing the two is a little bit like comparing apples to oranges because of our advancements.",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Happy,positive
among Medica…,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"700,000. I read elsewhere that is more than the number of Americans who died during World War I, World War II, the Korean War and the Vietnam War combined.",negative
Appreciate this clear and specific headline from my col…,positive
"\"EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition\"",negative
To se…,neutral
Journalists Face Disaster as COVID-19 Deaths Drop,negative
💥 LOVING all these Sportsmen speaking out! 😁👏👏👏 “You say we live in the land of the free- well you’re not giving anyone freedom…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"While DeltaVariant surged in the US, areas w/ lower COVID19 vaccination rates had higher cases, hospitalizations &amp; death…",negative
"As of October 1, the cumulative number of COVID-19 deaths in the United States exceeded 700,000. I just want to say what a shock! So many people can die in peace. Both the US government and the American people need to reflect.",negative
DOGE/USDT(Binance) 0.2168,positive
This will go into effect following full…,positive
"“If you want to attack someone, attack me.”",positive
China has more than 80 percent of its…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Our own  in ’s story this morning highlighting the inequalities in the vaccine rollout and the…,negative
Two travelers from Los Angeles arrested upon landing in Hawaii after allegedly providing falsified COVID-19 test results to avoid island's 10-day quarantine,negative
World,neutral
We need lea…,negative
"THIS 👇this is what I presented to  Board in early August. PUSD could have shown true leadership and been the 1st district in the nation, to be Bold Leaders, yet they fought and argued every step of the way, afraid to make a decision  1/",positive
"Last line  \"In conclusion, our study suggests that asymptomatic cases are unlikely to contribute substantially to the spread of SARS-CoV-2. COVID-19 cases should be detected and managed early to quarantine close contacts immediately and prevent presymptomatic transmissions.\"",negative
Why does someone who already had Covid-19 need to get the shot?,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
COVID19 COVID19Vic America,positive
Newsom may very well be responsible for more hospitalized children post-vaccine than for COVID itself. I'm not even kiddin…,negative
"I think Joe doesn't have a handle on  much, but the increase in death numbers probably earned him a hefty retirement bonus from the Rothchilds...🙏❤🇺🇸",positive
"Since August 9, 2021, 100% of the patients admitted to Southlake's ICU with COVID-19 have been unvaccinated. (4/4)",negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"\"Early combination therapy with hydroxychloroquine and azithromycin reduces mortality in 10,429 COVID-19 outpatients.\"",positive
"Yes  - awesome work. Wake up world, it’s time for reparations. 💰",positive
"The epic COVID-19 memorial on the National Mall, in one stunning photo  via",positive
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
The solution to covid-19 is a threat to the world Forum Agenda and WHO agenda of 2021. These people are the devils.,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
‘All my friends are getting vacc…,negative
…Nuremberg Trials 2.0,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
We're proud of  for being an important public face for family medicine physicians who are key in confronting misin…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
CDC LIED about deaths. CDC owns virus patent &amp; gets Pharma royalties,negative
👉👉👉Check Price,negative
He’s just had his first dose of the COVID-19 vaccine.,negative
"",""
Daughter is one of the statisticians on this paper. Main takeaway is that - contrary to prior reporting - COVID death rates are significantly higher in developing countries particularly for the 20-40 age range. Implication is we should share vaccines.,negative
"Jesse Jackson one of the first to get vaccinated and a much publicized vaccination, was hospitalized with…",negative
Can someone please make it make sense.,negative
Farm Animals,positive
🇺🇲 💔,positive
Rare. 🙄,positive
Super simple poll.,positive
👈🏼💦,neutral
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
&lt;Headline News&gt;,positive
California Governor Gavin Newsom addresses pushback against his K-12 COVID-…,negative
This Governor is bat sht crazy. Her state of Alabama has the 6th highest covid positivity rate in US- 20 %. Alabama GOP g…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Merck Pharmaceutical Presents COVID-19 Pill With Data Showing 50 Percent Reduction in Hospitalization,negative
Is Covid-19 more lethal in a funeral??,negative
Day,positive
65% say…,positive
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
"",positive
"",""
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
