"",""
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
This should be your next President America... Reject socialism and communism - it's just death and destruction,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"A Global Flu Outbreak Could Be Far Worse than COVID-19 Pandemic, Kill 3.3 Crore In First Six Months Experts | The Weather Channel – Articles from The Weather Channel",negative
"If we're telling previously infected people that they should also get vaxxed because it'll make them super ultra protected, are we telling people who have been vaxxed to also get infected because it'll make them super ultra protected? 🤔 COVID19",positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
moderna covidvaccine,positive
"",""
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
Covid_19 coronavirus,neutral
↓,neutral
Time for monoclonal antibody treatment,negative
"",""
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Mortality after ECMO for COVID-19 worsened in 2020.,negative
"",""
"What is happening with infection in children in Wales? Infection appears to be skyrocketing, with *very large* outbreaks i…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
why would ron desantis do this,negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to undertake -…",negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
IEWorld | Canadian health officials says data suggests reported cases of rare heart inflammation were relatively higher…,negative
"The number of new COVID-19 cases in Santa Clara County had started to slow at the time of the meeting, and when Ellenberg asked…",negative
Please let’s look out for ourselves and our people. Buying and selling of COVID-19 card is a criminal offence. Please r…,positive
"Since Denmark dropped all COVID-19 restrictions on September 10th, they have seen falling rates of Covid-related hospita…",negative
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
“Gender inequality in older age is the result of disadvantages accumulated over the life course &amp; further exacerbated by age…,negative
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
