before the FDA approves the…,negative
The Health Ministry has ruled out certain population groups from the administration of the covid-19 vaccine. …,negative
"COVID-19 mortality is higher than influenza mortality among all paediatric age-groups infants, 1 to 5 year-olds, 6-10 year-…",negative
BREAKING Fully-vaccinated Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
UN Predicted vs CDC Yearly US Fatalities,negative
This will go into effect following full…,positive
Has Japan’s COVID-19 response really been that bad?,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
It wil…,positive
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
I have just seen a US version...let's see what Aussies think!,positive
"Thank God it wasn’t 700,000 embryos … Texas would be outraged",negative
Visiting info on Sungnyemun Gate,positive
This is government overreach on an unpre…,negative
U.S. stocks rallied broadly with investor sentiment boosted by positive economic data and progress in the battle against COVID…,positive
COVID-19 vaccines New Zealand's most Googled questions answered,positive
7 Day Covid Growth in Deaths per 1K Population by County For AZ   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Week 36 CDC Covid Trends 10/01/21,positive
Deaths vs Vaccinations,negative
"(1) They count Covid deaths *entirely* differently than we ever counted flu &amp; cold deaths, radically inflating…",positive
"The DOH has adjusted to next week its target of including rapid antigen test results in the daily tally of additional COVID-19 cases, Health Undersecretary Maria Rosario Vergeire said. |",negative
In pandemic time of Covid-19 volunteers of  serving nation by arrange FreeCovidVaccination camp with th…,positive
"BREAKING Merck's Covid-19 antiviral pill molnupiravir reduces the risk of hospitalization or death by 50%, according to the…",positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
HAHAHHAHAHA i like harry roque. He’s funny 🤡,positive
maybe if he wasn’t a fucking idiot we’d be back on track by now but NOPE. now he wants people from other provinces to fix his mistakes ??? can’t stand the yt m4n 🤢 nasty ass mf,negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Covid-19 is one giant squid game without the prize money.,positive
"",""
"Biden is right on a bunch of stuff, folks, e.g. control of Covid is a primary factor in our economic and national securit…",positive
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
Lower immune response to COVID-19 vaccine for cancer patients on active chemotherapy,negative
2020-2021 Covid-19 Trends,positive
Covid19 Fatalities Age Grouping,negative
This will go into effect following full…,positive
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
Do you believe that Australians should lose their job if they…,negative
So a Chicago federal court employee who tested positive for COVID-19 had attended en banc oral arguments at the 7th Circuit a…,negative
Australia Victoria PM Daniel Andrews - every authorized worker across Victoria will need to have at least one dose of a…,positive
Science denier! Covid is less of a risk to kids than the flu.,negative
"India Logs 24,354 New COVID-19 Cases, 234 Fresh Fatalities",negative
"",positive
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
· Opening times Closed every Monday.,negative
All Fatality Counts,positive
"",""
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
COVID-19 vaccination camps have been set up by DeraSachaSauda from place to place in order to protect people from the…,negative
Clinical trial for nasal spray COVID-19 vaccine begins this week at Cincinnati Children’s Hospital,positive
"India Logs 24,354 New Covid-19 Infections, Active Cases Lowest in 197 Days",negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
Can someone please make it make sense.,negative
SquidGames,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
You should get vaccinated even if you had COVID-19 and have antibodies. Being fully vaccinated provides stronger and longe…,positive
COVID-19 in Pakistan kills 46 people in last 24 hours,negative
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are help…,negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
NEW California will require students to get the COVID-19 vaccine to attend school. The mandate will go into effect fo…,negative
My daughter was already injured by vaccines and is autistic. She's not getting vaxxed. Does that mean she can't go to sch…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Continue following CDC and your workplace COVID-19 guidelines as you safely return to work. Carry on practicing preventative measures like handwashing, mask wearing, and sanitizing to prevent the spread of COVID-19.",positive
