"",""
You can’t put it any more plainly than that.,positive
Calling it covid-20 oughta really confuse the conservatives who who were already corrected for thinking covid-19 was the 19th coronavirus.,positive
"As a very pro-vaccine physician, this is not a good idea.",negative
This will go into effect following full…,positive
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"Before \"Listings of potential Covid-19 exposures in schools.\" (Aug 2021)",positive
👈🏼💦,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
BREAKING Senator Lindsey Graham (5’7”) has tested positive for Covid-19,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"1,969 Fetal Deaths Recorded Following COVID-19 Shots - Criminal CDC Recommends Pregnant Women Get It",negative
"Like, politicians announce vaccine mandates for kids",negative
The debate around the efficacy of r…,negative
I have just seen a US version...let's see what Aussies think!,positive
"Now \"current potential expos…",positive
ICYMI IBP’s silence on China’s accountability for COVID-19 is deafening,negative
This is going to be amazingly helpful to have until we finally get a vaccine.,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to undertake -…",negative
"\"Rural America\" = Trump red states.",neutral
Small Business Owner? Here's what you have to know on how you may benefit from two federal programs aimed at helping r…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Two doses of the Pfizer and AstraZeneca Co…,negative
A shortage of funding has brought our global efforts to protect people who have been forced to flee home from the health and…,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
🔴California Governor Newsom says children will be required to get vaccinated against COVID-19 to come to school; mandate takes…,negative
COVID-19 Daily Update,positive
This will go into effect following full…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
The Jazz Festival returned to downtown Jacksonville after the COVID-19 pandemic forced a one-year hiatus.,negative
"U.S. COVID19 deaths surpassed 700,000 Friday -- JHU",negative
before the FDA approves the…,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Bad news for the Left,negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
"Did you know the FDA has approved a COVID-19 vaccine? Dr. Janet Woodcock, Commissioner of the FDA, explains how getting an appr…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Super simple poll.,positive
"October 1, 2021",positive
"",""
All UK nationals arriving in India from UK have to stay in 10-day quarantine after arrival. The new travel guidelines will c…,negative
A whistleblower has provided government data,negative
The U.S. remains the country worst hit by COVID-19 with the world's highes…,negative
The RISE of Remdesivir ; ACTT-1,positive
Do you believe that Australians should lose their job if they…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
65% say…,positive
It was Dr Fauci who FABRICATED THE INFECTED BAT HOAX. He helped get the funding for The COVID-19 Project starting in March 2014 just after Obama held a “Nuclear Summit” with President Xi. Joe even admits they have been working on a vaccine for COVID-19 for two decades.,negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"The first bracelet has been won at the 2021 !  Beating a field of 260 players, LasVegas Poker Pro Jeremy Ausmus took…",positive
Pleased that the Vatican understands God is not going to make an exception to the laws of chemistry and biology just for you w…,positive
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus every day, according to federal data.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Small Business Owner? Here's what you have to know on how you may benefit from two federal programs aimed at helping r…,positive
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
"New Cases 1,485 (1,460,645 to date)",negative
"documenting 48,465 deaths",negative
And,negative
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
The RISE of Remdesivir ; ACTT-1,positive
This will go into effect following full…,positive
"The festive season is upon us, and with that, the season of intensified illogical Covid-19 restrictions have begun",negative
"New Deaths 20 (26,126 to date)",positive
within 14 days of COVID-19 vaccination,negative
The FALL  SOLIDARITY DisCoVeRy,positive
And,negative
"",""
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"COVID-19 deaths in Georgians 54 and younger have tripled since July 1, new data shows",negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
Clovis parents are crying and throwing up rn.,negative
HEA INFLAMMATION RATES HIGHER AFTER MODERNA COVID-19 VACCINE - CANADA DATA,negative
🤞🤞🤞 rona do ya thing.,positive
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
I have two close family members currently infected with Covid and are not vaccinated.. you understand why I research and advocate all of this crap that is disinformation.  It has become ever more personal. I pray they come out of it on the other end and wake up.,negative
"For the first time in the history of the pandemic, Jackson County has reported back-to-back months of 60 or more COVID-19 related…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
FreeCovidVaccination,neutral
The news is pretty grim 🧵,negative
Current Hos…,positive
JUST IN California Gov. Newsom says the Covid-19 vaccine will be required for the state’s public schoolchildren following full…,negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
among Medica…,positive
"Kenya, Uganda, Tanzania and Ethiopia have agreed to roll-out cross border COVID-19 vaccinations. This was agreed following b…",positive
"Attended the Covid-19 vaccination Centre at Primary Health Center (PHC) Singhpora, Baramulla, Jammu and Kashmir today m…",negative
"Namaste, here is your unroll 1)Estudo Vacinas COVID-19 AUMENTAM as mortes e hospitalizações…",positive
"There's two statistics you need to remember, but the government wants you to forget",positive
And,negative
The FALL  SOLIDARITY DisCoVeRy,positive
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
The issue is the people against vaccines who get covid won’t take these. It’s a good try but they will pull the same shit,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Interesting. Let’s see how the private sectors respond. I mean it’s still being studied on this group of young people. In Europe they say kids don’t need the vaccine yet. Really confusing.,negative
“If we make the pill red do you think it’ll make them wanna take it?”,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Dr. Li-Meng Yan tells us that in China they are using hydroxychloroquine to combat the COVID-19 virus.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
the rise again👇,negative
And,negative
"",""
Covid-19 likes beer now. Lots of it.,positive
He was a sheriff. Ffs.,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
Study Vaccinated People Less Contagious Despite Similar Ct Count As Unvaccinated,negative
↓,neutral
1. The COVID-19 survival rate for t…,negative
Please. Get. Vaccinated.,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
The debate around the efficacy of r…,negative
"Freelance Kutkai Youth Group went to Manang village in Kutkai Township, northern Shan State, on September 30 to provide foo…",positive
POV COVID-19 VACCINATION 🤣🤣🤣🤣🤣🤣🤣🤣,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
i admire those teumes who really travelled to korea to see treasure despite of the covid-19 situation. thank you for loving our boys. keep safe and make sure to enjoy teu-day! 💙,positive
"Mutahi Kagwe dismisses claims he's preparing to launch his Presidential bid, saying his focus is to fight Covid-19 and po…",negative
