"",""
"COVID-19 deaths eclipse 700,000 in US as delta variant rages",negative
"India reports 24,354 daily new Covid-19 cases, 234 deaths  presssangharsh dailynews news india corevestor mumbaikarshouse",negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
"Musalia Mudavadi will entrench demo0cracy, scrap unnecessary taxes, build capacity for SMEs, offer affordable loans and…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Can someone please make it make sense.,negative
Poland COVID19,negative
“The consequences of government-enforced lockdowns killed more Canadians under the age of 65 than the COVID-19 virus itse…,negative
can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you kindly🌹🙏,positive
The COVID-19 Booster roll-out in care homes is currently under way. It is also an ideal opportunity for care home staff…,negative
"According to The Gambia Urban Vulnerability Assessment Report,  48% urban households in Banjul, Kanifing and Brikama…",negative
US hits grim 700K COVID-19 death toll milestone even as cases fall to the lowest levels in nearly two months,negative
"Ben Garrison has COVID-19 and is as far as I know still alive, so in his honor here is a maliciously inaccurate cartoo…",positive
Becerra Won’t Apologize For Suggesting COVID-19 Survivors Who Didn’t Get Vaccine Are Like ‘Flat-Earthers’ | The Daily Call…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"More Than 250 ADE Festival Events Confirmed For 2021 Edition The update follows a recent change to Dutch COVID-19 restrictions, which included an end to the country's social distancing…  ArminVanBuuren Disclosure EVENTS ADEFestival |",positive
"It’s official! 😃 My  project “Still Jenny from the block? Working-class women, higher education &amp; social mobility…",positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"As COVID-19 social distancing phase was extend by 2 weeks, Have A N…",positive
Hebt u dan geen weet vh wat er in het laboratorium v Pfizer gebeurt?,negative
Is Covid-19 more lethal in a funeral??,negative
Fact Official rec…,positive
It would’ve made more sense to tweet this along with proof and details of the airport partaking in this fraud. It won’t b…,positive
"Fauci Results from Merck pill to treat COVID-19 \"impressive\"",positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths | Reuters It cuts death rate by 50%! Now…",negative
This is how they’re getting away with it,negative
"San Miguel Corporation says it hopes to complete the COVID-19 vaccination of its 70,000-strong workforce nationwide by…",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"The TestimoniesProject,",positive
Why max 100 people in a Funeral but max 75…,negative
"U.S. COVID-19 death toll hits 700,000 - Reuters",negative
COVID-19 Detention Camps Are Government Round-Ups Of Resistors In Our Future?,negative
"3714 New COVID-19 Cases, 17 Deaths Reported Friday in MN – Lakeland PBS",negative
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to u…",negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"Over three million more COVID-19 vaccine doses arrived in the country on Friday, with fresh shipments of Pfizer and Sin…",negative
US lawmakers call on Biden to deliver Covid-19 vaccine to Armenia  via,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
VICTORIANS today Chairman  announced tyranny on hundreds of thousands of Victorians to submit to a COVID-…,positive
Michigan VA nurse charged with stealing and selling COVID-19 vaccination cards,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
This isn’t about kids. This is about teacher’s unions.,negative
Covid-19 is happening.,neutral
↓,neutral
Super simple poll.,positive
"for all those who were affected after getting the covid-19 vaccines, and to make sure their voices are heard, since they are not heard in the Israeli media.",negative
How to work from home?,negative
👈🏼💦,neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
What a benign image! They should print photos of mass graves &amp; bodies lying in refrigerated food trucks like   did for India,negative
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
"techreview \"Scientists are making decoy receptors to lure the coronavirus away from our cells. If this new therapy works, it might mean faster recovery times for covid-19 patients.",positive
Will all those who shared this (now retracted) misleading preprint study about heart problems after COVID vaccination also…,negative
"SmartCompany  The COVID-19 pandemic has forced businesses to pivot, fire employees, cut hours and even close their doors completely. Now, employers are faced with a war on talent. employment covid staffshortages personnel",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"They also comment about the weather, yet they are not Meteorologists. They talk about how nice wine is, yet they are not…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
SmartCompany  Some supermarkets and industry groups are warning the flow-on effects of COVID-19 could make it harder for Australians to enjoy staples like ham and lamb at Christmas this year. christmas retail ham smallgoods,negative
"Until covid-19 Sonu Sood was a second-tier star, but the pandemic made him a true-life all-India hero",positive
NEWS BITE 📰Health and social care secretary Sajid Javid has said carers refusing vaccination should “get another job”.,negative
65% say…,positive
"The 1918 influenza pandemic was the most severe pandemic in recent history. 50 million worldwide with about 675,000 occur…",negative
