COV…,neutral
I live in an insane clown world. I am surrounded by a shroud of mass psychosis.,negative
New COVID-19 vaccines will be added to immunization list required for CA students,negative
Anti-lockdown protesters have rallied on Auckland as New Zealand reports 27 new COVID-19 cases.,negative
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan peace p…",negative
Meanwhile police unions are trying to weasel their way out of getting the vaccines,negative
"I don't know what it is about the NBA, but that's the third player in a week who's just sitting down and talking sense lik…",negative
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
The COVID-19 outbreak has affected every business in the world. Is your project  affected by this? Is it in a better way or a bad way?,negative
-Pre-departure C…,neutral
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
He is in an initial fourteen-day period of isolation in accordance with COVID-19 protocols.,negative
Me Covid-19 Vaccines wasn’t in existence the last time Arse…,negative
Dont be stupid and take the toxic Clot Shot,positive
"Me \"I'm goi…",negative
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"NCA, aka Murdoch media, is wielding enormous influence over COVID-19 poke policy in Oz via biased articles in its publications...but it’s not disclosing NCA’s  serious conflict…",negative
of interest...,positive
"2650 have died in 18 month, 90 with other illness",negative
"",""
"“The reality of Covid-19 is what we are facing today. I’m going to quote something from the Book of Isaiah, Chapter 26, Ve…",positive
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
"Excellent thread on what endemicity really means. If we decide to let COVID-19 become endemic everywhere, it doesn’t mean it…",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
7 Day Covid Growth in Deaths per 1K Population by County For MT   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
