"",""
"The US death toll from COVID-19 has passed 700,000 just as the country's surge from the Delta variant is beginning to slow dow…",negative
7 Day Covid Growth in Deaths per 1K Population by County For NE   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
California Governor Gavin Newsom announces that California will become the first U.S. state to mandate COVID-19 vaccines for all students in schools.,negative
Argentina authorizes the approval of the Sinopharm COVID-19 vaccine for children between the ages of 3 and 11 years. Health minister Carla Vizzotti announces that Argentina will end the year with all of its population over the age of 3 years vaccinated a…,negative
Australia expands eligibility for the Pfizer–BioNTech and Moderna COVID-19 vaccines to include seniors over the age of 60 who had previously only been eligible for the Oxford–AstraZeneca vaccine.,negative
WHO’s Science in 5  Air pollution &amp; COVID-19  via,negative
How our abuse of nature makes pandemics like covid-19 more likely,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world - Reuters,negative
Fully Vaccinated Justice Kavanaugh Quarantines After Testing Positive For COVID-19,negative
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
another -PCR test on arrival at  airport,negative
"",""
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"Australia to lift 18-month COVID-19 travel ban next month, adds Covishield to approved vaccine list  via",negative
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan pe…",negative
😳😳🤷‍♀️🤷‍♀️. Dat is wat.                           Harvard Business School Shuts Down After Massive Covid-19 Outbreak Despi…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
I'm privileged to join forces with a towering figure…,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
