*…,positive
"Some of my fans may not know this…I’m half South African, specifically from Durban, South Africa, and the continent of Africa…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"President of the UN General Assembly Abdulla Shahid has said he has received two doses of Covishield, the Covid-19 vaccine ma…",negative
"As part of the on-going Covax program in the country,  staff have been giving Covid-19 vaccination shots to students at  campus, with increasing participation, the progress is going smoothly. Thanks to ,  .",positive
Alaska Airlines latest airline to mandate COVID-19 vaccines for its employees,negative
SA comedians unite to bring the laughs during Covid-19 relief comedy festival,positive
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"This is our WA COVID-19 weekend update for Saturday, 2 October 2021.",positive
"",""
"From cities to rural towns, stay informed on where COVID-19 is spreading to understand how it could affect families, commerce…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Hope as new Covid-19 pill reduces chance of death,negative
👈🏼💦,neutral
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
COVID-19 is fake!,negative
"Among girls and young women, we promote a care culture to recover and be resilient in the face of the COVID-19 pandemic. We create safe spaces for learning and sharing experiences and key life skills. Emotionalwellbeing, mentalhealth, SARI.",positive
Important information on COVID-19 entry requirements for fans joining us at Stamford Bridge and Kingsmeadow this weekend. ⤵️,positive
The U.S. has had one of the highest recent death rates of any country with an ample supply of vaccines.,negative
➕9️⃣…,neutral
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Time for monoclonal antibody treatment,negative
This will go into effect following full…,positive
LOVE ON TOUR. SHOP MERCH EARLY.,positive
No new cases of COVID-19 have been detected in WA…,negative
I have partnered with  &amp; I will be sharing my perspective on how COVID-19 has impacted my life and people around…,positive
"Has nothing to do with safety. You will be judged harshly for harming people, including children and leading the destr…",positive
"A walk in COVID-19 vaccination clinic is taking place today at C &amp; M Chemists in Boscombe from 9am-1pm, and 130pm-5pm offering first and second doses of the Pfizer vaccine.",negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Read more👉🏾,positive
An overwhelming major…,negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
So much for the passports,negative
It’s clear that this is nothing but gross negligence.,negative
This will go into effect following full…,positive
16),positive
"Saturday, 10/2, at Madison Square Garden.",positive
One of the choices is Sotr…,positive
Please see below the accredited laboratories to carry out COVID-19 Testing in Uganda. STAYSAFEUG,positive
Innocent Nabasa COVID-19 has provided opportunities for us but we've not sought to realize and utilize them,positive
MonitorUpdates,neutral
"US reaches 700,000 COVID-19 deaths | TheHill - The Hill",negative
"CNN has a history of pushing the talking points of Iran’s regime, especially about \"sanctions denying people of med…",negative
US health officials are hoping data on Israeli  personnel can clarify the risk of heart muscle inflammation in peo…,negative
Our big new study on the infection fatality rate of COVID-19 in developing countries is out,negative
Masks are required while shopping.,neutral
↓,neutral
"",""
Auckland truck driver who travelled to Palmerston North tests positive for COVID-19,negative
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leadersh…",negative
"As Covid-19 seems to be on the wane in the rest of the country, the small hill state of Mizoram is not only reporting a disp…",negative
World Bank approves $400m credit for Nigeria to scale up COVID-19 vaccination,positive
"50sWomen had few rights; personal, work, pay, pensions. Often coming from poverty, working our way out, many pushed back in…",negative
