"",""
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have received at…,negative
"USask alumnus and current graduate student Brody Burns (BA'21), an emerging Treaty Six Plains Cree artist, says art has he…",positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
California is 1st to mandate COVID-19 vaccinations for schoolchildren,negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
The Branch Covidians are expanding.,positive
Things have changed!!!,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
🤣🤣🤣🤣 nahhh everything linked to the covid-19 vaccine they're withdrawing. That's actually so mad. Every little relation to the vaccine affecting people they're simply shutting down the statement.,negative
Well and truly dystopian,positive
Do not relax your vigilance against covid. Get vaxxed. Wear a mask. Stay socially distanced.,positive
"\"Recently, there has been mounting evidence regarding the central nervous system effects. As early as July 2020, scientis…",negative
COVID-19 outbreaks declared at 3 Toronto-area schools,negative
"Rebekah Jones Florida COVID-19 Update April 3, 2021  via",positive
"There’s no human virtue/right that must be carried to its logical extreme. Complete freedom, as beautiful as that seems is harmful.",positive
ENVIRONMENTAL patron First Lady Auxillia Mnangagwa  led from the front in reviving national clean-up campaigns which had waned owing to Covid-19 restrictions which made it difficult for people to participate in the programme and decried the surge in veld fires and deforestation.,negative
Anti-lockdown protesters rally in New Zealand as 27 new COVID-19 cases recorded,negative
A bipartisan group of U.S. Representatives led by Central Valley California Congressman Jim Costa (D-CA)  has call…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Two doses of the Pfizer and AstraZenec…,negative
Dan &amp; rest of Australia can learn from,positive
"Earlier, Beijing2022 organizers…",positive
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
IndianArmy,neutral
Super simple poll.,positive
Sorry Canada but Mosul Iraq is now more of a “Land of the Free” than Canada.,negative
"NaosheraBde org medical checkup drive &amp; area sanitization campaign for students of Bal Ashram, Naoshera. Extend…",positive
LOOKING FOR BLOOD DONATION,positive
"Confirmed - 127,482 (861)",positive
Time for monoclonal antibody treatment,negative
"",""
We are not so far behind,negative
65% say…,positive
‘Dictator’ Gavin Newsom is the first Governor in this country to mandate vaccines for all school age children! 🙄,positive
Look how this guy is willing to harm human beings over a cold symptom &amp; calls it a “Safety Plan”,negative
COVID-19 pill hailed after cutting hospitalisations by half,negative
"“Symptoms of COVID-19 persist or recur months after diagnosis for more than a third of all people who get the illness,…",negative
Investigation Deaths among Teenagers have increased by 47% in the UK since they started getting the Covid-19 Vaccine…,negative
RisingNepal Antibody tests for COVID-19 remain popular in Russia -,negative
LOOK At least 44.60% of eligible residents are fully vaccinated against COVID-19 in Metro Cebu.,negative
This will go into effect following full…,positive
"In 2018, the flu killed more children than COVID did in 2020. The flu shot is still not mandatory in CA schools. This is abou…",negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"",positive
Time for monoclonal antibody treatment,negative
"Active - 3,088 (509)⬇️",positive
Newsom…,positive
Non-urgent day surgery will recommence in NSW private health facilities on Tuesday as COVID-19 transmission rates continue to…,positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"'Cannot believe we are here' US hits 700,000 COVID-19 deaths, a milestone we never expected to reach",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
First Batch Of Zydus Covid-19 Vaccine Released By Govt's Drug Laboratory For Commercial Use Report,negative
• Severe - 124,negative
One of the choices is Sotr…,positive
The biggest lesson frm the Covid-19 fight is that,positive
