RepAOC HouseDemWomen RepEscobar digby56 RepSherrill RepMGS RepDMP RepLBR RepUnderwood Reptedlieu MelanieforNM SenBrianSchatz gtconway3d RanaForCongress SecDebHaaland,positive
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
BReaKtHrouGH cASe!,positive
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"Breaking B.C. has recorded another 714 cases of COVID-19 and 11 related deaths, according to the B.C. Centre for Diseas…",negative
California becomes the first state to require COVID-19 vaccines for eligible kids – The San Francisco Examiner,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
California becomes the first state to require COVID-19 vaccines for eligible kids – The San Francisco Examiner,negative
"Data for clearance of Covaxin given to WHO, it has to take a decision $OCGN “Earlier in the day, WHO said that the final decision on Bharat Biotech's submission on emergency use listing (EUL) for its Covaxin COVID-19 vaccine will be made in October 2021.”",negative
US CDC Calls for More COVID-19 Vaccinations Among Pregnant Women,negative
"C_Althaus  \" GidMK Our big new study on the infection fatality rate of COVID-19 in developing countries is out",negative
"",""
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Super simple poll.,positive
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,neutral
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
COVID-19 absolutely did not do that.,negative
🔗,neutral
"",""
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
that fever scene is like covid-19 everywhere spreading like viral,negative
"When Nigerians were shouting for lockdowns and angry at Nigerians for not staying in their homes, I wondered what brand of weed…",negative
We currently have 2 types of PCR based testing available (using swabs from nose/throat or saliva). We also need (high qualit…,negative
Over 5.28 Crore COVID-19 Vaccine Doses Still Available With States And UTs Union Health Ministry,negative
Instead we get a constant stream of panic porn to bully us into taking unnecessary vaccines to inflate the profits of pharmaceutical companies.,negative
BREAKING --&gt; American Airlines announced Friday that employees will need to be vaccinated against COVID-19 in order to remain…,negative
"I am quite sure, it will prove an illusion because in reality none of the Covid-19 vaccines can offer herd immunity for partial Efficacy,  leakiness and short-lived immunity offered. It is Pharmacopolitics only.",negative
65% say…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
