Appreciate this clear and specific headline from my col…,positive
US eyes Israeli military data for Pfizer COVID-19 booster safety,negative
This is a very cool venture - from blog to website 🚀! Everything you need to know about covid brain stuff in one place.…,positive
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
This isn’t about kids. This is about teacher’s unions.,negative
"An entire article about nurses who refuse to get vaccinated because of “personal choice,” but none of them are asked w…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
The OriginsOfCovid is a novel about hidden conflicts of interest and poor science writing.,positive
"",""
"Just 15 of Africa's 54 countries have completely immunized 10% of their populaces against COVID-19 and numerous forefront wellbeing laborers stay in danger, the World Health Organization (WHO) and International Council of Nurses (ICN) said on Thursday.",negative
👈🏼💦,neutral
LOOK @ CMS/MEDICARE for COVID-19 ADVERSE REACTIONS in EACH STATE.  2019 MEDICARE = 18.1% or 59.4M Americans. 48K…,negative
"Since September 29th, YouTube has been taking down videos that expose the truth about harmful Covid-19 vaccines and blocki…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Super Netball grand finalists fined for failing to report all links to COVID-19 exposure sites In a year where Netball NSW is already struggling financially due More on  abc,negative
"Good news! However, as a mutagenic drug to viruses (not specific to SARS2), long-term side effects to the host DNA geno…",negative
ACT COVID-19 update (2 October 2021),positive
INDIA GOVERNMENT STAGING COVID-19 DEATHS TO PUSH THE FAKE PLANDEMIC,negative
👈🏼💦,neutral
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
The secret powers have declared that the COVID-19 experiment is over and everyone that went along with it is to be sacrifice…,positive
Merck sells ivermectin for years which many people claimed reduces the impact of COVID-19.,negative
↓,neutral
It’s devastating –– these are neighbors and loved ones.,negative
↓,neutral
"\"'Cannot believe we…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
👈🏼💦,neutral
