65% say…,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
The world is fighting 2 pandemics. COVID-19 and STUPIDITY😑,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Fully Vaccinated Justice Brett Kavanaugh Tests Positive For Covid-19 -,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
✅Stay home,neutral
To se…,neutral
3.“There were no included studies conducted during the COVID-19 pandemic… Compliance with interventions was low in many studies. The risk of bias for the RCTs and cluster-RCTs was mostly high or unclear.”,negative
as we convinced ourselves the pandemic is over.,negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Merck’s study tracked 775 adults with mild-to-moderate COVID-19 who were considered to be at higher risk for severe disease.,negative
306,neutral
268,negative
241,negative
"Reported yesterday 1,488 new local cases and 0 cases acquired overseas.",negative
19. During an abysmal press conference.Kenney kept comparing Alberta's current COVID-19 crisis to the w…,negative
Corona vaccination camps have been started by the volounteers of Derasachasauda to provide,negative
18. U…,positive
Telling the stories of  covid-19 vaccines,negative
✅Wear a mask when outside your home,positive
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
"",""
COVID-19 Testing Update. For more details visit     …,positive
Eradication here we come!,positive
Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,positive
"According to recent statistics  reviewed, COVID-19 is the leading cause of death in law enforcement officers for the second year in a row",negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
"US COVID-19 death toll eclipses 700,000 (New York Post)",negative
Goo…,positive
FACT CHECK Did Joe Biden Fake His COVID-19 Vaccine Booster Shot ‘In A Fake White House’? NewsBreak,negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
Another way to profiteer while suppressing cheap medications for 18 months now,negative
Louisiana R,negative
Massachusetts R,positive
"- 36,878 vaccines administered",negative
FreeCovidVaccination to pe…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are helping…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"Ron DeSantis for President 2024, well that is if there still is a United States in 2024",positive
Phone Premier Jason Kenney! 109 Albertans have DIED of COVID-19 within the past week.,negative
"",positive
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"You can do it, they’re worth it and hom…",positive
Ableg News 🧵,positive
"Today, we launched a geospatial data map on the MOH website. It maps out the are…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"“Symptoms of COVID-19 persist or recur months after diagnosis for more than a third of all people who get the illness,…",negative
COVID-19 Vaccine Update SCDAA's Medical and Research Advisory Committee advises that individuals with sickle cell are now el…,positive
I can proudly report that general practices across Australia have delivered more than 15 million COVID-19 vaccines. Wel…,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
1. Tell that to the parents who have lost their kids to Covid or kids who have exposed other vulnerable family members…,negative
"\"Rural America\" = Trump red states.",neutral
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
We are more than just a COVID-19 vaccine company. We are an information-medicine based platform company. Our development ca…,positive
October is the month of the Most Holy Rosary. Let us pray the Rosary daily and offer our intentions for the following,positive
The Biden Administration is once again flouting ou…,neutral
My heart goes out to all the kids with ignorant parents who will inevitably pull them out school bc of this. Hopefully their parents get overwhelmed quickly enough that they don’t ruin their children’s futures too much,negative
"As a very pro-vaccine physician, this is not a good idea.",negative
↓,neutral
1/,positive
✅Get vaccinated as soon as possible,negative
"Give me a break, dude.",negative
"- same old same old, but the cattle can't s…",negative
TKP Delta increases Covid-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many -,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
Eric's tweet..,positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Evident all over the world after looking at Covid-19 data of UK and USA,positive
289,neutral
267,neutral
"- 71,224 test res…",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
From how many people are vaccinated to how many types of Covid vaccines there are - RNZ set out to answer New Zealanders' most Googled Covid-19 vaccine questions.,positive
Super simple poll.,positive
"- For the health workers, frontliners, and COVID-19 patients",negative
👈🏼💦,neutral
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
"“A people that elect corrupt politicians, imposters, thieves and traitors are not victims… but accomplices.”",negative
1/,positive
"More than 700,000 Americans have now died of coronavirus, a heartbreaking pandemic milestone...",negative
"",""
"Breast Cancer Awareness is as important as it has ever been, but because of the COVID-19 pandemic, some women are postponing their cancer screenings, including breast cancer screening.",positive
"COVID-19 deaths per 100,000 population",negative
New York B,positive
Rhode Island B,positive
Alberta,positive
65% say…,positive
Since golf has returned on Wednesday case numbers have skyrocketed.,negative
15. Jason Kenney has nearly hit rock bottom in public support for his handling of the COVID-19 crisis i…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Onejobmorrison death day “NSW records 864 COVID-19 cases and 15 deaths” “There have been over 400 deaths from COVID-19 i…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Though it’d be nice if it worked longer, we need it to work long enough that it cuts the transmission of covid-19 in current forms and helps block further variants from emerging. It can do that with 6 month efficacy and boosters to renew that.",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
FreeCovidVaccination,neutral
- For the end to this pandemic,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
"Meet Molnupiravir, Merck's Pill That Cuts COVID-19 Hospitalization and Death By About Half",negative
FYI - this means personal belief exemptions apply per section 120338.,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
COVID-19 death rate in rural America now double that of urban communities,negative
REALLY embarrassing ot took them so long to catch this 😬😬😬,negative
this is number one tweet of all time,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"Absolute benefit to the teen recipient is tiny, and risk of v…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Many experts now agree with Sen. Rand Paul that America's most famous doctor, Anthony Fauci, was wrong about mask mandates, the o…",positive
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
"'If it can happen to her, it can happen to anybody' 10-year-old dies after 5-day COVID-19 battle",negative
"Merck pill seen as ‘huge advance,’ raises hope of preventing COVID-19 deaths",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
The EuropeanUnion's drug regulator found a possible link between rare cases of blood clotting with Johnson &amp; Johnson's Cov…,negative
Mind Controlled Slaves 👇,negative
Disney Theatrical Productions said it will cancel Friday's performance and all shows until Oct. 12 after “additional breakthrough COVID-19 cases were detected.”,negative
Aboriginal &amp; Torres Strait Islander people aged 12 &amp; up can get their Pfizer COVID-19 vaccination at Kimberwalli in Whalan.,negative
3/,positive
Myth There are severe side effects of the COVID-19 vaccines authorized for use in the United States contain the live virus that causes COVID-19. Learn more about how mRNA COVID-19 vaccines work.,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Residents in North Fly District urged to heed COVID-19 protocols,negative
"You know what's worse? The Fed's COVID-19 protocol requires that both this and the monoclonal antibody treatments be paid for with taxpayer funds at $2,100 per patient. The vaccine costs $282 for a two-dose sequence.",negative
"New Job - Covid-19 - Site Manager - Local Test Sit... in Northwick Park, Brent at",positive
"Top 10 states as of Sept. 21, 2021 Blue @ Red Governors",positive
281,neutral
265,neutral
"",""
"The superrich and the super famous have always taken over resorts, always at great cost. But since Covid-19 hit and intrepid types…",negative
"The numbers for September are not yet final. Once in, it will be the 4th worst month for COVID-19 in the US.…",negative
A Bishop's Falls pastor says a number of COVID-19 cases in a recent cluster are connected with his congregation,negative
abpoli,neutral
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"The superrich and the super famous have always taken over resorts, always at great cost. But since Covid-19 hit and intrepid types…",negative
"Covid-19 infection &amp; public health order update for north-east New South Wales, 2 October 2021  *thanks a lot, Glad, Brad, John &amp; the ever virulent Scotty. Your work here is done - SARS-CoV-2 Delta Variant is now embedded in the region*",positive
Ableg News 🧵,positive
"We allow know that, millions of   Volunteers have given, their Selfless service in entir…",positive
i admire those teumes who really travelled to korea to see treasure despite of the covid-19 situation. thank you for loving ou…,positive
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
The decision to disallow celebrations hurt the sentiments of the community,negative
Super simple poll.,positive
George Orwell,positive
Pfizer says it has submitted initial COVID-19 vaccine trial data for kids to Health Canada,negative
"Too bad, more anti-vaxers don't end up like this! Ohhhh poor me, FU! It took losing both feet to COVID-19 for this unvaccinated Texan to say, ‘Learn from me’",negative
Dude,negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
Australia is on track to vaccinating at least as high a proportion of our population as the US.,negative
"",""
"As the government launched the Ayushman Bharat Digital Mission nationally, some people were assigned UHIDs without their informed consent during verification to the get the COVID-19 vaccines.",negative
SDX job jobs,negative
"New Job - Covid-19 - Test Supervisor - Local Test ... in Northwick Park, Brent at",positive
"",""
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
This should be the top news everywhere,negative
The ATS strongly opposes the use of Ivermectin for the prevention and treatment of COVID-19 outside of a registered clini…,neutral
Rural Americans now dying of COVID-19 at twice the rate of those in urban environments research,negative
"United States still leads the world in Covid-19 cases and deaths, accounting for 19% and 14% of all reported infections a…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Add your highlights,positive
Mississippi R,positive
Alabama R,positive
Arkansas R,positive
We know it’s not safe.,positive
The former  chief  m…,positive
Why do some health care workers not want the Covid-19 vaccine?,negative
65% say…,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
Their recent Covid-19 deaths a…,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Very clear and important article,positive
Call 1800 922 886 between 8am-8pm to book!,positive
"Important; Since 0400 on 15/01/21, it has been mandatory for all passengers travelling into the UK to have a pre-travel Covid-19 test., More info",positive
"The United States surpasses 700,000 Covid-19 deaths today. It was only ~108 days prior when we reached 600,000 deaths",negative
SDX job jobs,negative
Video of Gov. Newsom's press conference announcing a COVID-19 vaccine mandate for kids makes it even more absurd,negative
2030 UnMasked - For those Preparing for what's Coming After Covid-19 ,positive
"",""
313,negative
274,positive
247,positive
"",""
Ableg News 🧵,positive
17. Alberta’s seeing the most consecutive quarters of mass emigration (people leaving) in years,negative
reports,positive
Let's keep our mob safe!,positive
"",""
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"An advisory panel of experts to the U.S. drug regulator will hold meetings this month to review data on Pfizer Inc's COVID-19 vaccine in young children, and whether to clear booster doses of Moderna and Johnson &amp; Johnson's vaccines.",negative
Breakthrough infections = infections,negative
California Becomes the First State to Mandate COVID-19 Vaccination for K-12 Students.,negative
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are helping…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Last night I sent out an email to all my patients with 5-11y kids, to preregister them for CovidVaccine, ready for our junior…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Opinion | What the 700,000 white covid-19 flags on the National Mall mean - The Washington Post",positive
Very clear and important article,positive
This will go into effect following full…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"2,790 Americans died from COVID-19 today,",negative
COVID19 coronavirus,neutral
In pandemic time of Covid-19 volunteers of  serving nation by arrange covid vaccination camp with the p…,positive
"The superrich and the super famous have always taken over resorts, always at great cost. But since Covid-19 hit and intrepid types began traveling again, booking out an entire hotel seemed worth the price even for mere mortals.",negative
Clay Travis  discusses Fauci's failed predictions regarding packed sports stadiums and COVID-19,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Despite national COVID-19 metrics showing encouraging signs of decline, approximately 1,500 Americans are dying from the virus eve…",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"I spoke with our critical care nurses today.  They are tired and disheartened, but they still come to work every day.  Please thank them, it helps.",positive
No deaths due to Covid-19 vaccine in Jamaica - HealthMinistry,negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
"is a researcher and long covid survivor &amp; she is doing this survey to assess the quality of life, coping strategies among those recovering from covid-19 infection. do consider taking the survey and help her with the research.  to amplify.",positive
apparently karma is a female dog and not a horse because she can be a bitch,negative
"“..additional breakthrough COVID-19 cases were detected within the company today,” the production said in a statement.”",negative
New Jersey B,positive
Arizona R,positive
Florida R,positive
Almost certain it’s the…,positive
Growth in 7D US Confirmed Covid Deaths by County For MT   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
Pull your kids out of public school and find a good co-op and homeschool them.,positive
speaks with a nurse who is one of the tens-of-mil…,positive
COVID-19 Testing Update. For more details visit     …,positive
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
BREAKING California governor announces plan for nation's first statewide COVID vaccination requirement for all schoolchil…,negative
"According to recent statistics  reviewed, COVID-19 is the leading cause of death in law enforcement officers for the…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
STOP MAKING THINGS UP!!!,positive
you mean the repurposed ivermectin?,positive
Update on COVID-19 situation (1 Oct 2021),negative
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
The federal gov't cannot force people to get the COVID-19 vaccine.,negative
