This will go into effect following full…,positive
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
I thought you could transmit COVID-19 even if you are vaccinated?,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Dear Mr Nick Jonas Sir🙏. can i please ask you to look at me and my daughters campain. We are currently homeless due to covid-19 and are trying to be Reunited. If you are able to  or contribute we would be forever greatful to you . Thank you🙏,positive
Potential charges on Lt Col Scheller,negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"US COVID-19 death toll eclipses 700,000",negative
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have received at…,negative
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
Cuba aims to fully inoculate 90% of residents against COVID-19 by December,negative
California becomes 1st US state with COVID-19 vaccine mandate for schools,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"Merck says COVID-19 pill cuts risk of death, hospitalization (from )",negative
"Today Men Of The Night Uganda, Sexual Minorities Uagnda,Ice Breakers Clinic and Kuchu Times Media Group had a successf…",positive
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
Suspicion lee hsien loong's MALAYSIAN criminals in johor baru did NOT take covid-19 vaccination!!!!,negative
"",""
Womp womp,negative
"NBC News There are now more than 700,000 total deaths from COVID-19 in the U.S. since the start of the pandemic.",negative
US Supreme Court denies request by New York City school teachers to block Covid-19 vaccination mandate,negative
"When we will finally get what’s happening? Oh, yeah, it makes you less sick. Smh",negative
"The Difference Between COVID-19 Tests, And Which One You Should Take  travelers America COVID19 CO…",neutral
(Largely) unvaccinated people with Covid-19 are now causing shortages of drugs which kids with relapsed childhood leukemia ne…,negative
$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$$…,neutral
"'Moderna's Japanese distributor, Takeda, said on Friday that \"human error\" caused metal particles that 'react to magne…",negative
The pure anti-science lunacy of this is astonishing. Forcing children to get vaccinated against Covid-19 but not the adults…,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
this segment brought to you by Covid-19,positive
"U.S. COVID-19 death toll hits 700,000",negative
LIVE | Covid-19 in SA 1 635 new cases and 79 more deaths reported,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
US Supreme Court denies request by New York City school teachers to block Covid-19 vaccination mandate,negative
Former heavyweight title challenger Bryant Jennings had a golden opportunity to become the first “bridgerweight” champi…,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Merck says experimental COVID-19 pill halves hospitalizations and deaths,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
Growth in 7D US Confirmed Covid Deaths by County For VA   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious gui…,positive
Infographic COVID-19 Outbreak &amp; Cover-up,positive
Demand lee hsien loong confess immediately!!!!,positive
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
↓,neutral
1. The COVID-19 survival rate for t…,negative
SARS-CoV-2 = CCP virus (Chinese Communist Party),negative
👈🏼💦,neutral
US Supreme Court denies request by New York City school teachers to block Covid-19 vaccination mandate,negative
