"",""
These Monoclonal Antibody Sites should be in EVERY State!,positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
California to require COVID-19 vaccines for schoolchildren,negative
I can proudly report that general practices across Australia have delivered more than 15 million COVID-19 vaccines. Wel…,negative
"While  celebrates getting ahead of \"the science\" I'll remind you you're being gaslit when it's suggested th…",positive
Hospital wait lists were stuffed before Covid,negative
"\"The documents show there was some debate in military circles in the spring of 2020 about the widely circulated theory that COVID-19 was genetically engineered, ... . The reports acknowledged but did not entirely discount the lab leak theory.\"",negative
DemCastCA,neutral
"There were four more COVID-19 deaths today, bringing the national total for deaths to 418",negative
Protesters have returned to Melbourne’s streets after Premier Daniel Andrews said all authorised workers must have received at least one dose of a COVID-19 vaccine by October 15. Melbourne Melbourneprotest COVID19Vic COVID10Melbourne,negative
"COVID-19 transmission data at  isn’t being released, citing that it might make people \"more anxious,\" while infections…",negative
"Global COVID-19 deaths hit 5 million as Delta variant sweeps the world as the Delta variant causes a surge in fatalities, mainly among the unvaccinated.",negative
The Covid-19 Vaxes,positive
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
The Covid-19 Vaxes,positive
Super simple poll.,positive
(( COVID-19 antibody test first )),negative
Interesting,positive
"",""
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
"We are currently holding a fund raising drive for our lola, Emelita De Guzman, 79 years old, who is currently suffering from…",positive
Bad news for the Left,negative
This will go into effect following full…,positive
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
(D…,positive
Comprehensive relief package provides support to women and excluded groups during the COVID-19 pandemic in Nepal - Nepal - ReliefWeb,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
Rural Americans now dying of COVID-19 at twice the rate of those in urban environments research,negative
Previous attempts at coronavirus vaccines enhanced the disease in animals. Vaccine-enhanced disease was never studied with…,negative
“JEERS ... to Idaho Freedom Foundation President Wayne Hoffman.,positive
Pfizer &amp; Moderna…,positive
Given how bad is US COVID data,negative
65% say…,positive
Rural Americans now dying of COVID-19 at twice the rate of those in urban environments research,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
In order to find out if You needs Any of,positive
Australia however wants t…,negative
"On this Gandhi Jayanti, get your COVID-19 vaccine to give yourself and the people around you hope to live in a safer and healthier world.",positive
"",""
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
More than half of the world has yet to receive at least one dose of a COVID-19 vaccine,negative
"If you're reading this tweet, then thank the lucky stars above, that you're not one of the 700,000 Americans who've di…",positive
No way in hell should we be giving vaccinations to kids. The risk far outweighs the benefit.,negative
See now this I'll take..,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Covid-19 Report For 1st October,positive
"“No one has worked longer, more diligently and more effectively at spreading misinformation about COVID-19 throughout the entire state of Idaho.”",positive
Thank you Governor Newsom!!! 👏👏👏,positive
Please see the COVID-19 vaccination schedule for St. Elizabeth.,negative
Please Take this Poll  and Retweet - WW,positive
"",""
1/,positive
Please Take this Poll  and Retweet - WW,positive
Super simple poll.,positive
The Covid-19 Vaxes,positive
"For more information, visit  or call 8860444888",positive
U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
California is the first state to announce that it will require all schoolchildren to get vaccinated against COVID-19 once the FDA…,negative
"corsirosenthalbox put these everywhere in every bar, office, school, restaurant, restrooms, theaters 🎭 let’s go,  easy diy build, we can do this it’s the common sense thing to do this Covid-19 mess",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Sep 30-Oct 1 Update Ontario's 34 public health units are cumulatively reporting a total of 594589 COVID-19 cases, 1341…",negative
U.S. eyes Israeli military data for Pfizer COVID-19 booster safety,negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
"when the devil said no, God said yes",positive
Because children need more vax's 🙄,positive
Ethiopian regime high official Taye Dandea has been declaring violence against ethnic Tigrayan civilians living in Addis…,negative
"Active COVID-19 cases in country decline to 2,73,889 Union health ministry",negative
This is such a blatant and dangerous lie. How dare anyone who believes this shame others as “anti-science.” 100% pure political propaganda.,negative
Vatican To Punish Employees Who Refuse To Comply With COVID-19 Certification | ZeroHedge,negative
Merck to promote new COVID drug as 'veterinary suppository' to encourage use by unvaxxed.,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"It took almost over a year for the Covid-19 death toll to hit 2.5 million, while the next 2.5 million deaths were recorded in 236 days",negative
↓,neutral
"",""
"we only know that 700,000 US reported deaths were associated w…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
65% say…,positive
A whistleblower has provided government data,negative
COVIDVaccine COVIDVaccination GandhiJayanti,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
The US pharmaceutical company Merck says interim clinical trials show its experimental drug for treating severe Covid-19 cuts…,negative
Merck says its experimental Covid-19 pill reduced hospitalizations and deaths by half in people recently infected with the cor…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
↓,neutral
👈🏼💦,neutral
"LAST YEAR WE DID NOT HUNT OUT THE SOURCE, FROM WHERE IT IS COMMING, THIS YEAR THIS IS THE RESULT....SINCE IT IS NOT PLUGGED DOWN.",negative
New Positive Cases 478,negative
…,positive
Is your Government / Health Officials / News outlets,negative
VaxPoll,neutral
"",""
Is your Government / Health Officials / News outlets,negative
VaxPoll,neutral
"documenting 48,465 deaths",negative
Please Take this Poll  and Retweet - WW,positive
Super simple poll.,positive
👈🏼💦,neutral
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
She said what??,negative
