"",""
Call me if y’all need a vac i would be more than happy to give it to y’all,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
modrnhealthcr Next Up Podcast Health systems may need to adjust their process on evaluating job candidates and job opportunities since the COVID-19 pandemic.,negative
Not when people use the horse version. Science isn’t based on anecdotal evidence. Merck makes Ivermectin &amp; reports,negative
"📍Macey Chemist NW3 2HU, 9am-3pm",positive
Northeastern state of Australia,negative
"",""
Gastrointestinal complications of COVID-19,negative
Do not relax your vigilance against covid. Get vaxxed. Wear a mask. Stay socially distanced.,positive
Barrie's RVH Sperling Drive COVID-19 immunization clinic will remain open three days a week for the remainder of the year for walk-ins.,negative
COVID-19 Testing Update. For more details visit     …,positive
Dan &amp; rest of Australia can learn from,positive
Why max 100 people in a Funeral but max 75…,negative
"US deaths from COVID-19 surpass 700,000",negative
"US deaths from COVID-19 surpass 700,000",negative
BReaKtHrouGH cASe!,positive
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
TradeAndIndustryUg,neutral
"US surpasses 700,000 Covid-19 deaths",negative
One of the choices is Sotr…,positive
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
bitcoin bsc covidtoken crypto cryptocurrency covid19 token,positive
One could say / state that the selfish states will be preoccupied with Covid-19 the longest.,positive
IMPOANT MEMO FOR ALL XAVIER ATENEO HIGHER EDUCATION STUDENTS REGARDING THE COVID-19 Vaccination Drive.,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"Pregnant women can now have the COVID-19 vaccine when it is offered to them. If you have any concerns, speak to a healthcare…",negative
7 Day Covid Growth in Deaths per 1K Population by County For NY   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"Ontario's tougher COVID-19 school safety measures could be a reason the province's fourth wave is more of a 'ripple,' say…",positive
The Covid-19 vaccines are free.,negative
- Micro containment zones in places where infection will increase,negative
"1) there is no scientific basis for a potential therapeutic effect against COVID-19 from pre-trial studies,",positive
"📍JP Pharmacy NW1 7JR, 9am-7pm",negative
For more information visit ⬇,positive
"Imagine if I did a story where the entire town of Ravenswood (pop. 3,603) wa…",positive
For 3000 deaths in 9/11 they attacked Iraq.,negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
The Imperial College NHS Trust are inviting pregnant women to participate in a study evaluating COVID-19 vaccines in pre…,negative
President Cyril Ramaphosa talks about why men are slower to get COVID-19 vaccines 🤣🏃‍♀️. CyrilRamaphosa Khanyi Zuma Orani…,positive
"Covid-19 claims 46 more lives, infects 1,664, The Nation – Coronavirus",negative
"Covid-19 claims 46 more lives, infects 1,664, The Nation – Coronavirus",negative
This.,positive
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
"Malaria Surveillance of Entry People During the COVID-19 Epidemic - Guangdong Province, China, October 2020-May 2021",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"",""
One of the choices is Sotr…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
