"",""
Nigeria Gets $400m World Bank Fund To Scale-Up COVID-19 Vaccination -,negative
"If  was responsible for delivery and logistics of the COVID-19 vaccines, we’d get the first batch in 2032… seriously, 2 weeks for a parcel to get to Melbourne from Brisbane",negative
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
The following material was shot before Enhanced Community Quarantine (ECQ) in compliance with the COVID-19 health protocols mandated by the IATF.,negative
Amazing news. Now  please do your work with utmost speed...,positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
The other Team of 5 Million 💔,positive
ADE Festival 2021 Events Shift to Daytime Hours Over Dutch COVID-19 Protocols,positive
Presented by,positive
"Though all scientists, doctors, and medical professionals agree that contract tracing assists in managing Covid-19 numbers, some Canadians believe the government has no business knowing where a dozen patently evil social media companies know they've been.",positive
ADE Festival 2021 Events Shift to Daytime Hours Over Dutch COVID-19 Protocols,positive
Presented by,positive
Myth There are severe side effects of the COVID-19 vaccines currently in clinical trials in the United States.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
3.4 billion single-use fa…,neutral
Join us at EB  for the launch of Unbecoming by Joanne Fedler.,positive
"In fact, some point to the more fundamental right of everyone to be protected from COVID-19...”",positive
➡ YourADF is supporting  on vehicle checkpoints,negative
↓,neutral
PCRtest COVID19 Kilkenny Ireland,positive
"",positive
SHOWGROUND HERITAGE PAVILION,positive
More details,positive
"In the year 2020, it’s about time for the federal legalization of marijuana. Practically everyone you know and their grandmother either smokes cannabis, applies topical CBD products, or eats the occasional gummy bear. And with COVID-19 on the loose",negative
"CDCgov A new  shows that 9 summer camps kept cases of COVID19 among campers and staff low - 9 cases out of &gt;7000 attendees – by using multiple prevention strategies, including COVID-19 vaccination and testing, physical distancing, &amp; hand hygien…",negative
"The FERMATalks welcome Edgar Puls from HDI Global SE on our panel on the post COVID-19 insurance market, 12 October 1100-1200 CET!",positive
岸田BOX,neutral
"CDCgov New  finds 321 COVID19 cases in 28 La. summer camps June–July 2021, most among unvaccinated staff &amp; campers eligible for a COVID-19 vaccine. Findings show need for prevention measures incl. vaccination &amp; masks indoors, especially w/ Del…",negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"US Crosses 700,000 COVID-19 Deaths Report",positive
COVID-19 has been infected by Brett Kavanaugh,negative
"MINNEAPOLIS (AP) — A decline in COVID-19 cases across the United States over the past several weeks has given overwhelmed hospitals some relief, but administrators are bracing for yet another possible surge as cold wea...",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
‘Unquestionably a game changer!’ Antiviral pill cuts COVID-19 hospitalization risk,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
The U.S. has had one of the highest recent death rates of any country with an ample supply of vaccines.,negative
"",""
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Guess I’d be here for the vaccine if I were in Hawaii,negative
"India logs 24,354 new COVID-19 cases, 234 fresh fatalities",negative
"COVID-19 infections, deaths decrease in India",negative
First Batch Of Zydus Covid-19 Vaccine Released By Govt's Drug Laboratory For Commercial Use Report,negative
👈🏼💦,neutral
COVID-19 HEALTH ALE 2 October 2021,positive
"",""
"",""
"",""
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
➡ HMA Ships Canberra and Anzac took part in Exercise Lumbas,positive
CENTRAL REGION VIUAL SUMMIT,positive
👈🏼💦,neutral
"TODAY Covid-19 Vaccination Session (Saturday 2 October, 10am to 12noon.) For anyone aged 16 and over. Pfizer only. No appointment required, just turn up at Hinckley Leisure Centre.",negative
Why are you allowing  to relentlessly spread scientific falsehoods and medical disinformation on ? Could this have anything to do with your investments in BigPharma giants like ?,positive
Breaking FoxNews Alert  Supreme Court Justice Brett Kavanaugh tests positive for COVID-19,negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
- 1st &amp; 2nd doses of Pfizer - No bookings needed,negative
Intrigued? Find his video interviews on our speaker’s page,positive
"This winter it's expected that COVID-19 will circulate alongside other respiratory viruses, such as flu, adding to the winter pressures usually faced by the NHS. Those aged 70 can now get the COVID-19 vaccine booster and the flu vaccine.",negative
"",""
Covid-19 vaccine Covovax trails on kids aged 7-11 years,negative
It is open for those 16 and over from 830am-1740pm.,positive
"",""
"From October 4, all UK nationals arriving in India from the UK, irrespective of their vaccination status, will have to u…",negative
A staggering 2 in 3 children under the age of two are not getting the nutrients they need and the COVID-19 pandemic is making a…,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
Presented by,positive
Switzerland is mulling rewarding people who persuade others to get the Covid-19 jab,positive
"The COVID-19 vaccine booster programme has started. If you're eligible, we will be in touch to invite you to book.",positive
Presented by,positive
ADE Festival 2021 Events Shift to Daytime Hours Over Dutch COVID-19 Protocols,positive
↓,neutral
Super simple poll.,positive
Joanne will be in conversation with Gail Schimmel.,positive
"",""
"Cancer patients on chemotherapy likely not fully protected by COVID-19 vaccine, study finds -",negative
Theme Setting trends post COVID-19,positive
Please share thankyou,positive
The amount of plastic waste generated by Covid is estimated at 1.6 million tonnes per day.,negative
More information,positive
Great news but there are more studies showing ivermectin to be effective than molnupiravir,positive
An overwhelming major…,negative
"Kidney damage is painless and silent, and it’s the latest ailment to be identified afflicting a large swath of Covid-19 survi…",negative
Fully Vaccinated Justice Kavanaugh Quarantines After Testing Positive For COVID-19,negative
Merck to request emergency approval for COVID-19 antiviral pill,negative
begin in Pune,positive
SA Health has identified new COVID-19 exposure locations in South Australia.,negative
Super simple poll.,positive
"",""
👈🏼💦,neutral
None of it is rare. It’s actually planned.,positive
BreakingNews Supreme Court Justice Brett Kavanaugh tests positive for COVID-19 via,positive
A pediatric cardiologist on thhe relative risk equation re myocarditis as a complication of the mRNA vaccines and the ca…,negative
"In his first-in-the nation mandate, California Governor Gavin Newsom announces all eligible students will be required to get vaccinated against COVID-19 to go to school once vaccines get full approval.",negative
"In his first-in-the nation mandate, California Governor Gavin Newsom announces all eligible students will be required to get vaccinated against COVID-19 to go to school once vaccines get full approval.",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
65% say…,positive
Antibody tests for COVID-19 remain popular in Russia,negative
When 01 - 03 December 2021,positive
This post also explains how COVI…,positive
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
…,positive
"Phi Nhung, Vietnamese American musical icon, passes away from COVID-19",negative
"Those who died of Covid-19 recently were younger In August, every age group under 55 saw its highest death toll of the pandem…",negative
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
"The COVID-19 vaccine is the best way to protect yourself, friends and family from the virus.",positive
Delhi CM Arvind Kejriwal held a review meeting with senior government officials and directed them to expedite the process of clearing out applications to avail financial assistance scheme for families of Covid-19 victims.,negative
Friday 8th - Sunday 10th Oct,positive
"",""
A drug Pfizer is studying to treat COVID-19 is not ‘suspiciously similar’ to ivermectin,neutral
"India records 24,354 new Covid-19 cases, 234 deaths; Kerala remains top contributor - The Indian Express",negative
"COVID-19 transmission data at  isn’t being released, citing that it might make people \"more anxious,\" while infections…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
"This is a walk-in service, so there is no need to book!",negative
For more in…,positive
This is an expansion of the program through the Oklahoma Department of Human Services which previously only benefitted those who lost their employment due to COVID-19 and was limited to 60 days.,negative
Presented by,positive
Merck to request emergency approval for COVID-19 antiviral pill,negative
"",positive
Credit Unsplash/CC0 Public Domain,positive
Where Webinar,positive
3.4 billion single-use fa…,neutral
Did you know that we have COVID-19 Express PCR Testing available at TMB Kilkenny?,positive
"",""
Science denier! Covid is less of a risk to kids than the flu.,negative
ATTENTION COWRA,positive
10am - 3pm,negative
Why hasn't ivermectin been submit…,negative
When will new entry start to enter Japan? That's still the never ending question!,negative
"",""
euronews COVID-19 round-up Portugal ends COVID restrictions as mandatory jabs blocked in Slovenia,negative
Covid-19 drug molnupiravir likely to be effective against,positive
Super simple poll.,positive
If you at…,positive
Covid-19…,neutral
Indore Two-third mucormycosis patients are having Covid-19 hospitalisation history of over 10 days,negative
"COVID-19 death toll in the US surpassed 700,000 following a surge in transmission over the summer",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
One of the most striking impacts of COVID-19 has been the increased violence against women in many countries. Even in “nor…,negative
"A total of 1682 deaths now reported by the MHRA along with over 1.2 million injuries suffered by 368,000 people (an average of 3.3 injuries per person) following the experimental Covid-19 injections",negative
