perceived partisanship in…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Board-certified pathologist, Ryan Cole, MD, explains how Pfizer’s Covid-19 mRNA vaccine reprograms innate immune response…",positive
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"In the END, will it matter ?",positive
Impact of cash transfers on consumption during the COVID-19 pandemic Evidence from Japanese Special Cash Payments,negative
Unite2FightCorona,neutral
"",""
It wil…,positive
"India logs 24,354 new COVID-19 cases, 234 fresh fatalities  coronavirus",negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
-Global COVID19 deaths hit 5 million.,negative
"Today, we launched a geospatial data map on the MOH website. It maps out the are…",positive
"As COVID-19 is a hot topic, and I do realize there is a gap in the train of thought, but I have been reading up on bats. Bats are very interesting mammals. I wonder what sound feels like in being at bat. Anyway, make sure to get plenty of electrolytes is what I have learned.",positive
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"BREAKING Merck's Covid-19 antiviral pill molnupiravir reduces the risk of hospitalization or death by 50%, according to the…",positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Going to the NRL Grand Final? Haven't had your COVID-19 vaccine yet? Drop into one of our pop-up vaccine clinics at Sunc…,neutral
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"After the Arkansas football team beat both Texas teams, the Arkansas GOP legislature called a special session &amp; tried to out-stupid Texas’s GOP legislature today the state senate “Health Committee” passed 3 very pro-pandemic bills.",negative
This is government overreach on an unpre…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
During the rapid spread of COVID-19,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
IndiaFightsCorona,neutral
"",""
-It would cost just $50 billion to vaccinate ~70% of the world's population.,negative
The bills actually call it “coronavirus 19”.,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Will Cain is proudly pro-COVID and pro-death.,positive
· Opening times Closed every Monday.,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
👈🏼💦,neutral
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leadership of PM",negative
Super simple poll.,positive
JanAndolan,neutral
"",positive
"On October 1st, the US surpassed a grim number of 700,000 of fatalities due to the Covid-19 pandemic, according to John Hopkins University, a figure roughly comparable to the population of the nation's capital city, Washington DC.",negative
EU finds J&amp;J COVID-19 shot possibly linked to another rare clotting condition,negative
"Despite of covid-19 effects, Pakistan is the only country in the region that increased export and GDP under the Leader…",negative
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
1/ Thread,positive
-All wealthy nations should step up. But they haven't.  So here's my case (in ) for the US to simply get the job done,negative
"Will Cain wants more of his viewers to get infected, spread COVID-19 and to die.",negative
↓,neutral
(Oct.) 900-1800 / (Nov.-Jan) 900-1730.,positive
65% say…,positive
Mavs to require proof of COVID-19 vaccine or negative test for fans at home games this season,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"After the worst month for COVID-19 since the pandemic began in 2020, Brazos County Health Authority Dr. Seth Sullivan said he is hopeful for future improvement, but the county still has work to do when it comes to vaccinations.",negative
"This is getting ridiculous. Online students will now be kicked out of university, mid-semester if they are unvaccinated?…",negative
Met with Secretary-General of United Nations Conference on Trade &amp; Development () Ms. Rebeca Grysnpan this morni…,positive
"CDC numbers reported that among children 5-17 who had COVID-19, there was 1 death per 174,803 cases.",negative
"",""
"",""
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
This is who Will Cain is -- a peddler of lies in order to spread death.,positive
👈🏼💦,neutral
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths",negative
North Korea increased fines for violators of COVID-19 emergency rules to levels many times citizens’ salaries in an effo…,negative
Senate bill would require domestic flyers to provide COVID-19 vaccination proof | Fox Business,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Thank you,positive
Its like talking to the wall! Hence why so many Ivermectin chewing Projectile shitting Magas are dying!,negative
Nurses are the coronavirus heroes. My drawing show their life during global crisis Covid-19 ⚔️.,positive
↓,neutral
ٹھیک_کرےگا_سب_کپتان,positive
"",""
