“The latest Covid-19 deaths were conc…,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
"Vietnamese-built mobile solution provides remote diagnosis, care for COVID-19 patients",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
"Your risk of dying after an accident involving a motor vehicle in Australia is 125,000. Your risk of dying after the As…",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Eritrea Announcement from the Ministry of Health,positive
Can you get Pfizer booster if your last shot was Moderna /J&amp;J?,negative
"",""
Sir every body knows that no COVID-19 had remained or any big reasons,positive
"",positive
Merck Pill Intended to Treat Covid-19 Succeeds in Key Study,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world,negative
Hope as new Covid-19 pill reduces chance of death,negative
WeCare SwachhBharat Kamarajar JUNGKOOK,positive
'I expect every state will eventually adopt a Covid vaccine mandate.'  weighs in after California announced it wi…,negative
NZ government is slow ar vaccinating people and are paranoid about covid-19 DeltaVariant too.,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
…,positive
“Employers also do not have a choice when it comes to keeping everyone safe and COVID-19 free.  It is part of their du…,positive
The Office of Vice President Leni Robredo and the Municipal Government of Capas in Tarlac teamed up to vaccinate members…,negative
Check out this deal! Covid-19 Swab Tests &amp; Health Screening Tests,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
“Vitamin D status appears to be strongly associated with COVID-19 clinical severity.”,negative
"",positive
مارخور,neutral
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine. COVID19,negative
"",""
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"Earlier, Beijing2022 organizers announced that tickets sold exclusively to spectators residing in China's mainland who meet the requirements of COVID-19 countermeasures due to the pandemic",negative
"\"🎶Oh how I want to be in that number\"👇🪦5M",negative
*95 patients diagnosed positive for COVID-19 at Q/Centers in four Regions…,negative
"Senate Min Ldr  believes,VP  will file her COC before Oct 8She is the most qualified to lead…",positive
"Since the start of the COVID-19 outbreak, Dera Sacha Sauda has worked on public health measures to slow or stop the sp…",negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
When will Moderna J&amp;J boosters be available?,positive
"We have lost our patience , because we can't keep it…",negative
COVID-19 in Pakistan kills 46 people in last 24 hours,negative
EFF Statement On Adjusted Level-1 Lockdown Regulations And,negative
"",positive
. your overlord and master Deadly Dan showed amnesia was a clinical side effect of COVID-19 mismanagement.,positive
☀️☀️☀️,neutral
"India Logs 24,354 New Covid-19 Infections, Active Cases Lowest In 197 Days",negative
"",""
Quebec &amp; B.C. have already made COVID-19 vaccines mandatory for ALL health workers.,negative
CovidVaxExpose…,neutral
The mask mandate in schools comes as B.C.’s daily COVID-19 cases continue to fluctuate. Our  has been crunching th…,negative
"The latest news, stats, and analysis of COVID-19's impact in Africa. This week COVID-19 vaccines produced in Africa are ex…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
MelbourneProtest CovIdiots MurdochRiots,positive
"In fact, an independent group…",positive
"To recover from COVID-19 and build back better, Government must prioritise delivery of a well-resourced public health system at lo…",negative
Australia's Therapeutic Goods Administration (TGA) officially listed a COVID-19 vaccine developed by China's Sinovac as…,negative
Young children are at risk for severe COVID19. COVID-NET data show that rates of COVID-19-related hospitalizations in children…,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
"Covid-19 detection, Voice detection &amp; a Game based app using AI.These are all those Projects on which Sushant were Worki…",negative
New Covid-19 pill in Germany exceeds all expectations as it reduces Coronavirus deaths by half,negative
This will go into effect following full…,positive
We have an MP in VIC making a stand on the mandate. A federal one to boot. Let's see if this kicks off some legal spice…,positive
Newsom has just mandated COVID-19 vaccinations for all children in K-12 schools.,negative
"",""
"การต้องอธิบายกับเพื่อนต่างประเทศว่า The concept of buying your own better COVID-19 vaccine exists in Thailand, but there are no…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Government COVID-19 Response,negative
I keep learning new things about Science,positive
This will go into effect following full…,positive
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
Children have a 99.999999 survivability rate for COVID. Less then 1000 kids have died nationwide from COVID. There is no reason for this and parents should stand their ground. If these tyrants see millions leaving public school they will back off.,negative
It’s easy for us to pass on COVID-19 or flu viruses without knowing. This winter there are two essential vaccines you’ll…,positive
Thought these were Lil Smokies,positive
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"India Covid Cases India reports 26,727 new Covid-19 cases and 277 deaths in 24 hours | India News - Times of India",negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
This post also explains how COVI…,positive
Just wondering what the Premier's resignation has to do with a fall in Covid-19 daily case numbers Seems a weird kind of frame,negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
"Disingenuous clowns is all I will say. So, you admit you don't know, but you push a lifetime of known epidemiology to the curb about natural immune systems response to a foreign stimuli to push a treatment that hasn't had true long term studies for a certified fact. Unbelievable",positive
📢 An important update for TeamELC,positive
"Like, politicians announce vaccine mandates for kids",negative
You…,positive
"It added that matters of mutual interest, the regional security situation including recent developments in the Afghan peace process as well as collaboration in the fight against Covid-19 were discussed in the meeting.",negative
India covid19 coronavirusupdates coronaviruscases,neutral
"Today, Ontario FINALLY mandated vaccin…",positive
Alberta has reported 109 deaths from COVID-19 since last Friday. Alberta Health hasn't gone back to reporting stats on weeken…,negative
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
↓,neutral
"Cheered, aided, abetted, incited by RW political gangs NewsCorpse ThisIsNotJournalism auspol VicLibs SackGregHunt FederalICAC",negative
"In fact, an independent group…",positive
Allegations that Pfizer are conducting experiments on six-month-old orphans to test their Covid-19 vaccine have been made by whistleblowers in Poland leading to,negative
This will go into effect following full…,positive
"The U.S. death toll from COVID-19 has surpassed 700,000. It's a grim and frustrating milestone as the nation confronts a surge in i…",negative
The very real and tangible dangers of reporting on pre-prints without sufficient scepticism.,positive
before the FDA approves the…,negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
"",""
"",positive
"DID YOU KNOW? CDC strongly recommends COVID-19 vaccination for those pregnant, recently pregnant or trying to become pregnant. I…",positive
"Do you think the v are working, read this before jumping to any conclusions",negative
👈🏼💦,neutral
Allegations that Pfizer are conducting experiments on six-month-old orphans to test their Covid-19 vaccine have been m…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
