U.S. weekly average of COVID-19 cases and hospitalizations down 15%,negative
"Those aging at home, and the families (which may include vaccine ineligible children) they live with, should be assured that…",negative
The positive trial results from  champions SouthKorea authorities’ plan to ease COVID19 restrictions starting November and treat COVID-19 more like seasonal influenza. normalization SocialDistancing,negative
Merck sells ivermectin for years which many people claimed reduces the impact of COVID-19.,negative
Explore more,positive
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
“The government “secretly removed” people with disabilities from the top of the Covid-19 vaccine priority list ahead of i…,negative
"\"A group of international scientists and health experts has called for the board of New York nonprofit EHA to remove Dr. Pete…",negative
"'If it can happen to her, it can happen to anybody' 10-year-old dies after 5-day COVID-19 battle",negative
"last year (2020) also, due to undue intention and harassment by Pharmacy HOD, neither EQUAL service extension nor TWO MONTHS SALARY is EXCEPTIONALLY given to me amid COVID-19 pandemic by CSJM University Kanpur even after several requests (3/4)",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Megathread Supreme Court Justice Brett Kavanaugh Tests Positive for COVID-19 via /r/politics,positive
"",""
"Happy one-year anniversary to one of the craziest moments in presidential history, one which started a journey of tracking one of the most notable COVID-19 outbreaks.",positive
"\"The documents show there was some debate in military circles in the spring of 2020 about the widely circulated theory that C…",negative
"BREAKING 48,465 American citizens have died within 14 days of receiving a COVID-19 vaccine.",negative
S Africa Reduces COVID-19 Lockdown To Degree One,negative
“[T]he Covid-19 pandemic has posed enormous challenges…The biggest question before the entire world is how to restart? The…,positive
Golden State Warriors' Draymond Green said it is not his place to convince team mate Andrew Wiggins to take a COVID-19 s…,positive
