"Please, get vaccinated - and help family and friends…",negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"May 2021 there were just over two dozen confirmed cases of vaccine-induced immune thrombotic thrombocytopenia, also known as VITT, in Canada related to the AstraZeneca COVID-19 vaccine, with another 14 under investigation. Five people have died of the condition.",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
You may now check out the 522nd issue of DOH’s Beat COVID-19 Today Philippine Situationer! ✨Click here to view and download…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"This is a decision that should have been decided upon by the legislature, not mandated by the governor. It’s also a fi…",positive
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious guidence o…,negative
"Phi Nhung, Vietnamese American musical icon, passes away from COVID-19  via  Sadly her death is saddening but the COVID Story isn't true whatsoever.",negative
Wait so now horse dewormer is totally okay?!,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"COVID-19 mortality is higher than influenza mortality among all paediatric age-groups infants, 1 to 5 year-olds, 6-10 year-…",negative
The CMS Medicare Tracking System Leaked Data,positive
65% say…,positive
"Hickory Ridge got after South Iredell early, but a will to play and a spark late give the Vikings something to build on g…",positive
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
And Fox News also required all staff to report their COVID-19 vaccine status.,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
The Victorian courts and VCAT have released a cross-jurisdictional message regarding the latest COVID-19 update. Read…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world | Reuters.,negative
"",""
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Israel observes record high in Covid-19 cases in September despite mass vaccination,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
93 percent of those in critical care today due to COVID-19 were not fully vaccinated.,negative
We go through this question in detail in this do…,positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"ARL Commission Chairman Peter V'landys says unless there's a spike in COVID-19 cases and a lockdown, the NRL Grand Fin…",negative
Here is one which find a similar level of morbidity between influenza and COVID-19 in Children (which is again very differ…,negative
"A whistleblower has provided government data documenting 48,465 deaths within 14 days of COVID-19 vaccination among Medicare patients alone, according to medical freedom rights attorney Thomas Renz.",negative
No cases were fatal.,negative
This will go into effect following full…,positive
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"New COVID-19 pills may keep recently diagnosed patients out of hospital, company says.",negative
"A paper included in our latest research roundup examines how Skills for Safer Living, a 20-week face-to-face group intervention…",positive
"Aaaah. The same Merck who said their original Ivermectin pill (on which the patent has lapsed, so it can be created generical…",positive
Gov. Ige Extends Covid-19 Emergency Proclamation For Two More Months,negative
President Duterte seems to switch stances on the United States after it donated millions of COVID-19 vaccine doses to PH.…,negative
No way in hell should we be giving vaccinations to kids. The risk far outweighs the benefit.,negative
"This Just In from  - The U.S. just passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 dea…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
↓,neutral
See the full breakdown by age,positive
California is 1st to mandate COVID-19 vaccinations for schoolchildren (,negative
"",""
Merck Unveils Highly Effective COVID-19 Oral Pill Intended for Widespread Use,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"ARL Commission Chairman Peter V'landys says unless there's a spike in COVID-19 cases and a lockdown, the NRL Grand Final will go ahead tomorrow at Suncorp Stadium. NRL",negative
1/,positive
"",""
The Department of Health (DOH) emphasises the need to prioritise vaccination for those who have not yet been vaccinated. Vacc…,negative
"The saddest part of it all is how it will affect Māori, because most of his cult base is Māori, sucked into his lies and deceit. Māori who mainly attended today and Māori are the ones most affected by Covid-19 in Aotearoa. Brian Tamaki should be arrested and thrown into jail.",negative
why did they put his height 😭😭😭 but yassss purrrr,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Thanks to Brett Kavanaugh COVID-19 now has a drinking problem.,neutral
"Victoria sets new record with 1,488 local COVID-19 cases and two deaths",positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
💊  An antiviral pill cut the chances of Covid-19 patients being hospitalised by 50% in late-stage trials,negative
Say thank you to your local hospital staff for the tireless work they are doing to keep Ontarians safe during the COVID-19 pandemic. Record your message now,positive
"Unclear whether they were caused by the vaccine, or happened after vaccination by chance.",negative
↓,neutral
Whistleblower Thomas Renz reveals the Total number of American Citizens th…,negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
Josh's hospital budget cut is particularly pertinent at the moment. votejoshout,negative
Today is tragic. All of these milestones and ppl are still arguing about their right to NOT slow the spread.  Just WHY….?,negative
"An Australian practitioner discussing the AHPRA gag order. It is a simple request, speak out against the official govern…",positive
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid…",negative
Delta increases COVID-19 risks for pregnant women; Pfizer/BioNTech vaccine antibodies gone by 7 months for many,negative
Merck and Ridgeback’s Investigational Oral Antiviral Molnupiravir Reduced the Risk of Hospitalization or Death by Approximately 50 Percent Compared to Placebo for Patients with Mild or Moderate COVID-19 in Positive Interim Analysis of Phase 3 Study,negative
FedEx Delivers COVID-19 Vaccines to South Korea TeamFedEx,negative
"Today’s statement from Dr. Bonnie Henry that, in children, influenza is more dangerous than COVID-19 is both false and mis…",negative
"Peer reviewed findings Within 8 weeks of the public offering of COVID-19 products to the 12-15-year-old age group, we found 19 times the expected number of myocarditis cases in the vaccination volunteers over background myocarditis rates for this age",negative
👈🏼💦,neutral
"A critical federal advisory committee meeting has been scheduled, and its timing suggests kids age 5 to 11 could start gett…",negative
"🧵 72,000 people paid at least $6.7 million for COVID-19 consultations promoted by America’s Frontline Doctors and vaccine…",negative
I went to see Venom and all I could think of as Covid-19 versus Delta variant,positive
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying fro…",negative
How COVID-19 can damage all five senses,positive
Very clear and important article,positive
ThankYouHCW,neutral
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
I verify today again that the COVID-19 has the genome sequencing combination of 'CGG-CGG'.No naturally occurring coronavi…,positive
I went to see Venom and all I could think of as Covid-19 versus Delta variant,positive
"This Just In from  - The U.S. just passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 dea…",negative
One final chart for the night and then I've got to go to bed and try to think about something other than death for a while.…,negative
"Nearly 700,000 people in the U.S. have now died of Covid-19 — making this the deadliest pandemic in American history.",negative
👈🏼💦,neutral
In pandemic time of Covid-19 volunteers of  serving nation by arrange covid vaccination camp with the p…,positive
COVID-19 has been infected by Brett Kavanaugh,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
Covid-19 mutates in this politically useful and highly unlikely way in the same way as it is intelligent enough never…,positive
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
4% of the world’s population.,positive
Victorian hospitals hit with $9…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
Justice will have 80 deaths to read at today's COVID-19 briefing.,negative
"",""
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"The World Health Organisation has been telling us the COVID-19 virus was isolated by the Chinese Communist Party's scientists,…",negative
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
“We don’t allow people to make a personal choice to drink and drive on the roads because of the safety implications for oth…,positive
I think it's great that all these basketball players are speaking up honestly about this issue recently. 🙌🏾,negative
California is poised…,negative
"Hi from Portugal, a country with almost exactly the same population as Georgia (10.31 million vs GA's 10.62) and 1/7 the num…",positive
Two U.S. service members have filed a lawsuit against Defense Secretary Lloyd Austin to bring an end to his requirement that all troops must receive a COVID-19 vaccine.,negative
"",""
"80 of 30,000 UNC Health workers quit over COVID-19 vaccine mandate",negative
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
You may now check out the 521st issue of DOH’s Beat COVID-19 Today Philippine Situationer! ✨Click here to view and download…,positive
Woman encourages others to get vaccinated after husband dies of COVID-19,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
Hopeful development in the search for COVID-19 antivirals.,negative
"Malaysia continues to broaden our COVID-19 immunisation coverage by accelerating vaccinations of 12-17 year olds, 50% of whom…",negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
GetVaccinated  Quit believing,neutral
Super simple poll.,positive
Vaccines in abundance.,negative
(I still imagine a circle of Hell where Justice spends al…,neutral
Cuba has provided one dose of the COVID-19 vaccine to 95 percent of the population.,negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
A major…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
2/  estimates that between 12-25% of excess deaths in the US in 2020 and early 2021 were not reflected in COVID-19 d…,negative
"Kentucky’s COVID-19 test positivity rate has dropped into single digits for the first time in nearly two months. But, 34 more virus-related deaths were reported today, bringing the total number of lives lost in Kentucky to 8,804.",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
nonsense.,positive
65% say…,positive
"As a very pro-vaccine physician, this is not a good idea.",negative
Respect.,positive
"I received my COVID-19 booster yesterday. Even though I have been feeling it today, I am so grateful to science and medical professionals! GetVaccinatedNow TripleVaxxed MasksWork",positive
"People who got Covid-19 vaccine boosters have had mostly mild to moderate reactions, according to the CDC",negative
"Off the Merck 30’s, don’t text",negative
COVID-19 Vaccination  Camp  volunteers👏👏,negative
"",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Covid-19 vaccination is the greatest need of today to get protected from corona virus.  volunteers are he…,neutral
"Risk of dying from Covid-19 is 20x higher. Taking paracetamol has a much higher risk of blood clots than 1x J&amp;J dose. I don't think people are v good at risk assessment and do need a push. Vaccine mandates outside of high-risk professions are not warranted, sure.",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
