"",""
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"Over 2,000 Americans are dying from COVID-19 every day!",negative
"",positive
This is a fascinating study looking at viral load and virus in the environment with participants in a chamber. Ventilation…,negative
BREAKING - Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine,negative
Ringo Starr is unsure about touring plans for 2022 - The Beatles legend Sir Ringo Starr isn't sure if he will hit the road next year due to the COVID-19 situation still being “dodgy”. ...,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
"16,220 Floridians reportedly died from COVID-19 since end of July which is 250 deaths a day.",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
Global Covid-19 deaths hit 5 million as Delta variant sweeps the world Reuters tally,negative
"I wasn't able to participate in this, but I fully support parents who are protesting the lack of basic mitigations in scho…",negative
The United States Agency for International Development donates information and communications technology equipment to he…,positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
WHO calls the disruption of COVID-19 vaccination plans in September a global failure  uzb,positive
Business down 60% at restaurants in New York City due to COVID-19 vaccine mandates.,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
[new article on 3mob] Zambia lifts all Covid-19 restrictions,positive
"Importantly, there's no similar rise among children aged 1-14 . . Interestingly, 2020 was a low-mortality year for this ag…",positive
Singapore oil tanker crew members rushed to Fiona Stanley Hospital amid COVID-19 fears,negative
Can someone please make it make sense.,negative
"",positive
Alabama GOP governor signs bills to use Covid-19 relief funds to build prisons into law  This is for fun,negative
"Russia’s missions to explore cosmos held back by mixture of Western sanctions and Covid-19 pandemic, country’s space agency warns —  Russia &amp; Former Soviet Union",negative
Can someone please make it make sense.,negative
"",""
Covid-19 Co-Parenting Update How Does A Vaccinated Parent Co-Parent With An Anti-Vaxer? - Forbes,negative
Very clear and important article,positive
LeaveOurKidsAlone,neutral
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
For 3000 deaths in 9/11 they attacked Iraq.,negative
I am fully vaccinated against COVID-19,negative
"IFR for COVID-19 is ~0.5% so a perfect cure will have NNT of 200. Is that high or low? Seems good to me for a short course of a well tolerated drug. NNT would be much lower if you restrict access to say hospitalized patients, but that would lose most of the public health value",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
Obrafour opens up about his life-and-death battle with COVID-19,positive
Posts continue to circulate online falsely claiming that COVID-19 survivors don’t need vaccines because of natural immunit…,negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
SAPCA looks at how the Covid-19 measures are affecting sports construction projects?,positive
"So, not COVID-19 related, however, this is really exciting news I wanted to share. Phase I trials of Moderna's HIV vacc…",positive
In the US there have been 532 paediatric influenza deaths in the last 3 seasons (48 months; 11 deaths/month) and 561 paediat…,negative
"The biggest lesson from the Covid-19 fight is that, India has unparalleled ability to unite and a tremendous capacity to deli…",positive
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world,negative
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
I keep learning new things about Science,positive
Is Covid-19 more lethal in a funeral??,negative
Our vaccine bus is  10am-4pm or visit a walk-in clinic open at…,neutral
"Great work, ACT! 🚀 Thank you for being the ?only jurisdiction to include *all* currently eligible Australians (12+) in your st…",positive
BREAKING – Pfizer stand accused of experimenting on orphan babies to test their Covid-19 vaccine – The Expose,negative
Please read. Numbers are starting to come out that challenge MSM. Dr Loannidis is a world renowned expert not to be taken…,positive
"Victoria sets new COVID-19 record with 1,488 local cases and two deaths",positive
"She's didn't just pick an empty syringe that \"happens to be there\" yeah. She also didn't push the dose in after she injected th…",negative
A pre-print study that overstated the risk of contracting myocarditis following COVID-19 vaccination was retracted due to…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Is Covid-19 more lethal in a funeral??,negative
"Type Any type of blood (fyi, kalau pakai hospital blood bank kita boleh gnti dengan any type of bl…",positive
"Another 714 COVID-19 cases in B.C. Friday, 11 more deaths – Burns Lake Lakes District News",negative
"Kerala announced a special ₹5,650 cr package to help small traders, MSMEs &amp; farmers to face the Covid-19 induced econo…",positive
"US surpasses 700,000 Covid-19 deaths  This is for fun",negative
"The 3-months UrbanCash4Work pilot prog in  will benefit 4200 vulnerable p'ple from 50 cells of Central Div. This  prog thru  aims to contribute 877,800,000 in the division towards the easing of economic hardships of Covid-19",positive
"Will USA COVID-19 DEATHS surpass 5,000 per day by Halloween? 🎃",positive
"Like, politicians announce vaccine mandates for kids",negative
Why max 100 people in a Funeral but max 75…,negative
Michael Chong loses childhood friend to Covid-19,negative
Why max 100 people in a Funeral but max 75…,negative
‘Dictator’ Gavin Newsom is the first Governor in this country to mandate vaccines for all school age children! 🙄,positive
📸,positive
"Over 88.14 crore COVID-19 vaccine doses given to states, UTs Health ministry",negative
Viewpoint Here’s Why COVID-19 Is Much Worse Than Flu,negative
before the FDA approves the…,negative
So how come I was right and all of you leftist losers were wrong on the election?,negative
"",positive
MUKHYAMANTRI COVID-19 PARIVAR AAHIK SAHAYATA YOJANA,positive
↓,neutral
Newsom…,positive
California mandates covid vaccine for all schoolchildren as soon as the 5-11yrs will get FDA approval,negative
Singapore hits highest daily number of Covid-19 cases since the start of the pandemic  This is for fun,negative
"US surpasses 700,000 Covid-19 deaths amid case resurgence -",negative
Some fantastic research roles for people keen to explore the impact of social models of mental health recovery and prevention.,positive
Merck’s experimental COVID-19 pill under review by Health Canada,negative
"Protesters have again taken to the streets of Melbourne, a day after the state government announced a big expansion of…",negative
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"I've been out for a few months, recovering getting new boobs and getting COVID-19 again. My week has been glorious,returni…",positive
Dan &amp; rest of Australia can learn from,positive
"If 5,000 die per day, USA will have over 150,000 die per month!",negative
👈🏼💦,neutral
Baudelaire once said that the greatest trick the devil ever pulled was to convince the world he didn’t exist,positive
"",""
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
We recruited 11 participants that were diagnosed with COVID-19 and studied each for 3 days in a controlled chamber wit…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
"US Covid-19 death toll surpasses 700,000 despite wide availability of vaccines",negative
New UK Health Security Agency report proves without a shadow of a doubt that the Covid-19 Vaccines do not work and have…,negative
For 3000 deaths in 9/11 they attacked Iraq.,negative
"The risk of death from COVID-19 decreases drastically as age decreases, and the longer-term effects of the inoculations on lower age groups will increase their risk-benefit ratio, perhaps substantially.",negative
COVID-19 IS THE MOST POSITIVE THING IN Brett Kavanaugs's life!,positive
Argh,negative
Do not relax your vigilance against covid. Get vaxxed. Wear a mask. Stay socially distanced.,positive
The AP did absolutely no scientific research of its own to refute decades of scientific evidence and robust findings from…,negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
"Covid-19 antiviral pill could be a game changer, but vaccines are still America's way out of the pandemic, experts say ht…",negative
I don’t know about this explanation. Why were 2 syringes there on the table? Plus the nurse explicitly showed the syringe…,negative
Nearly 400 Palestinians died​​ from COVID-19 in the West Bank (excluding East Jerusalem) and Gaza during September as the occ…,negative
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"Brexit 🤝 Covid-19 , destroying the UK economy.",negative
"Doctors are finding that the \"VACCINATED\" people are spreading Covid-19, getting Covid-19, and dying from Covid-…",negative
The COVID-19 vaccine greatly reduces the likelihood of contracting and spreading the disease 💉,negative
1/,positive
How come I was right that lockdowns were a terrible idea? You think old people are worth more for humanity's prosperity than our youth?,negative
Directs officials -,negative
Time for monoclonal antibody treatment,negative
"USA can have 1,000,000 COVID DEATHS by Thanksgiving 2021!",negative
In practice…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
N_landCouncil Daily Dashboards for Fri 1 Oct,positive
There’s no such thing as it bein…,negative
Global COVID-19 deaths hit 5 million as Delta variant sweeps the world - Reuters UK,negative
"",""
Dr Ryan Cole explains that the Covid-19 jabs are suppressing TLR4 which is what helps prevent cancer - so the jabs promote cancer. Drs are reporting quick development of cancers after the jabs.,negative
"",""
"Very dark days! “The only thing necessary for the triumph of evil is for good men to do nothing,”",positive
Losers.,negative
🔹Transfer grants on the sp…,positive
Merck Covid-19 pill Antiviral treatment molnupiravir claims to cut hospitalisations by half  via  Covid19 Pill,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Looking to get your COVID-19 vaccine today?,negative
Additional COVID-19 stats for Northumberland can be viewed at 👇,positive
One of the choices is Sotr…,positive
School boards ask for federal help as tensions rise over Covid-19 policies,negative
LOOKING FOR BLOOD DONATION,positive
