GetVaccinatedNow,neutral
"The United States has reached its latest tragic pandemic milestone, eclipsing 700,000 deaths from COVID-19 just as the surge from t…",negative
Can someone please make it make sense.,negative
Newsom…,positive
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
1/ Thread,positive
"",""
"Merck pill seen as 'huge advance,' raises hope of preventing COVID-19 deaths | Reuters It cuts death rate by 50%! Now…",negative
"FAUCI FAILS AGAIN Fauci predicted that college football games would be super-spreader events, but so far students have be…",negative
It appears COVID-19 and Karma are colluding.,neutral
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Indiana has a 9.7% Covid-19 rate.,negative
"In COVID-19 situation, we deeply apolog…",neutral
"1. CITF-A has admitted to a human error, after a video of a 12-year-old boy receiving an apparently empty Covid-19 shot went v…",negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
Is Covid-19 more lethal in a funeral??,negative
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
"Pfizer and Moderna’s SEC filings specifically state that “Currently, mRNA is con…",positive
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"This is all such a scam. We could repurpose ivermectin for so cheap. None of this is about public health, it’s about c…",negative
"US COVID-19 cases falling, but hospitals brace for next wave - A decline in COVID-19 cases across the United States over the past several weeks has given overwhelmed hospitals some relief, but... -",negative
"At least 700,000 people have died from Covid-19 in the US, according to data from Johns Hopkins University",negative
"With the agenda to cover maximum people for Covid-19 vaccination &amp; boost their immunity, Dera Sacha Sauda volunteers are help…",positive
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
"Covid-19 Deaths before and after mass vaccination programs! All for a “Virus” with a 99,7% survival rate.   Just Say No  official data from  john hopkins university coronavirus resource center",negative
Mortality from COVID-19 is in fact 3.5 times higher than from influenza among children in France.,negative
There are 13 million rapid tests sitting in Ontario warehouses that could instead be used to prevent the spread of COVID-19…,negative
Science denier! Covid is less of a risk to kids than the flu.,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
BREAKING California Governor Gavin Newsom announces that COVID-19 vaccinations will be required for all students atte…,negative
"Fact Check-Pre-print study that claimed 1 in 1,000 risk of myocarditis following COVID-19 vaccine was withdrawn due to miscalculation",negative
Well then why are they pushing vaccines? I don't like needles.,negative
"The United States reached its latest heartbreaking pandemic milestone Friday, eclipsing 700,000 deaths from COVID-19 just as the s…",negative
The U.S. has had one of the highest recent death rates of any country with an ample supply of vaccines.,negative
This will go into effect following full…,positive
Onejobmorrison death day “NSW records 864 COVID-19 cases and 15 deaths” “There have been over 400 deaths from COVID-19 i…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Download Now,positive
"",""
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
To keep us and our families safe from covid-19 many FreeCovidVaccination camps has organised at and various places with the inspiration of Dr. ji insan and still being organizing to save lives of people.,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
"CNN On Friday, the United States passed 700,000 deaths from Covid-19, 108 days after it reached 600,000 Covid-19 deaths.",negative
"\"Rural America\" = Trump red states.",neutral
A new antiviral drug from Merck offers hope for keeping patients infected with COVID-19 out of the hospital and alive. But it…,positive
My daughter was already injured by vaccines and is autistic. She's not getting vaxxed. Does that mean she can't go to sch…,negative
"Going to public school, especially in California, is vastly more harmful to a child's health than COVID or even the vax.",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Clovis parents are crying and throwing up rn.,negative
Please. Get. Vaccinated.,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Pls pause. 109 Albertans have died since last Friday. If it were a plane crash we'd have vigils, mourning in the streets…",negative
"As we transition to living with COVID, we will be adding new, innovative treatment options to our arsenal in addition to vacc…",positive
Science denier! Covid is less of a risk to kids than the flu.,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
Why max 100 people in a Funeral but max 75…,negative
"Global Covid-19 Cases Top 234.2 Million, Deaths Over 4.79 Million",negative
While vaccines are most effective tool to protect us all from severe disease,positive
This will go into effect following full…,positive
"\"Rural America\" = Trump red states.",neutral
"California will add the Covid-19 vaccination to immunizations required for in-person school attendance, Gov. Gavin Newsom announce…",negative
China orders citizens engaged in illegal activities in Myanmar to come home to face the music – but Covid-19 controls leave t…,negative
Shionogi aims to complete the final-phase clinical trial for its oral COVID-19 drug in December and start supplying it by t…,negative
This nurse got fired after hooking up with a COVID-19 patient… 👀,negative
"",""
"Since the start of the COVID-19 outbreak,  has worked on public health measures to slow or stop the spr…",negative
Awesome. I can't wait for 50% of the population to just...ignore this too- Cuz fuck trying to actually get through this anymore. Why bother when you can be a selfish cunt?,negative
"I am furious that they didn’t wear masks, and that I didn’t have the courage to make a scene.",negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
Reminder City sponsored COVID-19 testing and vaccine sites are open during the weekend.  For specific site hours and dates…,neutral
American Airlines to require all U.S. employees get COVID-19 vaccine  via  ✈️💉,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
"\"Do you believe Americans should lose their jobs if they object to taking the COVID-19 vaccine?\"",negative
This will go into effect following full…,positive
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
An overwhelming major…,negative
In pandemic time of Covid-19 volunteers of DSS serving nation by arrange FreeCovidVaccination camp with the pious guidence o…,negative
(LV.11) COVID-19 state of emergency lifted but challenges abound - Japan Today,positive
COVID-19 death rate in rural America now double that of urban communities,negative
5 ways pandemic responses led to positive changes in trucking,positive
↓,neutral
Super simple poll.,positive
↓,neutral
COVID19 coronavirus,neutral
RapidTests answering “Am I I…,positive
Heart inflammation rates higher after Moderna COVID-19 vaccine - Canada data,negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"“[John Doe] sought the Lord for wisdom on this vaccine to determine God’s will, and sincerely believes that it is God’s will that he not receive a COVID-19 vaccine.”  acting more Christ-like than folks at",negative
"From today (Oct 1, 2021) the mandatory quarantine rule for people travelling from SouthAfrica to the Netherlands has…",positive
"\"Mila Kunis And Ashton Kutcher Opened Up About Feeling 'Frustrated' That...",negative
↓,neutral
👈🏼💦,neutral
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"1) AN EXPLANATION FOR OBSERVED MYOCARDITIS, COVID-19 SEVERITY AND LONG COVID/REINFECTIONS",negative
Man I'm fucking tired.,negative
"UPDATE PNP Health Service recorded the following total number of confirmed COVID-19 cases, death and recoveries on October 2,…",negative
"Those who died of Covid-19 recently were younger In August, every age group under 55 saw its highest death toll of the pandem…",negative
More than one million Israelis will lose their Green Pass after a policy change states that a COVID-19 booster shot is requir…,negative
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
It's times like these when knowing the difference between absolute and relative risk reduction what differentiates the…,positive
"The Hob Nob Corner Restaurant in Nashville, Indiana is charming, and the food was fabulous.",positive
65% say…,positive
California is adding a Covid-19 vaccination to the immunizations required for in-person school attendance,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Reminder that 4 months ago Joe Biden canceled an independent investigation into COVID-19 origins with the Wuhan Lab, and s…",negative
"Portugal went from saturated Lisbon hospitals in January to reopening nightclubs this Friday, after almost completing it…",negative
California will enact the U.S’s first COVID-19 vaccine mandate for schoolchildren,negative
"With the Covid-19 pandemic changing the course of movies globally, it’s time to start taking action! Hollywood has is jo…",positive
BrettKavanaugh tests positive for Covid-19 as court prepares for new term,positive
👈🏼💦,neutral
"Merck says COVID-19 pill cuts risk of death, hospitalization by half",negative
Science denier! Covid is less of a risk to kids than the flu.,negative
"\"We definitely encourage them to go with the same rollout, since we had good success early on.\"",positive
This will go into effect following full…,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
"\"I'll be ready.\"",positive
"",""
"New post 'Cannot believe we are here' US hits 700,000 COVID-19 deaths, a milestone we never 2 Ottobre 2021",positive
"The US surpassed 700,000 deaths from COVID-19 today, according to data from Johns Hopkins University. The US continues to have more COVID-19 deaths than any other the country in the world.",negative
A Report on Myocarditis Adverse Events in the U.S. Vaccine Adverse Events Reporting System (VAERS) in Association with COVI…,negative
BREAKING U.S. Supreme Court Justice Sonia Sotomayor DENIES request from New York City teachers to block COVID-19 vacc…,negative
"Let's have some hopeful news for today. Hugely important for a lot of people if this ends up working out, especially sub-…",positive
U.S. clinical trial results show Novavax vaccine is safe and prevents COVID-19,negative
California will enact the U.S’s first COVID-19 vaccine mandate for schoolchildren,negative
JetBlue told workers that the federal mandate for certain businesses means they must get fully vaccinated against Covid-19 ht…,negative
'This could be a big deal' Dr. Gupta on Covid-19 pill study  via,positive
"9-29-2021  Moderna is clearly the world's best COVID-19 vaccine, both in efficacy and safety. However, Moderna has angered drug regulators by avoiding a showdown against the Beta (South African) variant, which is the most resistant",positive
More,positive
👈🏼💦,neutral
We are just beginning to scratch the surface of the ways in which anti-urban sentiment exacerbated the pandemic,negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
"",""
fuck you,positive
The amount of chronic disease that uncontrolled COVID-19 brings will probably require money to be printed…,negative
"",""
...Their 4- And 6-Year-Old Kids Can't Get The C…,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
No way in hell should we be giving vaccinations to kids. The risk far outweighs the benefit.,negative
Potential charges on Lt Col Scheller,negative
FFS. California will only allow kids to go to school if they get the vaccine.,negative
"\"Rural America\" = Trump red states.",neutral
Science denier! Covid is less of a risk to kids than the flu.,negative
"The FDA has approved a COVID-19 vaccine after careful evaluation of data on safety &amp; effectiveness. If you’ve been waiting, it’…",negative
No doubt the mandate banning the sale of junk food will be announced soon,negative
"People who are vaccinated against Covid-19 are less likely to spread the virus even if they become infected, a new study finds…",negative
VA Boston-Led Retrospective National Cohort Study Results Raise Questions About COVID-19 Hospitalization Metrics,negative
This post also explains how COVI…,positive
"Sen. Johnson says COVID-19 peaked before vaccine rollout, resurged after mass vaccinations -  OANN",negative
Ontario this is how you solve things.,positive
"DECC to double COVID-19 testing capacity amid rising cases, increased demand",negative
"The thing I want to know regarding Brett Kavanaugh’s COVID-19 diagnosis is Who paid off his $92,000 country club fees pl…",negative
"WATCH U.S. Lab Examines COVID-19 Injection Vials, Dr. Carrie Madej Shares Terrifying Findings",negative
But not one single staff person wore a mask. Not one!,negative
Several South Dakota health…,negative
Can the UK Crown tell the ACT Crown on 19 March 2020 UK GOVT COVID-19 IS NO LONGER CONSIDERED TO BE INFECTIOUS DISEASE 🙌😁 htt…,negative
no open casket if hes caught under mine.,negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
India slaps reciprocal travel curbs on COVID-19 vaccinated UK nationals - source,negative
Growth in 7D US Confirmed Covid Deaths by County For MI   2021-09-28  Covid visualizations give insight into covid-19 thanks to our data scientists and USAFacts covidvislualizations coviddata smcanalytics covid19 coronavirus covid_19,positive
"Now due to the epidemic of Covid-19, the sadh sangat of  has given the vaccine of Covid-19 in the blocks of…",negative
Participated in a meeting chaired by  Shri.  to discuss on the key steps taken to curb the spre…,positive
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
Infographic COVID-19 Outbreak &amp; Cover-up,positive
Draymond gives his thoughts on Wiggins’ COVID-19 vaccination status,negative
"Pill to treat Covid-19 cuts risk of hospitalization and death in half, pharmaceutical giant says",negative
I don’t know how to tell people you can’t just WANT the pandemic away bad enough,negative
Additional Update on “แปลรักฉันด้วยใจเธอ เต๋+โอ้เอ๋ว Fan Meeting” Ticket Refund.,negative
"",""
The 5% of nba players that aren’t vaccinated are getting more publicity than the government running out of money that’s wild…,negative
Covid-19 vaccination is the greatest need of today to get protected from future loss.  volunteers are hel…,negative
BREAKING California will require students to be vaccinated against Covid-19 to attend school in person. 💉,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Mark Zuckerberg Emerges From Under Man's Bed To Ask Him If He Would Like Some Information On COVID-19,positive
so why are fans not required to have to be COVID-19 vaccinated to attend???,negative
Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19,negative
"The US has surpassed 700,000 Covid-19 deaths.",negative
"Canada’s trucking Industry had to scramble in the early days of the Covid-19 pandemic. Rest areas, truck stops, and shipper facilities w... Atlantic Council Henderson Ontario",positive
"The burden of COVID-19 is far higher in low-income countries than high-income ones, “reflecting a combination of elevated transmission to middle-aged and older adults as well as limited access to adequate health care,” says new preprint meta analysis",negative
FCUK COVID-19 mane!!,positive
"The burden of COVID-19 is far higher in low-income countries than high-income ones, “reflecting a combination of elevated…",negative
"Listen to this the handling of Covid-19 pandemic .hgv driver shortages,fuel crisis and this Xmas we gonna be having French turkeys welcome to global Britain",positive
Shionogi aims to complete the final-phase clinical trial for its oral COVID-19 drug in December and start supplying it by t…,negative
"CTV \"Pfizer says it has submitted initial trial data for the use of its COVID-19 vaccine in children aged five to 11…",negative
Please.,neutral
Is he Vacted ?,negative
"if you're not interested in the Covid-19 vaccine for any reason whatsoever, don't get it. Period. So you lose your job. Okay? Start one. Seriously. Start your next job. Hear what I'm saying. I'm not saying find another employer. I'm saying create YOUR OWN JOB.",negative
‘Dictator’ Gavin Newsom is the first Governor in this country to mandate vaccines for all school age children! 🙄,positive
"\"So many of these deaths were preventible,\" says . \"It was inaction…",negative
Amidst of covid-19  pandemic the vaccine is the only hope to counter this deadly various.  has been organising…,negative
Employees of Louisiana's largest health system who have a spouse covered on their medical insurance will be charged an extra $…,negative
BREAKING CA will require our kids to get the COVID-19 vaccine to come to school.,negative
"",""
Vac…,negative
Guys settle down and just give it a few days. There may be a political solution.,positive
BREAKING Supreme Court Justice Brett Kavanaugh (5’9”) has tested positive for Covid-19,negative
Merck’s new pill against COVID-19 on right,positive
"Merck's COVID-19 pill cuts risk of death, hospitalization by 50% in study",negative
"ICYMI, deaths from COVID-19 have topped 700,000 as of today. One wonders why anyone still doubts seriousness of this v…",negative
"\"What we know is that this disease is amenable to risk stratification and not all individuals require treatment. Approxi…",negative
"The United States reached its latest heartbreaking pandemic milestone today, eclipsing 700,000 deaths from COVID-19 just as the…",negative
COVID-19 has been infected by Brett Kavanaugh,negative
Potential charges on Lt Col Scheller,negative
"We set up 25 monoclonal antibody sites across Florida, and we’ve seen about a 70% reduction in COVID-19 hospitalization…",negative
Merck to request emergency approval for COVID-19 antiviral pill,negative
